model_family,budget_FLOPs,context_tokens,quality_family,model_train_RMSE,joint_status,candidate_status,joint_N,joint_D,joint_Q,candidate_N,candidate_D,candidate_Q,candidate_active_set,candidate_budget_utilization,candidate_KKT_pass,converged_starts,joint_loss_at_joint,joint_loss_at_candidate,candidate_loss_at_candidate,candidate_loss_at_joint,joint_model_regret,candidate_model_regret
no_Q,1e+19,2048,exponential,0.1182387744906499,converged_feasible,converged_feasible,0.1405408966770969,10.000000000000002,0.5668909161659564,0.15601597603687167,10.000000000000002,0.5000000000000001,D_min;Q0;budget,1.000000000005933,True,20,3.2629420811093137,3.2706094391058502,3.24658385152225,3.2734729245359393,0.007667357996536506,0.02688907301368948
no_Q,1e+20,2048,exponential,0.1182387744906499,converged_feasible,converged_feasible,0.9508120123308846,10.868943213318488,0.9668714855448834,0.7681318040172186,20.311094426764384,0.5,Q0;budget,0.9999999999999997,True,20,2.7018200306354676,2.8141653555371127,2.7937777181477124,2.871388242388731,0.11234532490164506,0.07761052424101855
no_Q,1e+22,2048,exponential,0.1182387744906499,converged_feasible,converged_feasible,6.271047641436158,227.1264396334464,1.0,8.194143653069727,190.3993664762011,0.5,Q0;budget,0.9999999999999996,True,20,2.149669772043173,2.2633814056035493,2.251914343652286,2.260674786127897,0.11371163356037606,0.008760442475610919
no_Q,1e+23,2048,exponential,0.1182387744906499,converged_feasible,converged_feasible,11.969999999999997,600.0,1.0,11.97,599.9999999999994,0.5,N_max;D_max;Q0,0.46033747199999975,True,20,2.0523920597927097,2.149464477390852,2.142010838695438,2.142010838695438,0.09707241759814211,0.0
no_Q,1e+19,2048,power,0.1182387744906499,converged_feasible,converged_feasible,0.15601597603631454,10.000000000000002,0.5,0.15601597603624145,10.000000000000002,0.5,D_min;Q0;budget,1.0000000000018934,True,20,3.27060943910677,3.2706094391068907,3.2465838515232743,3.2465838515231558,1.2079226507921703e-13,-1.1857181902996672e-13
no_Q,1e+20,2048,power,0.1182387744906499,converged_feasible,converged_feasible,0.8972224339559655,10.000000000000002,0.9773234074201579,0.7681318190233065,20.311094029970423,0.5,Q0;budget,0.9999999999999997,True,20,2.7208319995583086,2.8141653555366637,2.7937777181477124,2.8967112334985803,0.09333335597835513,0.10293351535086792
no_Q,1e+22,2048,power,0.1182387744906499,converged_feasible,converged_feasible,6.38420974057638,219.26107339387926,0.9999999999999999,8.194143739729988,190.3993644626134,0.5,Q0;budget,1.0000000000002762,True,20,2.1510359090443756,2.2633814055416797,2.2519143436522633,2.261861185590965,0.11234549649730408,0.009946841938701656
no_Q,1e+23,2048,power,0.1182387744906499,converged_feasible,converged_feasible,11.969999999999997,600.0,1.0,11.97,599.9999999999994,0.5,N_max;D_max;Q0,0.46033747199999975,True,20,2.0523920597927097,2.149464477390852,2.142010838695438,2.142010838695438,0.09707241759814211,0.0
no_Q,1e+19,2048,logarithmic,0.1182387744906499,converged_feasible,converged_feasible,0.15601597603714115,10.000000000000016,0.5000000000000001,0.15601597603608733,10.000000000000002,0.5000000000000001,D_min;Q0;budget,1.0000000000009057,True,18,3.2706094391054044,3.2706094391071447,3.2465838515235252,3.2465838515218115,1.7403856134023954e-12,-1.7137402608113916e-12
no_Q,1e+20,2048,logarithmic,0.1182387744906499,converged_feasible,converged_feasible,0.7655545580090797,16.342085336850936,1.0,0.7681318130968677,20.311094186678517,0.5,Q0;budget,1.0000000000000007,True,20,2.643882678860063,2.814165355536841,2.7937777181477124,2.8305993579233926,0.170282676676778,0.036821639775680204
no_Q,1e+22,2048,logarithmic,0.1182387744906499,converged_feasible,converged_feasible,5.898006397461152,256.3042291847015,1.0,8.194144236012166,190.39935293093433,0.5,Q0;budget,1.0000000000000004,True,20,2.145252371433399,2.263381405187522,2.251914343652286,2.2568874375534316,0.1181290337541232,0.004973093901145642
no_Q,1e+23,2048,logarithmic,0.1182387744906499,converged_feasible,converged_feasible,11.969999999999997,600.0,1.0,11.97,599.9999999999994,0.5,N_max;D_max;Q0,0.46033747199999975,True,20,2.0523920597927097,2.149464477390852,2.142010838695438,2.142010838695438,0.09707241759814211,0.0
