target,outer_fold,model,alpha,inner_cv_rmse,selected_domains,outer_rmse
github,5,interaction,0.01,0.6273044384831781,arxiv|stackexchange|github|pubmed_central|pile_cc,0.6468009800542477
stackexchange,1,ridge,0.01,0.5314047729138598,,0.5217912984851075
stackexchange,1,interaction,0.01,0.46938284680259856,arxiv|stackexchange|pubmed_central|pile_cc|github,0.4678840348165143
stackexchange,2,ridge,1.0,0.5444946216211767,,0.4796542482046358
stackexchange,2,interaction,0.01,0.514129425453077,freelaw|github|pubmed_central|arxiv|pile_cc,0.46349176240506545
stackexchange,3,ridge,0.001,0.5161863034401784,,0.5732745862547619
stackexchange,3,interaction,0.01,0.4906892863147858,freelaw|arxiv|pubmed_central|pile_cc|github,0.5411274453832637
stackexchange,4,ridge,1.0,0.5220167170581747,,0.5588323213566918
stackexchange,4,interaction,0.01,0.493257430497182,freelaw|pubmed_central|github|arxiv|pile_cc,0.5232174452112709
stackexchange,5,ridge,0.01,0.534029502374354,,0.5003073597483428
stackexchange,5,interaction,0.01,0.48362833554876783,arxiv|stackexchange|github|pubmed_central|pile_cc,0.4600536320312323
gutenberg_pg_19,1,ridge,0.01,0.24458232842035663,,0.26106692011056903
gutenberg_pg_19,1,interaction,0.1,0.2420663087846327,arxiv|stackexchange|pubmed_central|pile_cc|github,0.25886306240085094
gutenberg_pg_19,2,ridge,0.01,0.25468290584012976,,0.22278184724289127
gutenberg_pg_19,2,interaction,0.01,0.25111150241859626,freelaw|github|pubmed_central|arxiv|pile_cc,0.21397823425768564
gutenberg_pg_19,3,ridge,0.1,0.2484641758100908,,0.2579844943648012
gutenberg_pg_19,3,interaction,0.1,0.24420570054184032,freelaw|arxiv|pubmed_central|pile_cc|github,0.25089326113522037
gutenberg_pg_19,4,ridge,0.1,0.24665375193194078,,0.25119061073078564
gutenberg_pg_19,4,interaction,0.1,0.24246868403582694,freelaw|pubmed_central|github|arxiv|pile_cc,0.24579880853155833
gutenberg_pg_19,5,ridge,0.1,0.24641330433630992,,0.25684759064278195
gutenberg_pg_19,5,interaction,0.1,0.24278636013642463,arxiv|stackexchange|github|pubmed_central|pile_cc,0.2529946271538411
pile_cc,1,ridge,0.1,0.16490645239574736,,0.15035275879390664
pile_cc,1,interaction,0.01,0.14099567848760358,arxiv|stackexchange|pubmed_central|pile_cc|github,0.12495276806878783
pile_cc,2,ridge,0.1,0.1665102352935372,,0.14200150023216712
pile_cc,2,interaction,0.001,0.14289159546918667,freelaw|github|pubmed_central|arxiv|pile_cc,0.11860858657652676
pile_cc,3,ridge,0.01,0.1590161421036916,,0.1691614152544999
pile_cc,3,interaction,0.01,0.13766657464997606,freelaw|arxiv|pubmed_central|pile_cc|github,0.14336250564537315
pile_cc,4,ridge,0.01,0.15644861261761192,,0.17525874567246222
pile_cc,4,interaction,0.01,0.13490905223055147,freelaw|pubmed_central|github|arxiv|pile_cc,0.15389377090521217
pile_cc,5,ridge,0.1,0.1614037804300502,,0.16571491533286709
pile_cc,5,interaction,0.01,0.14123485102660863,arxiv|stackexchange|github|pubmed_central|pile_cc,0.14086675940537144
ubuntu_irc,1,ridge,0.01,0.691541005233063,,0.7172411308974128
ubuntu_irc,1,interaction,0.01,0.6842947090104283,arxiv|stackexchange|pubmed_central|pile_cc|github,0.7089599223696231
ubuntu_irc,2,ridge,0.01,0.7246742605826982,,0.6157670263665119
ubuntu_irc,2,interaction,0.01,0.7171507183701005,freelaw|github|pubmed_central|arxiv|pile_cc,0.6166503961635675
ubuntu_irc,3,ridge,0.01,0.7059086763803567,,0.6876665725699169
ubuntu_irc,3,interaction,0.01,0.7011252400191437,freelaw|arxiv|pubmed_central|pile_cc|github,0.6868687146097915
ubuntu_irc,4,ridge,0.001,0.6962449719276075,,0.7287484024260898
ubuntu_irc,4,interaction,0.01,0.7003149364383066,freelaw|pubmed_central|github|arxiv|pile_cc,0.7197615500459504
ubuntu_irc,5,ridge,0.01,0.69335841784263,,0.7570553304419497
ubuntu_irc,5,interaction,0.01,0.6998781461825208,arxiv|stackexchange|github|pubmed_central|pile_cc,0.753700427163639
hackernews,1,ridge,0.001,0.1979293430427358,,0.22058259695834523
hackernews,1,interaction,0.01,0.1884921040083678,arxiv|stackexchange|pubmed_central|pile_cc|github,0.21138219847873888
hackernews,2,ridge,0.001,0.20956591887530013,,0.17039813315559568
hackernews,2,interaction,0.001,0.19965277004086118,freelaw|github|pubmed_central|arxiv|pile_cc,0.17235790724123018
hackernews,3,ridge,0.001,0.20440875293764757,,0.20130641766554364
hackernews,3,interaction,0.01,0.20067265705871526,freelaw|arxiv|pubmed_central|pile_cc|github,0.18711891486684845
hackernews,4,ridge,0.01,0.1988540840582874,,0.2231114625852498
hackernews,4,interaction,0.01,0.19087151152823717,freelaw|pubmed_central|github|arxiv|pile_cc,0.22036135940259918
hackernews,5,ridge,0.001,0.20484402995590098,,0.19574834037446548
hackernews,5,interaction,0.01,0.1999384435453056,arxiv|stackexchange|github|pubmed_central|pile_cc,0.18481080367097202
pubmed_abstracts,1,ridge,0.01,0.3066118507511661,,0.30844282017871005
pubmed_abstracts,1,interaction,0.01,0.285064390196069,arxiv|stackexchange|pubmed_central|pile_cc|github,0.2951158286972215
pubmed_abstracts,2,ridge,0.01,0.3123298453217549,,0.3011705543109004
pubmed_abstracts,2,interaction,0.01,0.303961288841723,freelaw|github|pubmed_central|arxiv|pile_cc,0.291965069233557
pubmed_abstracts,3,ridge,0.01,0.31641175343429345,,0.2840924865742518
pubmed_abstracts,3,interaction,0.1,0.30959692928242377,freelaw|arxiv|pubmed_central|pile_cc|github,0.2718688194214765
pubmed_abstracts,4,ridge,0.01,0.30097450017812,,0.3320126928132672
pubmed_abstracts,4,interaction,0.01,0.2876374751001247,freelaw|pubmed_central|github|arxiv|pile_cc,0.3300998726260538
pubmed_abstracts,5,ridge,0.01,0.3056150281231188,,0.3257933926106269
pubmed_abstracts,5,interaction,0.01,0.28917160767315886,arxiv|stackexchange|github|pubmed_central|pile_cc,0.30545169143957424
uspto_backgrounds,1,ridge,0.1,0.2807482199513153,,0.2827459882128501
uspto_backgrounds,1,interaction,0.1,0.2806219030771683,arxiv|stackexchange|pubmed_central|pile_cc|github,0.27932760965253745
uspto_backgrounds,2,ridge,0.1,0.28323971732338415,,0.26470525332059863
uspto_backgrounds,2,interaction,0.1,0.28172116247985074,freelaw|github|pubmed_central|arxiv|pile_cc,0.2610380277999267
uspto_backgrounds,3,ridge,0.1,0.28619929992781423,,0.276542662427899
uspto_backgrounds,3,interaction,0.1,0.2856133665075057,freelaw|arxiv|pubmed_central|pile_cc|github,0.2706741214731828
uspto_backgrounds,4,ridge,0.1,0.2773693580843438,,0.30426681717459214
uspto_backgrounds,4,interaction,0.1,0.27542379862595606,freelaw|pubmed_central|github|arxiv|pile_cc,0.3012492014069666
uspto_backgrounds,5,ridge,0.1,0.28809174248122266,,0.26743841681867037
uspto_backgrounds,5,interaction,0.1,0.2855104607323372,arxiv|stackexchange|github|pubmed_central|pile_cc,0.2653659487238895
