quality_domain,metric,sample_oriented_z_median,extended_oriented_z_median,delta_oriented_z_median
arxiv,fineweb_edu,1.7554399629865207,1.687500146051636,-0.06793981693488482
arxiv,fluency_en,0.6488167959059933,0.6486046411070601,-0.00021215479893321731
arxiv,modernbert_cleanliness,0.7018930649415498,0.7018635619280187,-2.950301353110696e-05
arxiv,modernbert_readability,0.7564431749514957,0.7515832287651864,-0.004859946186309361
arxiv,modernbert_reasoning,5.0,5.0,0.0
arxiv,modernbert_professionalism,1.1794865135664778,1.1794868509072025,3.37340724687607e-07
arxiv,dsir_books,3.150949202927961,3.207581879019432,0.05663267609147127
arxiv,dsir_wiki,3.1079135718934157,3.1597720542253858,0.0518584823319701
arxiv,dsir_math,2.6684719410469366,2.7157443467117908,0.047272405664854134
arxiv,qurater,2.6266748809298743,2.6288401260133396,0.0021652450834652726
arxiv,ad_en,0.5906123049138279,0.5811478147901117,-0.009464490123716196
arxiv,rps_doc_word_count,2.5043680739785277,2.550805846852089,0.04643777287356121
arxiv,rps_doc_num_sentences,2.451091583267421,2.504899505194482,0.05380792192706085
arxiv,rps_doc_unigram_entropy,1.649959847233649,1.6763459150815196,0.026386067847870676
arxiv,rps_doc_frac_unique_words,2.047496341425751,2.0787715024238818,0.03127516099813077
arxiv,rps_doc_frac_no_alph_words,-1.0532827465121586,-1.0552322045529803,-0.0019494580408216944
arxiv,rps_doc_frac_chars_top_2gram,0.6411192095894171,0.6490549833375959,0.007935773748178776
arxiv,rps_doc_frac_chars_top_3gram,0.4576953502962719,0.4563648162198119,-0.0013305340764599993
arxiv,rps_lines_uppercase_letter_fraction,0.03493819557120614,0.07133809164385149,0.03639989607264535
arxiv,rps_lines_ending_with_terminal_punctution_mark,-0.4608708890988756,-0.4832885595068949,-0.02241767040801934
arxiv,rps_lines_numerical_chars_fraction,1.11314564571265,1.1539146843531902,0.040769038640540156
arxiv,rps_doc_mean_word_length,-0.42461861235842635,-0.4177121940191951,0.006906418339231224
github,fineweb_edu,-0.14407075451882467,-0.13646975409995282,0.0076010004188718505
github,fluency_en,-2.2736824737917933,-2.2697374780403567,0.003944995751436586
github,modernbert_cleanliness,-1.4058780620669242,-1.4059538833450151,-7.58212780909151e-05
github,modernbert_readability,-1.2638865639983967,-1.2677681918183308,-0.0038816278199340637
github,modernbert_reasoning,-0.34964664895370273,-0.35924625071597865,-0.009599601762275922
github,modernbert_professionalism,0.8778539969482677,0.8632733556345689,-0.01458064131369885
github,dsir_books,0.07115048833920667,0.05824109167003973,-0.012909396669166948
github,dsir_wiki,0.06294700175191578,0.04907751244895233,-0.013869489302963452
github,dsir_math,-0.0061948705396982695,-0.017516698483266112,-0.011321827943567842
github,qurater,-0.300871799732666,-0.3057393721761589,-0.004867572443492896
github,ad_en,0.07393293839875927,0.08552229725385578,0.011589358855096515
github,rps_doc_word_count,-0.6456097944988544,-0.6671940192178732,-0.021584224719018885
github,rps_doc_num_sentences,0.11817472416439775,0.08050964334983056,-0.037665080814567195
github,rps_doc_unigram_entropy,-0.8570708217835897,-0.8874426481978805,-0.030371826414290815
github,rps_doc_frac_unique_words,-0.2595109034057081,-0.25192992538325265,0.007580978022455442
github,rps_doc_frac_no_alph_words,-1.955224832045939,-1.9954598269426889,-0.040234994896749754
github,rps_doc_frac_chars_top_2gram,0.13639930149563284,0.13639930149563284,0.0
github,rps_doc_frac_chars_top_3gram,0.31902345130001886,0.31902345130001886,0.0
github,rps_lines_uppercase_letter_fraction,-0.16718459000674762,-0.17392272794834743,-0.006738137941599803
github,rps_lines_ending_with_terminal_punctution_mark,-0.7892413975818244,-0.7794976766240241,0.009743720957800295
github,rps_lines_numerical_chars_fraction,-0.36270725864573994,-0.36053371048505356,0.0021735481606863782
github,rps_doc_mean_word_length,-3.7975232269478347,-3.7687422713741174,0.028780955573717293
