context_tokens,cost_coefficient_FLOPs_per_NB_DB,attn_train_ratio,budget_min_feasible,budget_Nmin_to_interior,budget_interior_to_Dmax,budget_support_corner,elasticity_N_budget,elasticity_D_budget,N_ratio_vs_2048_interior,D_ratio_vs_2048_interior
2048,6.4096e+18,0.0682666666667,6.05875644288e+16,7.94833252597e+17,9.32631289553e+21,2.30006390877e+22,0.451528388895,0.548471611105,1,1
8192,7.6384e+18,0.273066666667,7.22029537152e+16,9.47212667973e+17,1.11142830163e+22,2.74101475299e+22,0.451528388895,0.548471611105,0.923860542369,0.908284935701
131072,3.22144e+19,4.36906666667,3.04510739443e+17,3.99480097548e+18,4.68736854315e+22,1.15600316374e+23,0.451528388895,0.548471611105,0.48236930122,0.412478408394
