quality_domain,Q_z_median_expectation,Q_z_median_argmax,domain_rank_spearman_all7
arxiv,2.6825847228467357,2.5564037178067576,0.9642857142857145
book,2.771089402271088,2.938033119184064,0.9642857142857145
c4,-0.21734541380716516,-0.16768928800273292,0.9642857142857145
commoncrawl,0.5061489813900384,0.5575254592889176,0.9642857142857145
github,-0.5170697233047957,-0.40830751694440665,0.9642857142857145
stackexchange,0.18741076603582613,0.09598722521806102,0.9642857142857145
wikipedia,-0.3759209796904164,-0.45421102650571965,0.9642857142857145
