quality_domain,metric_a,metric_b,mean_domain_spearman,conflict_strength,min_domain_spearman,max_domain_spearman,n_domains
arxiv,rps_doc_word_count,rps_doc_frac_no_alph_words,-0.15328971625221854,0.15328971625221854,-0.15328971625221854,-0.15328971625221854,1
arxiv,modernbert_cleanliness,rps_doc_unigram_entropy,-0.14948976455225074,0.14948976455225074,-0.14948976455225074,-0.14948976455225074,1
arxiv,fineweb_edu,ad_en,-0.1481265157379851,0.1481265157379851,-0.1481265157379851,-0.1481265157379851,1
arxiv,modernbert_cleanliness,rps_doc_word_count,-0.14273183624723973,0.14273183624723973,-0.14273183624723973,-0.14273183624723973,1
arxiv,modernbert_cleanliness,rps_lines_ending_with_terminal_punctution_mark,-0.12121600981312257,0.12121600981312257,-0.12121600981312257,-0.12121600981312257,1
arxiv,fineweb_edu,rps_doc_unigram_entropy,-0.1197124749713605,0.1197124749713605,-0.1197124749713605,-0.1197124749713605,1
arxiv,modernbert_cleanliness,rps_doc_frac_unique_words,-0.11951083276494855,0.11951083276494855,-0.11951083276494855,-0.11951083276494855,1
arxiv,rps_doc_frac_unique_words,rps_doc_frac_no_alph_words,-0.11569437517540185,0.11569437517540185,-0.11569437517540185,-0.11569437517540185,1
arxiv,modernbert_cleanliness,rps_lines_numerical_chars_fraction,-0.11430447353764321,0.11430447353764321,-0.11430447353764321,-0.11430447353764321,1
arxiv,fluency_en,rps_doc_frac_chars_top_2gram,-0.11309695900773567,0.11309695900773567,-0.11309695900773567,-0.11309695900773567,1
arxiv,modernbert_readability,rps_doc_frac_unique_words,-0.10470273965396301,0.10470273965396301,-0.10470273965396301,-0.10470273965396301,1
arxiv,rps_doc_frac_unique_words,rps_lines_numerical_chars_fraction,-0.10194291612344678,0.10194291612344678,-0.10194291612344678,-0.10194291612344678,1
arxiv,modernbert_reasoning,rps_lines_uppercase_letter_fraction,-0.09983433175524875,0.09983433175524875,-0.09983433175524875,-0.09983433175524875,1
arxiv,modernbert_cleanliness,rps_doc_frac_no_alph_words,-0.09909872041061245,0.09909872041061245,-0.09909872041061245,-0.09909872041061245,1
arxiv,ad_en,rps_doc_unigram_entropy,-0.09580555481568676,0.09580555481568676,-0.09580555481568676,-0.09580555481568676,1
arxiv,modernbert_readability,rps_doc_frac_chars_top_2gram,-0.08636912748344432,0.08636912748344432,-0.08636912748344432,-0.08636912748344432,1
arxiv,modernbert_professionalism,rps_lines_numerical_chars_fraction,-0.08485005544668502,0.08485005544668502,-0.08485005544668502,-0.08485005544668502,1
arxiv,rps_doc_unigram_entropy,rps_lines_ending_with_terminal_punctution_mark,-0.076259787430854,0.076259787430854,-0.076259787430854,-0.076259787430854,1
arxiv,rps_lines_uppercase_letter_fraction,rps_lines_numerical_chars_fraction,-0.0750445031271945,0.0750445031271945,-0.0750445031271945,-0.0750445031271945,1
arxiv,rps_doc_unigram_entropy,rps_lines_uppercase_letter_fraction,-0.07411285692181555,0.07411285692181555,-0.07411285692181555,-0.07411285692181555,1
arxiv,rps_doc_frac_unique_words,rps_doc_frac_chars_top_3gram,-0.07381683726900568,0.07381683726900568,-0.07381683726900568,-0.07381683726900568,1
arxiv,ad_en,rps_doc_num_sentences,-0.07166787507506774,0.07166787507506774,-0.07166787507506774,-0.07166787507506774,1
arxiv,modernbert_reasoning,rps_lines_ending_with_terminal_punctution_mark,-0.06647544888476174,0.06647544888476174,-0.06647544888476174,-0.06647544888476174,1
arxiv,modernbert_reasoning,rps_doc_frac_no_alph_words,-0.06454197966748422,0.06454197966748422,-0.06454197966748422,-0.06454197966748422,1
arxiv,fluency_en,rps_lines_numerical_chars_fraction,-0.06239196749521164,0.06239196749521164,-0.06239196749521164,-0.06239196749521164,1
