dataset_scope,quality_domain,n_rows,Q_z_median,Q_z_trimmed_mean,Q_equal22_median,Q_ci_low,Q_ci_high
sample,arxiv,1419,2.6886935343361333,2.7013136204885018,1.3569345752791546,2.6621478011974355,2.726220698360115
sample,book,171,2.9183127695669935,2.830765328320312,1.417941499619795,2.787906367685655,2.9606246090215587
sample,c4,10000,-0.30398246745883717,-0.299887472957365,-0.1969861763873965,-0.3193167754138551,-0.28396933729895113
sample,commoncrawl,9640,0.43672408224617987,0.45758796736915963,0.18125043364250382,0.42238694342000593,0.4543217637952914
sample,github,10000,-0.48535057808024096,-0.519469848857531,-0.5853222864630595,-0.5116698287970813,-0.4602429191275927
sample,stackexchange,10000,0.25167008153856363,0.2550083199308341,0.09423842298562705,0.23700461816136303,0.2660004837845429
sample,wikipedia,10000,-0.2944371095837085,-0.321580930136103,-0.23026850809654933,-0.3194399590017242,-0.27063283496238383
arxiv_extended,arxiv,17523,2.7252526038451155,2.7249501645780807,1.3636134656280197,2.7164906336271937,2.733151235664536
github_extended,github,203752,-0.505484640415014,-0.5267064685191463,-0.5881369440632838,-0.510802305224201,-0.4998948243423077
