method,train_rmse,AIC_descriptive,BIC_descriptive,N_params_B_mean_fold_RMSE,D_tokens_B_mean_fold_RMSE,Q_score_mean_fold_RMSE
joint,0.048410127570285066,-2707.241615845901,-2670.2583876010217,0.049763509365162197,0.049007524581610465,0.049351963100079825
staged,0.04918831032983102,-2692.889350772538,-2655.9061225276587,0.0519355869762885,0.05020662811799377,0.05006088314593795
