N0,D0,Q0,Q1,N1,D1,N_multiplier,D_multiplier,N_status,D_status
0.1,20.0,0.5,0.1,0.2096015694444044,95.36979947222632,2.0960156944440436,4.768489973611316,supported,supported
0.1,20.0,0.5,0.11,0.2056960201688477,91.02410658768743,2.0569602016884767,4.551205329384372,supported,supported
0.1,20.0,0.5,0.12000000000000001,0.20186519172304412,86.91705961824478,2.018651917230441,4.345852980912239,supported,supported
0.1,20.0,0.5,0.13,0.19810772364083648,83.03354171982235,1.9810772364083646,4.151677085991118,supported,supported
0.1,20.0,0.5,0.14,0.19442227630166098,79.35950924226994,1.9442227630166098,3.967975462113497,supported,supported
0.1,20.0,0.5,0.15000000000000002,0.19080753075370718,75.88190807610852,1.9080753075370718,3.794095403805426,supported,supported
0.1,20.0,0.5,0.16,0.18726218853393747,72.58859704789968,1.8726218853393746,3.629429852394984,supported,supported
0.1,20.0,0.5,0.17,0.18378497148511636,69.46827773019025,1.8378497148511634,3.4734138865095128,supported,supported
0.1,20.0,0.5,0.18,0.1803746215700219,66.5104300921941,1.8037462157002189,3.325521504609705,supported,supported
0.1,20.0,0.5,0.19,0.17702990068299687,63.705253471682255,1.7702990068299687,3.1852626735841127,supported,supported
0.1,20.0,0.5,0.2,0.17374959045904967,61.04361239742686,1.7374959045904965,3.052180619871343,supported,supported
0.1,20.0,0.5,0.21000000000000002,0.17053249208031612,58.51698683562224,1.7053249208031611,2.9258493417811122,supported,supported
0.1,20.0,0.5,0.22,0.1673774260810879,56.11742647343432,1.673774260810879,2.805871323671716,supported,supported
0.1,20.0,0.5,0.23,0.16428323214980878,53.83750868870644,1.6428323214980878,2.691875434435322,supported,supported
0.1,20.0,0.5,0.24000000000000002,0.1612487689317235,51.67029988716423,1.6124876893172349,2.5835149943582114,supported,supported
0.1,20.0,0.5,0.25,0.1582729138194024,49.60931991774664,1.5827291381940238,2.480465995887332,supported,supported
0.1,20.0,0.5,0.26,0.15535456276509388,47.648509303047064,1.5535456276509387,2.382425465152353,supported,supported
0.1,20.0,0.5,0.27,0.15249263006382482,45.78219904574994,1.524926300638248,2.289109952287497,supported,supported
0.1,20.0,0.5,0.28,0.1496860481525718,44.00508279350161,1.496860481525718,2.2002541396750805,supported,supported
0.1,20.0,0.5,0.29000000000000004,0.1469337674034754,42.31219116424742,1.4693376740347541,2.115609558212371,supported,supported
0.1,20.0,0.5,0.30000000000000004,0.14423475591616255,40.69886805168277,1.4423475591616255,2.0349434025841386,supported,supported
0.1,20.0,0.5,0.31,0.14158799930924035,39.16074874653911,1.4158799930924033,1.9580374373269556,supported,supported
0.1,20.0,0.5,0.32,0.13899250051267587,37.693739723918,1.3899250051267587,1.8846869861959,supported,supported
0.1,20.0,0.5,0.33,0.1364472795482748,36.2939999600588,1.3644727954827478,1.81469999800294,supported,supported
0.1,20.0,0.5,0.33999999999999997,0.13395137334246626,34.95792365386019,1.3395137334246625,1.7478961826930095,supported,supported
0.1,20.0,0.5,0.35,0.13150383548721986,33.68212423932188,1.3150383548721984,1.684106211966094,supported,supported
0.1,20.0,0.5,0.36,0.1291037360469502,32.463419584909964,1.2910373604695018,1.6231709792454982,supported,supported
0.1,20.0,0.5,0.37,0.12675016134249464,31.29881828479099,1.2675016134249464,1.5649409142395494,supported,supported
0.1,20.0,0.5,0.38,0.12444221373998822,30.18550695501062,1.244422137399882,1.509275347750531,supported,supported
0.1,20.0,0.5,0.39,0.12217901143977233,29.120838455085533,1.2217901143977232,1.4560419227542767,supported,supported
0.1,20.0,0.5,0.4,0.1199596882654887,28.102320962199993,1.1995968826548868,1.4051160481099996,supported,supported
0.1,20.0,0.5,0.41000000000000003,0.11778339345330278,27.127607831327396,1.1778339345330278,1.3563803915663697,supported,supported
0.1,20.0,0.5,0.42000000000000004,0.11564929144183872,26.19448818016942,1.156492914418387,1.309724409008471,supported,supported
0.1,20.0,0.5,0.43000000000000005,0.113556561662178,25.300878142893755,1.1355656166217798,1.2650439071446877,supported,supported
0.1,20.0,0.5,0.44000000000000006,0.1115043983286944,24.444812741281773,1.1150439832869439,1.2222406370640886,supported,supported
0.1,20.0,0.5,0.45000000000000007,0.10949201023209831,23.624438326126448,1.0949201023209831,1.1812219163063225,supported,supported
0.1,20.0,0.5,0.45999999999999996,0.10751862052234723,22.83800554558005,1.0751862052234722,1.1419002772790026,supported,supported
0.1,20.0,0.5,0.47,0.10558346652306409,22.083862800672772,1.055834665230641,1.1041931400336387,supported,supported
0.1,20.0,0.5,0.48,0.1036857994998122,21.360450151442066,1.036857994998122,1.0680225075721033,supported,supported
0.1,20.0,0.5,0.49,0.10182488447115058,20.66629364005582,1.0182488447115057,1.033314682002791,supported,supported
0.1,20.0,0.5,0.5,0.09999999999999441,20.000000000001304,0.999999999999944,1.0000000000000653,supported,supported
0.1,20.0,0.5,0.51,0.09821043799084998,19.360251722865524,0.9821043799084997,0.9680125861432762,supported,supported
0.1,20.0,0.5,0.52,0.09645550348815057,18.745802456517755,0.9645550348815057,0.9372901228258878,supported,supported
0.1,20.0,0.5,0.53,0.09473451447581624,18.155472710502536,0.9473451447581623,0.9077736355251268,supported,supported
0.1,20.0,0.5,0.54,0.09304680167812879,17.588145846421032,0.9304680167812879,0.8794072923210516,supported,supported
0.1,20.0,0.5,0.55,0.09139170836198718,17.042764332751677,0.9139170836198718,0.8521382166375838,supported,supported
0.1,20.0,0.5,0.56,0.0897685901406066,16.5183262451767,0.897685901406066,0.8259163122588349,supported,supported
0.1,20.0,0.5,0.5700000000000001,0.08817681477870744,16.01388199493158,0.8817681477870744,0.800694099746579,supported,supported
0.1,20.0,0.5,0.58,0.0866157619992535,15.528531269044754,0.8661576199925349,0.7764265634522377,supported,supported
0.1,20.0,0.5,0.59,0.08508482329399854,15.061420167524135,0.8508482329399853,0.7530710083762068,supported,supported
0.1,20.0,0.5,0.6,0.08358340172281492,14.611738523753651,0.8358340172281492,0.7305869261876825,supported,supported
0.1,20.0,0.5,0.61,0.08211091174538461,14.178717395308631,0.8211091174538461,0.7089358697654315,supported,supported
0.1,20.0,0.5,0.62,0.08066677901644348,13.761626713422531,0.8066677901644348,0.6880813356711266,supported,supported
0.1,20.0,0.5,0.63,0.0792504402082819,13.35977308018547,0.7925044020828189,0.6679886540092734,supported,supported
0.1,20.0,0.5,0.64,0.0778613428270193,12.972497703369537,0.778613428270193,0.6486248851684768,supported,supported
0.1,20.0,0.5,0.65,0.076498945031189,12.599174459521173,0.7649894503118899,0.6299587229760586,supported,supported
0.1,20.0,0.5,0.66,0.07516271545321607,12.239208076646056,0.7516271545321607,0.6119604038323028,supported,supported
0.1,20.0,0.5,0.67,0.07385213301743325,11.8920324284447,0.7385213301743324,0.594601621422235,supported,supported
0.1,20.0,0.5,0.6799999999999999,0.07256668677331687,11.557108932635476,0.7256668677331687,0.5778554466317738,supported,supported
0.1,20.0,0.5,0.69,0.07130587571327127,11.233925046457275,0.7130587571327126,0.5616962523228637,supported,supported
0.1,20.0,0.5,0.7,0.07006920860457871,10.921992852903873,0.7006920860457871,0.5460996426451936,supported,supported
0.1,20.0,0.5,0.71,,10.62084773174593,,0.5310423865872965,no_equal_loss_root_in_support,supported
0.1,20.0,0.5,0.72,,10.330047109783987,,0.5165023554891993,no_equal_loss_root_in_support,supported
0.1,20.0,0.5,0.73,,10.04916928518464,,0.502458464259232,no_equal_loss_root_in_support,supported
0.1,20.0,0.5,0.74,,,,,no_equal_loss_root_in_support,no_equal_loss_root_in_support
0.1,20.0,0.5,0.75,,,,,no_equal_loss_root_in_support,no_equal_loss_root_in_support
0.1,20.0,0.5,0.76,,,,,no_equal_loss_root_in_support,no_equal_loss_root_in_support
0.1,20.0,0.5,0.77,,,,,no_equal_loss_root_in_support,no_equal_loss_root_in_support
0.1,20.0,0.5,0.78,,,,,no_equal_loss_root_in_support,no_equal_loss_root_in_support
