index,arxiv,freelaw,nih_exporter,pubmed_central,wikipedia_en,dm_mathematics,github,philpapers,stackexchange,enron_emails,gutenberg_pg_19,pile_cc,ubuntu_irc,europarl,hackernews,pubmed_abstracts,uspto_backgrounds
26,0.37737737737737737,0.003003003003003003,0.002002002002002002,0.5145145145145146,0.05205205205205205,0.0,0.001001001001001001,0.0,0.005005005005005005,0.0,0.0,0.001001001001001001,0.02002002002002002,0.0,0.0,0.014014014014014014,0.01001001001001001
27,0.0,0.258,0.0,0.234,0.101,0.011,0.029,0.008,0.001,0.001,0.125,0.004,0.003,0.0,0.066,0.158,0.001
28,0.013013013013013013,0.31931931931931934,0.0,0.0,0.003003003003003003,0.15315315315315314,0.014014014014014014,0.055055055055055056,0.33433433433433435,0.0,0.06506506506506507,0.02902902902902903,0.0,0.0,0.0,0.0,0.014014014014014014
29,0.001998001998001998,0.0,0.0,0.000999000999000999,0.0,0.0,0.0,0.0,0.0,0.0,0.3006993006993007,0.010989010989010986,0.0,0.011988011988011986,0.0,0.000999000999000999,0.6723276723276723
30,0.0,0.0009990009990009992,0.0,0.0019980019980019984,0.15084915084915085,0.0,0.14185814185814186,0.0,0.0,0.0,0.2787212787212788,0.0,0.003996003996003997,0.0,0.0,0.0,0.4215784215784216
31,0.082,0.013,0.0,0.006,0.308,0.001,0.003,0.0,0.0,0.0,0.372,0.062,0.0,0.0,0.01,0.142,0.001
32,0.0,0.9449449449449449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028028028028028028,0.0,0.001001001001001001,0.0,0.007007007007007007,0.019019019019019017
33,0.0,0.0,0.0,0.0,0.0,0.0,0.385,0.0,0.0,0.0,0.4,0.214,0.0,0.0,0.0,0.001,0.0
34,0.0,0.01898101898101898,0.001998001998001998,0.016983016983016984,0.0,0.0,0.7712287712287712,0.000999000999000999,0.042957042957042946,0.000999000999000999,0.023976023976023973,0.0,0.020979020979020976,0.1008991008991009,0.0,0.0,0.0
35,0.0,0.0,0.0,0.003,0.346,0.194,0.0,0.0,0.445,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0
36,0.5775775775775776,0.0,0.016016016016016016,0.13613613613613615,0.0,0.007007007007007007,0.0,0.0,0.13213213213213215,0.0,0.06606606606606608,0.0,0.06406406406406406,0.001001001001001001,0.0,0.0,0.0
37,0.00501002004008016,0.013026052104208416,0.04008016032064128,0.1843687374749499,0.342685370741483,0.06813627254509018,0.02905811623246493,0.0,0.013026052104208416,0.0,0.006012024048096192,0.003006012024048096,0.0,0.002004008016032064,0.02404809619238477,0.07715430861723446,0.19238476953907815
38,0.009009009009009009,0.015015015015015015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6486486486486487,0.0,0.06606606606606608,0.0,0.008008008008008008,0.25325325325325326
39,0.0,0.042,0.046,0.007,0.37,0.02,0.002,0.006,0.457,0.0,0.008,0.004,0.0,0.0,0.014,0.0,0.024
40,0.04095904095904097,0.4865134865134866,0.0,0.3596403596403597,0.0,0.0,0.0,0.0,0.04295704295704296,0.0,0.0,0.03796203796203797,0.0,0.0,0.0009990009990009992,0.03096903096903097,0.0
41,0.034,0.0,0.002,0.005,0.02,0.011,0.783,0.016,0.001,0.0,0.061,0.022,0.011,0.015,0.001,0.01,0.008
42,0.005994005994005995,0.0009990009990009992,0.0009990009990009992,0.025974025974025976,0.10889110889110891,0.01198801198801199,0.3756243756243757,0.0,0.0,0.0,0.029970029970029972,0.0009990009990009992,0.0,0.1138861138861139,0.1188811188811189,0.02197802197802198,0.18381618381618384
43,0.32667332667332666,0.0,0.03296703296703297,0.0,0.14485514485514484,0.08291708291708291,0.006993006993006992,0.0,0.13086913086913085,0.001998001998001998,0.19980019980019978,0.03496503496503497,0.0,0.01898101898101898,0.003996003996003996,0.0,0.014985014985014982
