policy,model,recipe_index,objective_relative,known_QA_share,direct_QA_share,unknown_QA_share,max_domain_share
equal_13_relative,ridge_v1.3,136,-0.14589638880063033,0.4314314314314314,0.15915915915915915,0.5685685685685684,0.22522522522522523
equal_13_relative,interaction_candidate,136,-0.11301299167599131,0.4314314314314314,0.15915915915915915,0.5685685685685684,0.22522522522522523
minimax_13_relative,ridge_v1.3,163,0.004655833489546141,0.4814814814814815,0.23723723723723722,0.5185185185185186,0.35435435435435436
minimax_13_relative,interaction_candidate,477,0.039631946462151194,0.6306306306306307,0.5675675675675675,0.3693693693693694,0.35535535535535534
arxiv_only_relative,ridge_v1.3,300,-0.4713749653189275,0.9131736526946108,0.9021956087824351,0.08682634730538923,0.9021956087824351
arxiv_only_relative,interaction_candidate,3,-0.4571584843329752,0.9480000000000001,0.679,0.052000000000000005,0.679
