context_tokens,budget_FLOPs,quality_family,loss_gap_to_best_cost_scenario,training_share,attention_share,quality_share
2048,1e+19,exponential,0.0,0.9095146412683776,0.06208953284392124,0.02839582588770119
2048,1e+19,power,0.0006420611454820424,0.9360958562156765,0.0639041437843235,0.0
2048,1e+19,logarithmic,0.0006420611454820424,0.9360958562156765,0.0639041437843235,0.0
2048,1e+22,exponential,0.003850738084417049,0.8769218852359356,0.05986453403210654,0.0632135807319578
2048,1e+22,power,0.00505317598511601,0.8657520755576553,0.05910200835806926,0.07514591608427545
2048,1e+22,logarithmic,0.0,0.9155211468781586,0.06249957696021564,0.02197927616162583
2048,1e+24,exponential,0.0,0.891549888307422,0.06086313904178667,0.047586972650791336
2048,1e+24,power,0.0,0.882196739159114,0.060224630726595514,0.057578630114290534
2048,1e+24,logarithmic,0.0,0.921535007372712,0.06291012316997713,0.015554869457310933
8192,1e+19,exponential,0.0,0.7699726478753888,0.2102538643798395,0.019773487744771723
8192,1e+19,power,0.0003267592171352085,0.7855048177628824,0.21449518223711772,0.0
8192,1e+19,logarithmic,0.0003267592171352085,0.7855048177628824,0.21449518223711772,0.0
8192,1e+22,exponential,0.00364636156725906,0.7394188476718285,0.20191064000425396,0.05867051232391746
8192,1e+22,power,0.0047883489098303755,0.7306175412405609,0.19950729659475583,0.06987516216468324
8192,1e+22,logarithmic,0.0,0.7695892031520754,0.21014915840739337,0.02026163844053124
8192,1e+24,exponential,0.0,0.7538963865198478,0.20586397327901976,0.04023964020113237
8192,1e+24,power,0.0,0.7471976343360847,0.2040347673493735,0.04876759831454186
8192,1e+24,logarithmic,0.0,0.7752262674609937,0.21168845276801534,0.013085279770990976
131072,1e+22,exponential,0.0023032138713698913,0.18046573802867932,0.7884668404965018,0.031067421474818654
131072,1e+22,power,0.0030378585023198568,0.17927864105909347,0.7832803346965832,0.03744102424432334
131072,1e+22,logarithmic,0.0,0.184334754220502,0.8053708301729879,0.010294415606510118
131072,1e+24,exponential,0.0,0.18441874686581894,0.8057377996398873,0.009843453494293797
131072,1e+24,power,0.0,0.18401518929321228,0.8039746297013306,0.01201018100545715
131072,1e+24,logarithmic,0.0,0.1856684054133006,0.8111976411444045,0.0031339534422949074
