budget_FLOPs,context_tokens,quality_family,Q0_scenario,status,ready_for_Q3,feasible,minimum_supported_cost_FLOPs,global_lower_bound,global_gap,certificate_tolerance,certificate_iterations,N_params_B,D_tokens_B,Q_score,B7_diagnostic_loss,loss_coordinate,C_train_FLOPs,C_attention_FLOPs,C_quality_FLOPs,C_total_FLOPs,budget_utilization,active_support,restricted_axis,restricted_upper,loss_penalty
1e+22,2048,logarithmic,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,2.090890115445489,8.434098708320903e-08,1e-07,14,8.415960288650957,181.30653256383823,1.0,2.090890199786476,attachment_B7_native_val_loss,9.155211468781585e+21,6.249957696021563e+20,2.1979276161625945e+20,1e+22,1.0,Q_max,D_tokens_B,300.0,0.0
1e+24,2048,logarithmic,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,2.0242277774179236,2.0242474363385554e-11,1e-07,0,11.97,300.0,1.0,2.024227777438166,attachment_B7_native_val_loss,2.1546e+22,1.4708736e+21,3.636814821421895e+20,2.338055508214219e+22,0.02338055508214219,N_max;D_max;Q_max,D_tokens_B,300.0,0.045114819324096
1e+19,8192,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,5.346880000000001e+18,3.30996312089015,9.992172955719525e-08,1e-07,4463,0.12832877464589812,10.000000000000002,0.5156494694313063,3.3099632208118797,attachment_B7_native_val_loss,7.699726478753888e+18,2.1025386437983951e+18,1.9773487744771722e+17,1e+19,1.0,D_min,N_params_B,6.9,0.0
1e+22,8192,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,5.346880000000001e+18,2.109721020104725,6.897339277500691e-08,1e-07,18,6.9,176.8709640688914,1.0,2.1097210890781177,attachment_B7_native_val_loss,7.322457912452104e+21,1.9995191739602544e+21,6.780229135876424e+20,1e+22,1.0,N_max;Q_max,N_params_B,6.9,0.0006175881591379273
1e+24,8192,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,5.346880000000001e+18,2.0233433258788596,2.0233592579188553e-11,1e-07,0,6.9,600.0,1.0,2.023343325899093,attachment_B7_native_val_loss,2.484e+22,6.782976e+21,2.3000595394172845e+21,3.392303553941728e+22,0.03392303553941728,N_max;D_max;Q_max,N_params_B,6.9,0.044230367785023095
1e+19,8192,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,5.346880000000001e+18,3.30996312089015,9.992172955719525e-08,1e-07,4463,0.12832877464589812,10.000000000000002,0.5156494694313063,3.3099632208118797,attachment_B7_native_val_loss,7.699726478753888e+18,2.1025386437983951e+18,1.9773487744771722e+17,1e+19,1.0,D_min,D_tokens_B,300.0,0.0
1e+22,8192,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,5.346880000000001e+18,2.109103438589718,6.232926175187004e-08,1e-07,18,8.052063913313567,153.0495484619886,1.0,2.10910350091898,attachment_B7_native_val_loss,7.394188476718287e+21,2.01910640004254e+21,5.8670512323917473e+20,1.0000000000000002e+22,1.0000000000000002,Q_max,D_tokens_B,300.0,0.0
1e+24,8192,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,5.346880000000001e+18,2.0242277774179236,2.0242474363385554e-11,1e-07,0,11.97,300.0,1.0,2.024227777438166,attachment_B7_native_val_loss,2.1546e+22,5.8834944e+21,1.1500297697086422e+21,2.8579524169708645e+22,0.028579524169708645,N_max;D_max;Q_max,D_tokens_B,300.0,0.045114819324096
1e+19,8192,power,0.5,B7_semi_synthetic_diagnostic_only,False,True,5.346880000000001e+18,3.3102898916016676,8.8427347222364e-08,1e-07,33,0.13091746962714704,10.000000000000002,0.5,3.310289980029015,attachment_B7_native_val_loss,7.855048177628824e+18,2.1449518223711772e+18,0.0,1e+19,1.0,D_min;Q0,N_params_B,6.9,0.0
1e+22,8192,power,0.5,B7_semi_synthetic_diagnostic_only,False,True,5.346880000000001e+18,2.1109898846506474,5.639799383061472e-08,1e-07,18,6.9,174.238915704258,1.0,2.1109899410486412,attachment_B7_native_val_loss,7.213491110156281e+21,1.9697639724800085e+21,8.167449173637093e+20,9.999999999999998e+21,0.9999999999999998,N_max;Q_max,N_params_B,6.9,0.0007444527870901219
