budget_FLOPs,context_tokens,quality_family,Q0_scenario,status,ready_for_Q3,feasible,minimum_supported_cost_FLOPs,global_lower_bound,global_gap,certificate_tolerance,certificate_iterations,N_params_B,D_tokens_B,Q_score,B7_diagnostic_loss,loss_coordinate,C_train_FLOPs,C_attention_FLOPs,C_quality_FLOPs,C_total_FLOPs,budget_utilization,active_support
1e+19,2048,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,3.264040562946251,9.977519583870276e-07,1e-06,1411,0.15158577354472957,10.000000000000002,0.522038871883415,3.2640415606982094,attachment_B7_native_val_loss,9.095146412683776e+18,6.208953284392124e+17,2.839582588770119e+17,1e+19,1.0,D_min
1.0746078283213175e+19,2048,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,3.2451157594715623,9.990751497213068e-07,1e-06,1407,0.16050351563117674,10.0,0.5342645630510041,3.245116758546712,attachment_B7_native_val_loss,9.630210937870604e+18,6.574224000253e+17,4.584449453172708e+17,1.0746078283213175e+19,1.0,D_min
1.1547819846894582e+19,2048,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,3.226224890354396,9.980527835296016e-07,1e-06,1396,0.1700499506083448,10.0,0.5466211700920185,3.2262258884071797,attachment_B7_native_val_loss,1.0202997036500687e+19,6.965245976917804e+17,6.48298212702114e+17,1.1547819846894582e+19,1.0,D_min
1.2409377607517196e+19,2048,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,3.2073822921021193,9.984964051135137e-07,1e-06,1380,0.1802684978725193,10.0,0.5591015620065287,3.2073832905985245,attachment_B7_native_val_loss,1.0816109872351158e+19,7.383797672858391e+17,8.548879678801996e+17,1.2409377607517198e+19,1.0000000000000002,D_min
1.3335214321633241e+19,2048,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,3.188601403404126,9.979498396539555e-07,1e-06,1361,0.19120551417451778,10.0,0.571698786151392,3.1886024013539656,attachment_B7_native_val_loss,1.1472330850471068e+19,7.831777860588248e+17,1.0797056851033491e+18,1.3335214321633243e+19,1.0000000000000002,D_min
1.4330125702369628e+19,2048,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,3.1698947597857963,9.944352967750092e-07,1e-06,1343,0.2029104888267493,10.0,0.5844060834677407,3.169895754221093,attachment_B7_native_val_loss,1.2174629329604958e+19,8.311213622343652e+17,1.3243750105303037e+18,1.4330125702369628e+19,1.0,D_min
1.539926526059492e+19,2048,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,3.1512739945659654,9.94023409806033e-07,1e-06,1322,0.215436250363445,10.0,0.5972169047642364,3.151274988589375,attachment_B7_native_val_loss,1.2926175021806698e+19,8.824268814886707e+17,1.5906633572995484e+18,1.5399265260594917e+19,0.9999999999999999,D_min
1.6548170999431815e+19,2048,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,3.132749865726106,9.986945799234093e-07,1e-06,1302,0.22883919549317056,10.000000000000002,0.6101248987037293,3.132750864420686,attachment_B7_native_val_loss,1.3730351729590235e+19,9.373253447400268e+17,1.8804939251015542e+18,1.6548170999431815e+19,1.0,D_min
1.7782794100389229e+19,2048,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,3.114332283864899,9.984188169553931e-07,1e-06,1282,0.24317951006893557,10.0,0.623123963817841,3.1143332822837158,attachment_B7_native_val_loss,1.4590770604136133e+19,9.960632732423602e+17,2.1959602230107348e+18,1.7782794100389226e+19,0.9999999999999999,D_min
1.9109529749704405e+19,2048,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,3.09603031402541,9.938078355808955e-07,1e-06,1264,0.258521426907804,9.999999999999998,0.6362082292503521,3.0960313078332455,attachment_B7_native_val_loss,1.5511285614468237e+19,1.0589037646143649e+18,2.5393403706218015e+18,1.9109529749704405e+19,1.0,D_min
2.053525026457146e+19,2048,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,3.0778521999691923,9.99957341374369e-07,1e-06,1310,0.27493349901441255,10.0,0.6493720443608422,3.0778531999265337,attachment_B7_native_val_loss,1.6496009940864754e+19,1.1261276119630337e+18,2.9131127117436754e+18,2.053525026457146e+19,1.0,D_min
2.2067340690845897e+19,2048,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,3.0598054417742406,9.998540648759047e-07,1e-06,1352,0.2924888733403108,10.0,0.6626100062309903,3.0598064416283055,attachment_B7_native_val_loss,1.754933240041865e+19,1.198034425201913e+18,3.3199738652253327e+18,2.2067340690845893e+19,0.9999999999999998,D_min
2.3713737056616554e+19,2048,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,3.0418967737519393,9.996681864521406e-07,1e-06,1370,0.31126558976460755,10.0,0.6759169620433187,3.041897773420126,attachment_B7_native_val_loss,1.8675935385876455e+19,1.2749438556758326e+18,3.762857815064269e+18,2.371373705661656e+19,1.0000000000000002,D_min
2.5482967479793463e+19,2048,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,3.0241322296297355,9.98367115201404e-07,1e-06,1380,0.3313469251586644,10.0,0.6892879640612437,3.0241332279968507,attachment_B7_native_val_loss,1.988081550951986e+19,1.3571970054498893e+18,4.244954964823714e+18,2.548296747979346e+19,0.9999999999999999,D_min
2.7384196342643614e+19,2048,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,3.006517166192259,9.999080172740094e-07,1e-06,1381,0.35282171813364815,10.0,0.7027183051947379,3.0065181661002764,attachment_B7_native_val_loss,2.116930308801889e+19,1.4451577574754227e+18,4.769735497149303e+18,2.7384196342643614e+19,1.0,D_min
2.942727176209282e+19,2048,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,2.989056313000884,9.999055690101954e-07,1e-06,1378,0.3757847158543486,10.0,0.7162035380404324,2.989057312906453,attachment_B7_native_val_loss,2.2547082951260914e+19,1.539214196139412e+18,5.340974614692497e+18,2.9427271762092827e+19,1.0000000000000002,D_min
3.162277660168379e+19,2048,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,2.9717537973677235,9.97179313788621e-07,1e-06,1375,0.40033699352576696,10.0,0.7297394154067514,2.9717547945470373,attachment_B7_native_val_loss,2.4020219611546018e+19,1.6397803254815414e+18,5.962776664656237e+18,3.1622776601683796e+19,1.0000000000000002,D_min
3.3982083289425592e+19,2048,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,2.954613175666024,9.987395199750893e-07,1e-06,1369,0.42658638753558303,10.0,0.7433218664782753,2.954614174405544,attachment_B7_native_val_loss,2.5595183252134986e+19,1.7472978433457482e+18,6.639602193944862e+18,3.3982083289425596e+19,1.0000000000000002,D_min
3.651741272548377e+19,2048,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,2.937637490099985,9.987858566873342e-07,1e-06,1364,0.45464782569989226,10.000000000000002,0.7569471299369375,2.937638488885842,attachment_B7_native_val_loss,2.7278869541993538e+19,1.8622374940667592e+18,7.376305689423477e+18,3.6517412725483774e+19,1.0000000000000002,D_min
3.924189758484536e+19,2048,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,2.9208292836650145,9.98737140989192e-07,1e-06,1354,0.484643946739819,10.0,0.7706115506633344,2.9208302824021555,attachment_B7_native_val_loss,2.9078636804389143e+19,1.9851016058462986e+18,8.178159174609921e+18,3.9241897584845365e+19,1.0000000000000002,D_min
4.216965034285823e+19,2048,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,2.904190644670071,9.967169605218373e-07,1e-06,1347,0.5167054756485758,9.999999999999998,0.784311724527416,2.9041916413870315,attachment_B7_native_val_loss,3.1002328538914546e+19,2.1164256282565663e+18,9.050896175687114e+18,4.216965034285823e+19,1.0,D_min
4.531583637600818e+19,2048,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,2.8877232272361804,9.999199503951672e-07,1e-06,1342,0.5509718020200669,9.999999999999998,0.7980444271725589,2.8877242271561308,attachment_B7_native_val_loss,3.3058308121204007e+19,2.2567805010741934e+18,1.0000747753729974e+19,4.531583637600818e+19,1.0,D_min
4.869675251658631e+19,2048,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,2.8714283116717456,9.958346502969562e-07,1e-06,1339,0.5875915476821115,10.0,0.8118066043473249,2.871429307506396,attachment_B7_native_val_loss,3.525549286092669e+19,2.4067749793059287e+18,1.1034484676353694e+19,4.8696752516586316e+19,1.0000000000000002,D_min
5.2329911468149465e+19,2048,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,4.4867200000000005e+18,2.8553067894658843,9.974913215415881e-07,1e-06,1335,0.6267231551124505,10.000000000000002,0.8255953750931351,2.855307786957206,attachment_B7_native_val_loss,3.7603389306747036e+19,2.567058043340598e+18,1.2159464118061836e+19,5.2329911468149465e+19,1.0,D_min
