budget_FLOPs,context_tokens,quality_family,Q0_scenario,status,ready_for_Q3,feasible,minimum_supported_cost_FLOPs,global_lower_bound,global_gap,certificate_tolerance,certificate_iterations,N_params_B,D_tokens_B,Q_score,B7_diagnostic_loss,loss_coordinate,C_train_FLOPs,C_attention_FLOPs,C_quality_FLOPs,C_total_FLOPs,budget_utilization,active_support,kkt_check_pass,kkt_relative_violation,multistart_loss_gap,converged_starts
1e+19,8192,logarithmic,0.5,B7_semi_synthetic_diagnostic_only,False,True,5.346880000000001e+18,3.3102899257373637,5.4291651174764866e-08,1e-07,20,0.13091746962714704,10.000000000000002,0.5,3.310289980029015,attachment_B7_native_val_loss,7.855048177628824e+18,2.1449518223711772e+18,0.0,1e+19,1.0,D_min;Q0,True,0.0,-5.995204332975845e-14,21
1e+22,8192,logarithmic,0.5,B7_semi_synthetic_diagnostic_only,False,True,5.346880000000001e+18,2.105457059681948,7.966977255691177e-08,1e-07,14,7.674199554340873,167.13777936548465,1.0,2.1054571393517207,attachment_B7_native_val_loss,7.695892031520753e+21,2.1014915840739338e+21,2.0261638440531237e+20,1e+22,1.0,Q_max,True,8.634508518219634e-18,-6.750155989720952e-14,22
1e+24,8192,logarithmic,0.5,B7_semi_synthetic_diagnostic_only,False,True,5.346880000000001e+18,1.979112958094279,1.9791057681572966e-11,1e-07,0,11.97,600.0,1.0,1.97911295811407,attachment_B7_native_val_loss,4.3092e+22,1.17669888e+22,7.27362964284379e+20,5.558635176428438e+22,0.055586351764284385,N_max;D_max;Q_max,True,0.0,0.0,24
1e+19,131072,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,False,2.2550080000000004e+19,,,,,,,,,,,,,,,,,,,
1e+22,131072,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,2.2550080000000004e+19,2.2427492682029007,7.985405758859088e-08,1e-07,17,3.7113005860074395,81.0433493804848,1.0,2.2427493480569582,attachment_B7_native_val_loss,1.8046573802867933e+21,7.884668404965019e+21,3.1067421474818654e+20,1e+22,1.0,Q_max,True,3.981375792560465e-17,-1.0436096431476471e-13,24
1e+24,131072,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,2.2550080000000004e+19,1.979112958094279,1.9791057681572966e-11,1e-07,0,11.97,600.0,1.0,1.97911295811407,attachment_B7_native_val_loss,4.3092e+22,1.882718208e+23,2.3000595394172845e+21,2.3366388033941727e+23,0.2336638803394173,N_max;D_max;Q_max,True,0.0,0.0,24
1e+19,131072,power,0.5,B7_semi_synthetic_diagnostic_only,False,False,2.2550080000000004e+19,,,,,,,,,,,,,,,,,,,
1e+22,131072,power,0.5,B7_semi_synthetic_diagnostic_only,False,True,2.2550080000000004e+19,2.243483927372124,6.531578433666141e-08,1e-07,17,3.740854881892081,79.87418505455648,1.0,2.243483992687908,attachment_B7_native_val_loss,1.7927864105909347e+21,7.832803346965832e+21,3.7441024244323346e+20,1e+22,1.0,Q_max,True,4.5390202457124846e-17,-1.0524914273446484e-13,24
1e+24,131072,power,0.5,B7_semi_synthetic_diagnostic_only,False,True,2.2550080000000004e+19,1.979112958094279,1.9791057681572966e-11,1e-07,0,11.97,600.0,1.0,1.97911295811407,attachment_B7_native_val_loss,4.3092e+22,1.882718208e+23,2.8125e+21,2.341763208e+23,0.23417632079999998,N_max;D_max;Q_max,True,0.0,0.0,24
1e+19,131072,logarithmic,0.5,B7_semi_synthetic_diagnostic_only,False,False,2.2550080000000004e+19,,,,,,,,,,,,,,,,,,,
1e+22,131072,logarithmic,0.5,B7_semi_synthetic_diagnostic_only,False,True,2.2550080000000004e+19,2.240446035025466,9.916012233546212e-08,1e-07,13,3.6178804329835614,84.91839242850381,1.0,2.2404461341855884,attachment_B7_native_val_loss,1.84334754220502e+21,8.053708301729879e+21,1.0294415606510117e+20,1e+22,1.0,Q_max,True,1.8801304072801518e-18,-7.416289804496046e-14,24
1e+24,131072,logarithmic,0.5,B7_semi_synthetic_diagnostic_only,False,True,2.2550080000000004e+19,1.979112958094279,1.9791057681572966e-11,1e-07,0,11.97,600.0,1.0,1.97911295811407,attachment_B7_native_val_loss,4.3092e+22,1.882718208e+23,7.27362964284379e+20,2.3209118376428437e+23,0.23209118376428436,N_max;D_max;Q_max,True,0.0,0.0,24
