budget_FLOPs,context_tokens,quality_family,Q0_scenario,context_role,ready_for_Q3,feasible,N_params_B,D_tokens_B,Q_score,B7_diagnostic_loss,cost_FLOPs,budget_utilization,active_support,kkt_relative_violation,kkt_check_pass,solver,producer_loss_difference
1e+19,2048,logarithmic,0.5,C7_candidate,False,True,0.15601597603608705,10.000000000000016,0.5,3.270609439107145,1.0000000000009052e+19,1.0000000000009053,D_min;Q0;budget,0.0,True,SLSQP,1.7408297026122455e-12
3e+19,2048,logarithmic,0.5,C7_candidate,False,True,0.27891419009946067,10.000000000000002,1.0,2.8919370292737723,3.0000000000021352e+19,1.0000000000007117,D_min;Q1;budget,0.0,True,SLSQP,0.0
1e+20,2048,logarithmic,0.5,C7_candidate,False,True,0.7655545562199013,16.3420853674645,1.0,2.643882678860196,1.0000000000005407e+20,1.0000000000005407,Q1;budget,1.2390833687067114e-11,True,SLSQP,1.3322676295501878e-13
3e+20,2048,logarithmic,0.5,C7_candidate,False,True,1.2078569053199053,33.504013097229624,1.0,2.4815352219140423,3.0000000000003434e+20,1.0000000000001146,Q1;budget,4.18810533491248e-12,True,SLSQP,1.745270594710746e-13
1e+21,2048,logarithmic,0.5,C7_candidate,False,True,2.0440094081309645,69.86384921439422,1.0,2.3405417889861972,1.0000000000007314e+21,1.0000000000007314,Q1;budget,4.739886549926094e-11,True,SLSQP,2.531308496145357e-14
3e+21,2048,logarithmic,0.5,C7_candidate,False,True,3.365767826733027,131.66269714755944,0.9999999999999998,2.2372245771245685,3.0000000000008866e+21,1.0000000000002955,Q1;budget,4.989933693799549e-12,True,SLSQP,3.064215547965432e-14
1e+22,2048,logarithmic,0.5,C7_candidate,False,True,5.898006400169776,256.30422907045045,1.0,2.145252371433453,1.00000000000011e+22,1.0000000000001101,Q1;budget,2.6792268658263587e-11,True,SLSQP,5.417888360170764e-14
3e+22,2048,logarithmic,0.5,C7_candidate,False,True,9.925758647275229,462.73149558096276,0.9999999999999999,2.076641278251035,3.000000000002914e+22,1.0000000000009714,Q1;budget,4.2954220546276676e-10,True,SLSQP,0.0
1e+23,2048,logarithmic,0.5,C7_candidate,False,True,11.969999999999997,600.0,1.0,2.0523920597927097,4.6761110164284365e+22,0.4676111016428437,D_max;N_max;Q1,0.0,True,SLSQP,0.0
3e+23,2048,logarithmic,0.5,C7_candidate,False,True,11.969999999999997,600.0,1.0,2.0523920597927097,4.6761110164284365e+22,0.1558703672142812,D_max;N_max;Q1,0.0,True,SLSQP,0.0
1e+24,2048,logarithmic,0.5,C7_candidate,False,True,11.969999999999997,600.0,1.0,2.0523920597927097,4.6761110164284365e+22,0.046761110164284365,D_max;N_max;Q1,0.0,True,SLSQP,0.0
1e+19,4096,exponential,0.5,CYJ_external_sensitivity,False,True,0.13248466314075605,10.000000000000002,0.5654244309447182,3.27931172388673,1.0000000000003314e+19,1.0000000000003313,D_min;budget,1.6498918103944822e-10,True,SLSQP,1.5765166949677223e-13
3e+19,4096,exponential,0.5,CYJ_external_sensitivity,False,True,0.33233809320713936,10.000000000000002,0.7562512104373652,2.9751734736387196,3.000000000002746e+19,1.0000000000009153,D_min;budget,3.6245230926748626e-08,True,SLSQP,2.2715163083830703e-12
1e+20,4096,exponential,0.5,CYJ_external_sensitivity,False,True,0.9196204901967178,10.568325619671192,0.9710991113926105,2.7096224081023026,1.0000000000002774e+20,1.0000000000002773,budget,2.918138455402439e-09,True,SLSQP,3.730349362740526e-14
3e+20,4096,exponential,0.5,CYJ_external_sensitivity,False,True,1.4220278903999772,22.172088410716505,0.9999999999999998,2.5215533651562545,3.000000000002822e+20,1.0000000000009406,Q1;budget,2.6027728455813124e-08,True,SLSQP,0.0
1e+21,4096,exponential,0.5,CYJ_external_sensitivity,False,True,2.273435307675412,51.715820736521245,1.0,2.3634335116165266,1.0000000000005175e+21,1.0000000000005174,Q1;budget,4.746781626999305e-11,True,SLSQP,0.0
3e+21,4096,exponential,0.5,CYJ_external_sensitivity,False,True,3.5867445405239984,106.0364390953971,1.0,2.251195414488927,3.0000000000136456e+21,1.0000000000045486,Q1;budget,3.5413865686959655e-10,True,SLSQP,0.0
1e+22,4096,exponential,0.5,CYJ_external_sensitivity,False,True,6.06943985160262,221.13054102752847,1.0,2.1537232315141583,1.0000000000001388e+22,1.0000000000001388,Q1;budget,1.290083445638364e-10,True,SLSQP,2.6645352591003757e-15
3e+22,4096,exponential,0.5,CYJ_external_sensitivity,False,True,9.993945202736173,416.758447921109,0.9999999999999999,2.0822992135928087,3.0000000000088852e+22,1.0000000000029616,Q1;budget,6.199925688037849e-11,True,SLSQP,0.0
1e+23,4096,exponential,0.5,CYJ_external_sensitivity,False,True,11.969999999999997,600.0,1.0,2.0523920597927097,5.127555393941727e+22,0.5127555393941727,D_max;N_max;Q1,0.0,True,SLSQP,0.0
3e+23,4096,exponential,0.5,CYJ_external_sensitivity,False,True,11.969999999999997,600.0,1.0,2.0523920597927097,5.127555393941727e+22,0.17091851313139092,D_max;N_max;Q1,0.0,True,SLSQP,0.0
1e+24,4096,exponential,0.5,CYJ_external_sensitivity,False,True,11.969999999999997,600.0,1.0,2.0523920597927097,5.127555393941727e+22,0.051275553939417275,D_max;N_max;Q1,0.0,True,SLSQP,0.0
1e+19,4096,power,0.5,CYJ_external_sensitivity,False,True,0.14664476771540907,10.000000000000007,0.5,3.286715661566617,1.0000000000049183e+19,1.0000000000049183,D_min;Q0;budget,0.0,True,SLSQP,0.0
3e+19,4096,power,0.5,CYJ_external_sensitivity,False,True,0.3472334993032703,10.000000000000002,0.6592872749690154,3.0123869524403983,3.0000000000040018e+19,1.0000000000013338,D_min;budget,4.7184223020869405e-11,True,SLSQP,0.0
1e+20,4096,power,0.5,CYJ_external_sensitivity,False,True,0.8483610899631288,10.000000000000002,0.9754806560527739,2.7287900993076795,1.0000000000034203e+20,1.0000000000034204,D_min;budget,1.8615983152566243e-11,True,SLSQP,0.0
3e+20,4096,power,0.5,CYJ_external_sensitivity,False,True,1.4910544908800443,20.19481427863546,1.0,2.5307347368654898,3.000000000007439e+20,1.0000000000024796,Q1;budget,7.478227463046281e-11,True,SLSQP,0.0
1e+21,4096,power,0.5,CYJ_external_sensitivity,False,True,2.356838000501678,48.171297844988665,1.0,2.3683696050910927,1.0000000000010061e+21,1.000000000001006,Q1;budget,5.3427648062885394e-11,True,SLSQP,0.0
3e+21,4096,power,0.5,CYJ_external_sensitivity,False,True,3.6824227050262834,100.67561083500526,0.9999999999999998,2.253893528834595,3.000000000000818e+21,1.0000000000002727,Q1;budget,3.217423702322768e-11,True,SLSQP,0.0
1e+22,4096,power,0.5,CYJ_external_sensitivity,False,True,6.1763422268167,213.65141567824926,1.0,2.155065139828145,1.000000000000749e+22,1.0000000000007492,Q1;budget,1.5657010869413008e-10,True,SLSQP,0.0
3e+22,4096,power,0.5,CYJ_external_sensitivity,False,True,10.108524429871702,407.50045449463227,0.9999999999999999,2.082990142505613,3.000000000000401e+22,1.0000000000001337,Q1;budget,7.001817884448941e-12,True,SLSQP,4.440892098500626e-14
1e+23,4096,power,0.5,CYJ_external_sensitivity,False,True,11.969999999999997,600.0,1.0,2.0523920597927097,5.178799439999998e+22,0.5178799439999999,D_max;N_max;Q1,0.0,True,SLSQP,0.0
3e+23,4096,power,0.5,CYJ_external_sensitivity,False,True,11.969999999999997,600.0,1.0,2.0523920597927097,5.178799439999998e+22,0.17262664799999994,D_max;N_max;Q1,0.0,True,SLSQP,0.0
1e+24,4096,power,0.5,CYJ_external_sensitivity,False,True,11.969999999999997,600.0,1.0,2.0523920597927097,5.178799439999998e+22,0.05178799439999999,D_max;N_max;Q1,0.0,True,SLSQP,0.0
1e+19,4096,logarithmic,0.5,CYJ_external_sensitivity,False,True,0.1466447677159446,10.000000000000002,0.5,3.286715661565659,1.0000000000085694e+19,1.0000000000085694,D_min;Q0;budget,0.0,True,SLSQP,0.0
3e+19,4096,logarithmic,0.5,CYJ_external_sensitivity,False,True,0.2621610149085693,10.000000000000007,1.0,2.9036490405603255,3.0000000000051495e+19,1.0000000000017164,D_min;Q1;budget,0.0,True,SLSQP,0.0
1e+20,4096,logarithmic,0.5,CYJ_external_sensitivity,False,True,0.7388989921574215,15.997513053603692,1.0,2.652160273873001,1.0000000000003832e+20,1.0000000000003832,Q1;budget,6.651968271490929e-12,True,SLSQP,2.304822999121825e-13
3e+20,4096,logarithmic,0.5,CYJ_external_sensitivity,False,True,1.167544202806467,32.701150923356174,1.0,2.4886245577454233,3.000000000000843e+20,1.0000000000002809,Q1;budget,1.0376133165509948e-11,True,SLSQP,0.0
1e+21,4096,logarithmic,0.5,CYJ_external_sensitivity,False,True,1.9784255235779797,68.0107821742865,1.0,2.3464709808312065,1.000000000000443e+21,1.000000000000443,Q1;budget,1.1437355618817928e-12,True,SLSQP,7.771561172376096e-14
3e+21,4096,logarithmic,0.5,CYJ_external_sensitivity,False,True,3.260681805478063,127.94533915782192,1.0,2.2422300350539803,3.0000000000010517e+21,1.0000000000003506,Q1;budget,1.1615276424897939e-10,True,SLSQP,5.1958437552457326e-14
1e+22,4096,logarithmic,0.5,CYJ_external_sensitivity,False,True,5.717627041437286,248.74437614806456,1.0,2.149389913430303,1.0000000000005853e+22,1.0000000000005853,Q1;budget,3.5743371901125044e-12,True,SLSQP,0.0
3e+22,4096,logarithmic,0.5,CYJ_external_sensitivity,False,True,9.625864819129339,448.7459638212713,1.0,2.080108806611042,3.00000000000278e+22,1.0000000000009266,Q1;budget,2.9712756835634965e-12,True,SLSQP,1.3633538742396922e-13
1e+23,4096,logarithmic,0.5,CYJ_external_sensitivity,False,True,11.969999999999997,600.0,1.0,2.0523920597927097,4.9702857364284365e+22,0.4970285736428437,D_max;N_max;Q1,0.0,True,SLSQP,0.0
3e+23,4096,logarithmic,0.5,CYJ_external_sensitivity,False,True,11.969999999999997,600.0,1.0,2.0523920597927097,4.9702857364284365e+22,0.1656761912142812,D_max;N_max;Q1,0.0,True,SLSQP,0.0
1e+24,4096,logarithmic,0.5,CYJ_external_sensitivity,False,True,11.969999999999997,600.0,1.0,2.0523920597927097,4.9702857364284365e+22,0.04970285736428436,D_max;N_max;Q1,0.0,True,SLSQP,0.0
1e+19,8192,exponential,0.5,C7_candidate,False,True,0.11890634294347115,10.000000000000002,0.5627042262708069,3.310084163716411,1.000000000000646e+19,1.000000000000646,D_min;budget,2.4969310368082685e-11,True,SLSQP,0.0
3e+19,8192,exponential,0.5,C7_candidate,False,True,0.2985078096699814,10.000000000000002,0.7537642236657937,2.997195110877211,3.0000000000027615e+19,1.0000000000009206,D_min;budget,1.3520668778278645e-10,True,SLSQP,0.0
1e+20,8192,exponential,0.5,C7_candidate,False,True,0.8651639315734904,10.03981048477202,0.9788146323247263,2.7240987588807277,1.000000000000461e+20,1.000000000000461,budget,7.610136850163426e-08,True,SLSQP,0.0
3e+20,8192,exponential,0.5,C7_candidate,False,True,1.3283884066927747,21.458928805969094,1.0,2.533908932551322,3.0000000000078676e+20,1.0000000000026226,Q1;budget,7.765406181679511e-11,True,SLSQP,0.0
1e+21,8192,exponential,0.5,C7_candidate,False,True,2.1307100967059207,49.72984617047134,1.0,2.373964909140296,1.0000000000013068e+21,1.0000000000013067,Q1;budget,9.203280939141409e-11,True,SLSQP,0.0
3e+21,8192,exponential,0.5,C7_candidate,False,True,3.3707513585884987,101.41789059094408,1.0,2.2602132631335623,3.0000000000062527e+21,1.000000000002084,Q1;budget,2.1051330095547276e-10,True,SLSQP,0.0
1e+22,8192,exponential,0.5,C7_candidate,False,True,5.717802752336976,210.4895483210337,0.9999999999999999,2.1612640378655286,1.000000000000566e+22,1.000000000000566,Q1;budget,5.165806444808909e-11,True,SLSQP,2.708944180085382e-14
3e+22,8192,exponential,0.5,C7_candidate,False,True,9.430215204679229,395.4382851817396,1.0,2.0886644710046247,3.000000000000041e+22,1.0000000000000138,Q1;budget,1.064453765063705e-10,True,SLSQP,1.2434497875801753e-14
1e+23,8192,exponential,0.5,C7_candidate,False,True,11.969999999999997,600.0,1.0,2.0523920597927097,5.715904833941727e+22,0.5715904833941727,D_max;N_max;Q1,0.0,True,SLSQP,0.0
3e+23,8192,exponential,0.5,C7_candidate,False,True,11.969999999999997,600.0,1.0,2.0523920597927097,5.715904833941727e+22,0.1905301611313909,D_max;N_max;Q1,0.0,True,SLSQP,0.0
1e+24,8192,exponential,0.5,C7_candidate,False,True,11.969999999999997,600.0,1.0,2.0523920597927097,5.715904833941727e+22,0.057159048339417276,D_max;N_max;Q1,0.0,True,SLSQP,0.0
1e+19,8192,power,0.5,C7_candidate,False,True,0.130917469627477,10.000000000000002,0.5,3.3170024723586544,1.0000000000025205e+19,1.0000000000025204,D_min;Q0;budget,0.0,True,SLSQP,0.0
3e+19,8192,power,0.5,C7_candidate,False,True,0.31212343914103463,10.000000000000002,0.6564301389939072,3.0347609294634523,3.0000000000147956e+19,1.0000000000049318,D_min;budget,3.80689237021599e-10,True,SLSQP,0.0
1e+20,8192,power,0.5,C7_candidate,False,True,0.7656397443234341,10.000000000000002,0.9720627896273241,2.7437757884960616,1.0000000000099806e+20,1.0000000000099807,D_min;budget,6.0704756219343375e-12,True,SLSQP,0.0
3e+20,8192,power,0.5,C7_candidate,False,True,1.3912910613258913,19.588974163106098,1.0,2.54289554782623,3.000000000001783e+20,1.0000000000005944,Q1;budget,7.059954097069519e-08,True,SLSQP,8.926193117986259e-14
1e+21,8192,power,0.5,C7_candidate,False,True,2.2064230450214244,46.42301007930531,0.9999999999999999,2.3787750283070928,1.0000000000008923e+21,1.0000000000008924,Q1;budget,5.977885807907556e-11,True,SLSQP,0.0
3e+21,8192,power,0.5,C7_candidate,False,True,3.4572761281460545,96.47680232082867,1.0,2.262832689983331,3.000000000025165e+21,1.0000000000083882,Q1;budget,4.3543902085257824e-10,True,SLSQP,0.0
1e+22,8192,power,0.5,C7_candidate,False,True,5.81409799640655,203.6746734647904,0.9999999999999998,2.1625623830782934,1.0000000000004173e+22,1.0000000000004174,Q1;budget,6.616200504260499e-10,True,SLSQP,0.0
3e+22,8192,power,0.5,C7_candidate,False,True,9.533123877763408,387.0702365209,1.0,2.0893314229818323,3.000000000016684e+22,1.0000000000055613,Q1;budget,6.339037840241468e-11,True,SLSQP,0.0
1e+23,8192,power,0.5,C7_candidate,False,True,11.969999999999997,600.0,1.0,2.0523920597927097,5.767148879999998e+22,0.5767148879999999,D_max;N_max;Q1,0.0,True,SLSQP,0.0
3e+23,8192,power,0.5,C7_candidate,False,True,11.969999999999997,600.0,1.0,2.0523920597927097,5.767148879999998e+22,0.19223829599999995,D_max;N_max;Q1,0.0,True,SLSQP,0.0
1e+24,8192,power,0.5,C7_candidate,False,True,11.969999999999997,600.0,1.0,2.0523920597927097,5.767148879999998e+22,0.05767148879999998,D_max;N_max;Q1,0.0,True,SLSQP,0.0
1e+19,8192,logarithmic,0.5,C7_candidate,False,True,0.13091746962717207,10.000000000000135,0.5,3.3170024723592846,1.0000000000002046e+19,1.0000000000002045,D_min;Q0;budget,0.0,True,SLSQP,5.906386491005833e-14
3e+19,8192,logarithmic,0.5,C7_candidate,False,True,0.23404487757387046,10.000000000000002,1.0,2.9257470091319795,3.0000000000008847e+19,1.0000000000002949,D_min;Q1;budget,0.0,True,SLSQP,6.52811138479592e-14
1e+20,8192,logarithmic,0.5,C7_candidate,False,True,0.6926349740042287,15.377767327527126,0.9999999999999999,2.667579694840976,1.0000000000004545e+20,1.0000000000004545,Q1;budget,1.2962488851164994e-11,True,SLSQP,4.529709940470639e-14
3e+20,8192,logarithmic,0.5,C7_candidate,False,True,1.097403805138972,31.26732459821991,0.9999999999999998,2.5018210759470936,3.000000000002855e+20,1.0000000000009517,Q1;budget,2.732104146540637e-11,True,SLSQP,3.9968028886505635e-15
1e+21,8192,logarithmic,0.5,C7_candidate,False,True,1.8640204771116413,64.72321987053746,1.0,2.357500943205663,1.0000000000005458e+21,1.0000000000005458,Q1;budget,3.2060848368625397e-09,True,SLSQP,1.2922996006636822e-13
3e+21,8192,logarithmic,0.5,C7_candidate,False,True,3.077009178485544,121.38034448246243,1.0,2.2515376606789483,3.0000000000070354e+21,1.0000000000023452,Q1;budget,9.936406700851684e-12,True,SLSQP,0.0
1e+22,8192,logarithmic,0.5,C7_candidate,False,True,5.401851300040892,235.43941103440707,1.0,2.1570812601160014,1.0000000000026045e+22,1.0000000000026044,Q1;budget,1.1053647608140718e-11,True,SLSQP,0.0
3e+22,8192,logarithmic,0.5,C7_candidate,False,True,9.100347021768131,424.1819795247632,1.0,2.0865534978014155,3.0000000000283086e+22,1.0000000000094362,Q1;budget,1.3576300757200755e-11,True,SLSQP,0.0
1e+23,8192,logarithmic,0.5,C7_candidate,False,True,11.969999999999997,600.0,1.0,2.0523920597927097,5.5586351764284365e+22,0.5558635176428437,D_max;N_max;Q1,0.0,True,SLSQP,0.0
3e+23,8192,logarithmic,0.5,C7_candidate,False,True,11.969999999999997,600.0,1.0,2.0523920597927097,5.5586351764284365e+22,0.1852878392142812,D_max;N_max;Q1,0.0,True,SLSQP,0.0
1e+24,8192,logarithmic,0.5,C7_candidate,False,True,11.969999999999997,600.0,1.0,2.0523920597927097,5.5586351764284365e+22,0.055586351764284364,D_max;N_max;Q1,0.0,True,SLSQP,0.0
1e+19,16384,exponential,0.5,CYJ_external_sensitivity,False,True,0.09879449478946441,10.000000000000002,0.5579418374353411,3.365277567534864,1.0000000000007555e+19,1.0000000000007556,D_min;budget,1.0628909748949847e-10,True,SLSQP,0.0
3e+19,16384,exponential,0.5,CYJ_external_sensitivity,False,True,0.2483504883325403,10.000000000000002,0.749403908940325,3.036728105311538,3.0000000000012456e+19,1.0000000000004152,D_min;budget,5.977503269135748e-11,True,SLSQP,7.682743330406083e-14
1e+20,16384,exponential,0.5,CYJ_external_sensitivity,False,True,0.7240730896706159,10.000000000000002,0.9755477354182269,2.7498694585822667,1.0000000000024448e+20,1.0000000000024447,D_min;budget,8.312343590083442e-11,True,SLSQP,0.0
3e+20,16384,exponential,0.5,CYJ_external_sensitivity,False,True,1.1829993434532418,20.259482267023415,1.0,2.555745980581695,3.000000000001188e+20,1.0000000000003961,Q1;budget,2.8738986311076554e-10,True,SLSQP,0.0
1e+21,16384,exponential,0.5,CYJ_external_sensitivity,False,True,1.9081319840651578,46.436484268474,0.9999999999999999,2.3925498866588892,1.000000000003205e+21,1.000000000003205,Q1;budget,2.3986914026058765e-10,True,SLSQP,0.0
3e+21,16384,exponential,0.5,CYJ_external_sensitivity,False,True,3.032455317546494,93.85290368037562,1.0,2.2761074775306143,3.000000000003339e+21,1.000000000001113,Q1;budget,1.1407798141874922e-10,True,SLSQP,0.0
1e+22,16384,exponential,0.5,CYJ_external_sensitivity,False,True,5.164581513182536,193.25829138864228,1.0,2.1745403504688516,1.0000000000051403e+22,1.0000000000051403,Q1;budget,3.746766957422162e-10,True,SLSQP,0.0
3e+22,16384,exponential,0.5,CYJ_external_sensitivity,False,True,8.54029920979819,361.184336695167,1.0,2.099862969509459,3.0000000000027863e+22,1.0000000000009288,Q1;budget,2.906346948691032e-10,True,SLSQP,0.0
1e+23,16384,exponential,0.5,CYJ_external_sensitivity,False,True,11.970000000000002,600.0,1.0,2.0523920597927097,6.89260371394173e+22,0.6892603713941731,D_max;N_max;Q1,0.0,True,SLSQP,0.0
3e+23,16384,exponential,0.5,CYJ_external_sensitivity,False,True,11.969999999999997,600.0,1.0,2.0523920597927097,6.8926037139417266e+22,0.2297534571313909,D_max;N_max;Q1,0.0,True,SLSQP,0.0
1e+24,16384,exponential,0.5,CYJ_external_sensitivity,False,True,11.969999999999997,600.0,1.0,2.0523920597927097,6.8926037139417266e+22,0.06892603713941726,D_max;N_max;Q1,0.0,True,SLSQP,0.0
1e+19,16384,power,0.5,CYJ_external_sensitivity,False,True,0.10779579165237493,10.000000000000002,0.5000000000000001,3.371359123433161,1.000000000000752e+19,1.000000000000752,D_min;Q0;budget,0.0,True,SLSQP,1.0937917238607042e-12
3e+19,16384,power,0.5,CYJ_external_sensitivity,False,True,0.26001704630986877,10.000000000000002,0.6514231960404008,3.0748642757191567,3.0000000000017883e+19,1.0000000000005962,D_min;budget,9.285394842456179e-10,True,SLSQP,0.0
1e+20,16384,power,0.5,CYJ_external_sensitivity,False,True,0.6421589240258053,10.000000000000002,0.9660787260496289,2.770729459242934,1.0000000000002356e+20,1.0000000000002356,D_min;budget,1.469288357374407e-10,True,SLSQP,1.2967404927621828e-13
3e+20,16384,power,0.5,CYJ_external_sensitivity,False,True,1.2366044879636398,18.565238153618072,1.0,2.5643996600560865,3.000000000010048e+20,1.0000000000033493,Q1;budget,1.0684043109966394e-10,True,SLSQP,0.0
1e+21,16384,power,0.5,CYJ_external_sensitivity,False,True,1.9722221884836784,43.50964305454691,1.0,2.397147056265575,1.0000000000024547e+21,1.0000000000024547,Q1;budget,1.1154157150891545e-10,True,SLSQP,2.5623947408348613e-13
3e+21,16384,power,0.5,CYJ_external_sensitivity,False,True,3.105218831643842,89.56829677789484,0.9999999999999999,2.2785952391751896,3.0000000000096757e+21,1.0000000000032252,Q1;budget,1.7788114014804465e-10,True,SLSQP,0.0
1e+22,16384,power,0.5,CYJ_external_sensitivity,False,True,5.245028481305127,187.4604685171421,1.0,2.175766512603971,1.000000000002379e+22,1.000000000002379,Q1;budget,5.817757633207732e-10,True,SLSQP,0.0
3e+22,16384,power,0.5,CYJ_external_sensitivity,False,True,8.62585735936015,354.1584250135781,0.9999999999999999,2.1004904664025057,3.0000000000013573e+22,1.0000000000004525,Q1;budget,5.4829332000546077e-11,True,SLSQP,1.9539925233402755e-14
1e+23,16384,power,0.5,CYJ_external_sensitivity,False,True,11.970000000000002,600.0,0.9999999999999999,2.0523920597927097,6.943847760000001e+22,0.6943847760000001,D_max;N_max;Q1,0.0,True,SLSQP,0.0
3e+23,16384,power,0.5,CYJ_external_sensitivity,False,True,11.969999999999997,600.0,1.0,2.0523920597927097,6.9438477599999976e+22,0.2314615919999999,D_max;N_max;Q1,0.0,True,SLSQP,0.0
1e+24,16384,power,0.5,CYJ_external_sensitivity,False,True,11.969999999999997,600.0,1.0,2.0523920597927097,6.9438477599999976e+22,0.06943847759999998,D_max;N_max;Q1,0.0,True,SLSQP,0.0
1e+19,16384,logarithmic,0.5,CYJ_external_sensitivity,False,True,0.10779579165234415,10.000000000000002,0.5000000000000185,3.371359123433233,1.0000000000005284e+19,1.0000000000005285,D_min;Q0;budget,0.0,True,SLSQP,9.814371537686384e-14
3e+19,16384,logarithmic,0.5,CYJ_external_sensitivity,False,True,0.19270959736771046,10.000000000000002,0.9999999999999999,2.9656334739664865,3.0000000000014078e+19,1.0000000000004692,D_min;Q1;budget,0.0,True,SLSQP,8.43769498715119e-14
