budget_FLOPs,context_tokens,quality_family,loss_gap_to_best_cost_scenario,training_share,attention_share,quality_share
1e+19,2048,exponential,0.0,0.8432453800620721,0.05756555127890413,0.09918906865902376
3e+19,2048,exponential,0.07152810365536988,0.7047983059737336,0.0481142310211402,0.24708746300512618
1e+20,2048,exponential,0.057937351775271484,0.6200593061135767,0.042329381964020175,0.33761131192240307
3e+20,2048,exponential,0.033391347678409566,0.6661808192553621,0.04547794392783271,0.28834123681680524
1e+21,2048,exponential,0.01723842743713444,0.7465551706484076,0.050964832982931293,0.20247999636866112
3e+21,2048,exponential,0.009126532852438363,0.8061678814748436,0.05503439404201598,0.13879772448314037
1e+22,2048,exponential,0.004417400609720179,0.8545924341407257,0.058340176837340205,0.08706738902193403
3e+22,2048,exponential,0.002234900180594579,0.8848014627464683,0.06040244652349224,0.05479609073003937
1e+23,2048,exponential,0.0,0.8915498883074219,0.060863139041786675,0.04758697265079135
3e+23,2048,exponential,0.0,0.8915498883074219,0.060863139041786675,0.04758697265079135
1e+24,2048,exponential,0.0,0.8915498883074219,0.060863139041786675,0.04758697265079135
1e+19,2048,power,0.0076673579974562145,0.9360958562156765,0.06390414378432352,0.0
3e+19,2048,power,0.10854351798053141,0.7360840095740001,0.050250001720251736,0.21366598870574816
1e+20,2048,power,0.07694932069811244,0.5383334603703347,0.03675023089461485,0.4249163087350505
3e+20,2048,power,0.042679115098362086,0.6358440847952622,0.04340695618868991,0.3207489590160478
1e+21,2048,power,0.022243779466946112,0.7204712170779953,0.049184168419191154,0.23034461450281354
3e+21,2048,power,0.011868162377909997,0.7854142495517998,0.05361761276940288,0.1609681376787972
1e+22,2048,power,0.00578353761092254,0.839885208293816,0.05733616355285783,0.10277862815332629
3e+22,2048,power,0.002939219092752854,0.8748038484452404,0.059719942720528406,0.06547620883423116
1e+23,2048,power,0.0,0.882196739159114,0.06022463072659552,0.057578630114290555
3e+23,2048,power,0.0,0.882196739159114,0.06022463072659552,0.057578630114290555
1e+24,2048,power,0.0,0.882196739159114,0.06022463072659552,0.057578630114290555
1e+19,2048,logarithmic,0.00766735799783147,0.9360958562156764,0.06390414378432352,0.0
3e+19,2048,logarithmic,0.0,0.5578283801985244,0.038081084088219266,0.40409053571325637
1e+20,2048,logarithmic,0.0,0.7506454746714158,0.05124406440423532,0.1981104609243488
3e+20,2048,logarithmic,0.0,0.8093610715082543,0.05525238248163016,0.13538654601011563
1e+21,2048,logarithmic,0.0,0.8568141904941626,0.058491848737734844,0.0846939607681025
3e+21,2048,logarithmic,0.0,0.8862921400800378,0.06050421009613058,0.05320364982383162
1e+22,2048,logarithmic,0.0,0.9070103900687585,0.06191857596202726,0.03107103396921414
3e+22,2048,logarithmic,0.0,0.9185922287249757,0.06270922948095835,0.01869854179406588
1e+23,2048,logarithmic,0.0,0.9215350073727119,0.06291012316997714,0.01555486945731094
3e+23,2048,logarithmic,0.0,0.9215350073727119,0.06291012316997714,0.01555486945731094
1e+24,2048,logarithmic,0.0,0.9215350073727119,0.06291012316997714,0.01555486945731094
1e+19,4096,exponential,0.0,0.794907978844273,0.10853143604487142,0.09656058511085555
3e+19,4096,exponential,0.07152443307839418,0.6646761864136704,0.09075045531834648,0.2445733582679831
1e+20,4096,exponential,0.057462134229301576,0.5831309272150714,0.07961680926243109,0.3372522635224975
3e+20,4096,exponential,0.03292880741083115,0.6305865621684662,0.08609608528806792,0.2833173525434658
1e+21,4096,exponential,0.016962530785320062,0.7054354369665528,0.0963154516605,0.1982491113729473
3e+21,4096,exponential,0.008965379434946463,0.7606512380405822,0.10385424903380747,0.13549451292561035
1e+22,4096,exponential,0.0043333180838551755,0.8052831108712456,0.1099479874042874,0.08476890172446688
3e+22,4096,exponential,0.002190406981766646,0.8330122182577209,0.11373393486612082,0.05325384687615825
1e+23,4096,exponential,0.0,0.8404004772120792,0.11474267848868923,0.04485684429923145
3e+23,4096,exponential,0.0,0.8404004772120792,0.11474267848868923,0.04485684429923145
1e+24,4096,exponential,0.0,0.8404004772120792,0.11474267848868923,0.04485684429923145
1e+19,4096,power,0.007403937679887118,0.8798686062881276,0.12013139371187237,0.0
3e+19,4096,power,0.10873791188007287,0.6944669986056144,0.09481789420961988,0.21071510718476572
1e+20,4096,power,0.07662982543467844,0.5090166539761365,0.06949774048954183,0.4214856055343218
3e+20,4096,power,0.04211017912006643,0.6022313704514635,0.08222465644563982,0.3155439731028966
1e+21,4096,power,0.0218986242598862,0.6811916717666379,0.09300536958520496,0.22580295864815716
