budget_FLOPs,context_tokens,quality_family,Q0_scenario,context_role,ready_for_Q3,feasible,N_params_B,D_tokens_B,Q_score,B7_diagnostic_loss,cost_FLOPs,budget_utilization,active_support,kkt_relative_violation,kkt_check_pass,solver,global_lower_bound,feasible_upper_bound,global_gap,certificate_tolerance,interval_splits
1e+19,2048,exponential,0.5,C7_candidate,False,True,0.1405408971092021,10.000000000000002,0.5668909146291198,3.262942081108469,1.0000000000035097e+19,1.0000000000035096,D_min;budget,3.3522493497240857e-09,True,SLSQP,3.262941981138159,3.262942081109495,9.997133609829234e-08,1e-07,5257
1e+19,2048,power,0.5,C7_candidate,False,True,0.15601597603693626,10.000000000000002,0.5,3.270609439105743,1.0000000000063468e+19,1.0000000000063467,D_min;Q0;budget,0.0,True,SLSQP,3.270609359886281,3.2706094391073783,7.922109723779158e-08,1e-07,72
1e+19,2048,logarithmic,0.5,C7_candidate,False,True,0.15601597603714115,10.000000000000016,0.5000000000000001,3.2706094391054044,1.000000000007662e+19,1.0000000000076619,D_min;Q0;budget,0.0,True,SLSQP,3.2706093451651137,3.2706094391073783,9.394226463399491e-08,1e-07,38
1e+20,2048,exponential,0.5,C7_candidate,False,True,0.9508120123308846,10.868943213318488,0.9668714855448834,2.7018200306354676,1.0000000000005662e+20,1.0000000000005662,budget,1.3353628057866516e-07,True,SLSQP,2.7018199306446626,2.7018200306355746,9.999091199475174e-08,1e-07,6072
1e+20,2048,power,0.5,C7_candidate,False,True,0.8972224339559655,10.000000000000002,0.9773234074201579,2.7208319995583086,1.0000000000060272e+20,1.0000000000060272,D_min;budget,3.341425946658765e-11,True,SLSQP,2.7208318997434744,2.720831999559659,9.981618465104702e-08,1e-07,4764
1e+20,2048,logarithmic,0.5,C7_candidate,False,True,0.7655545580090797,16.342085336850936,1.0,2.643882678860063,1.0000000000013415e+20,1.0000000000013416,Q1;budget,9.775779238181898e-11,True,SLSQP,2.6438825849605534,2.643882678860286,9.389973243401073e-08,1e-07,18
1e+22,2048,exponential,0.5,C7_candidate,False,True,6.271047641436158,227.1264396334464,1.0,2.149669772043173,1.0000000000022746e+22,1.0000000000022746,Q1;budget,9.892963290045811e-11,True,SLSQP,2.1496696972768397,2.1496697720433353,7.476649566129367e-08,1e-07,18
1e+22,2048,power,0.5,C7_candidate,False,True,6.38420974057638,219.26107339387926,0.9999999999999999,2.1510359090443756,1.000000000000531e+22,1.000000000000531,Q1;budget,1.115892315615364e-10,True,SLSQP,2.1510358487262753,2.1510359090444138,6.031813848395018e-08,1e-07,18
1e+22,2048,logarithmic,0.5,C7_candidate,False,True,5.898006366737859,256.3042304784304,1.0,2.145252371433372,1.0000000000012824e+22,1.0000000000012823,Q1;budget,5.148712272629857e-11,True,SLSQP,2.145252273890342,2.1452523714334606,9.754311847132158e-08,1e-07,14
1e+19,8192,exponential,0.5,C7_candidate,False,True,0.11890634294347115,10.000000000000002,0.5627042262708069,3.310084163716411,1.000000000000646e+19,1.000000000000646,D_min;budget,2.4969310368082685e-11,True,SLSQP,3.3100840637169844,3.3100841637166076,9.999962324869216e-08,1e-07,5090
1e+19,8192,power,0.5,C7_candidate,False,True,0.130917469627477,10.000000000000002,0.5,3.3170024723586544,1.0000000000025205e+19,1.0000000000025204,D_min;Q0;budget,0.0,True,SLSQP,3.3170023804920525,3.317002472359339,9.186728666676913e-08,1e-07,65
1e+19,8192,logarithmic,0.5,C7_candidate,False,True,0.13091746962715095,10.000000000000002,0.5000000000002,3.3170024723592255,1.0000000000006965e+19,1.0000000000006966,D_min;Q0;budget,0.0,True,SLSQP,3.3170023825268937,3.317002472359339,8.98324454823296e-08,1e-07,37
1e+20,8192,exponential,0.5,C7_candidate,False,True,0.8651638875042271,10.039809258943619,0.9788147051674636,2.7240987588807157,1.0000000000005392e+20,1.0000000000005391,budget,2.600245193424627e-07,True,SLSQP,2.724098659005325,2.7240987588808183,9.987549320911171e-08,1e-07,5945
1e+20,8192,power,0.5,C7_candidate,False,True,0.7656397443234341,10.000000000000002,0.9720627896273241,2.7437757884960616,1.0000000000099806e+20,1.0000000000099807,D_min;budget,6.0704756219343375e-12,True,SLSQP,2.743775688507648,2.743775788498359,9.999071082233968e-08,1e-07,5006
1e+20,8192,logarithmic,0.5,C7_candidate,False,True,0.6926349736952535,15.377767333112422,0.9999999999999972,2.6675796948409305,1.0000000000007327e+20,1.0000000000007327,Q1;budget,6.688807550668103e-12,True,SLSQP,2.6675796047421665,2.667579694841053,9.009888657374177e-08,1e-07,18
1e+22,8192,exponential,0.5,C7_candidate,False,True,5.7178027469002535,210.48954850510466,1.0,2.1612640378655015,1.0000000000009378e+22,1.000000000000938,Q1;budget,1.0130655289517138e-10,True,SLSQP,2.161263966864955,2.1612640378655703,7.100061516496226e-08,1e-07,18
1e+22,8192,power,0.5,C7_candidate,False,True,5.814098069734598,203.67467114137182,1.0,2.1625623830782565,1.0000000000009196e+22,1.0000000000009197,Q1;budget,1.2114938917697198e-10,True,SLSQP,2.1625623257072846,2.162562383078324,5.7371039474674035e-08,1e-07,18
1e+22,8192,logarithmic,0.5,C7_candidate,False,True,5.401851300040892,235.43941103440707,1.0,2.1570812601160014,1.0000000000026045e+22,1.0000000000026044,Q1;budget,1.1053647608140718e-11,True,SLSQP,2.157081168041277,2.157081260116185,9.207490769824744e-08,1e-07,14
1e+19,30000,exponential,0.5,CYJ_external_sensitivity,False,True,0.07728178711949552,10.000000000000007,0.5514368636202339,3.443509491117175,1.0000000000006443e+19,1.0000000000006444,D_min;budget,3.672222525426521e-08,True,SLSQP,3.4435093911390333,3.4435094911173945,9.997836114550296e-08,1e-07,5379
1e+19,30000,power,0.5,CYJ_external_sensitivity,False,True,0.08333333333338873,10.000000000000002,0.5000000000000001,3.448488452985401,1.000000000000665e+19,1.000000000000665,D_min;Q0;budget,0.0,True,SLSQP,3.4484883656999044,3.448488452985608,8.728570355387433e-08,1e-07,49
1e+19,30000,logarithmic,0.5,CYJ_external_sensitivity,False,True,0.08333333333339757,10.000000000000002,0.5000000000000001,3.448488452985368,1.0000000000007715e+19,1.0000000000007714,D_min;Q0;budget,0.0,True,SLSQP,3.448488399556423,3.448488452985608,5.342918507622585e-08,1e-07,34
1e+20,30000,exponential,0.5,CYJ_external_sensitivity,False,True,0.5692273568670866,10.000000000000002,0.9700201068112456,2.7865874690064865,1.0000000000005331e+20,1.0000000000005331,D_min;budget,2.2533404312044088e-10,True,SLSQP,2.786587369023229,2.7865874690066077,9.998337890948505e-08,1e-07,4471
1e+20,30000,power,0.5,CYJ_external_sensitivity,False,True,0.5085646770116937,10.000000000000002,0.95790160635434,2.8090737819481615,1.000000000004297e+20,1.000000000004297,D_min;budget,1.6679711287257318e-10,True,SLSQP,2.8090736819602906,2.809073781949254,9.998896333129892e-08,1e-07,5506
