,嵌套 CV 512 配方,1M 检验 256 配方,60M 检验 256 配方,1B 检验 64 配方
arxiv,5.301561235156574,5.357634198439138,1.243584176342574,12.564561113514692
freelaw,8.570270177596056,12.133330585878474,1.2465833461734712,7.308438635567441
pubmed_central,6.595559147259196,6.591075967692355,1.0005318270927441,10.776376177267267
wikipedia_en,1.7238251677430396,1.610730083117168,0.40680376910439253,2.5429718598711135
dm_mathematics,0.3408265541551197,-0.08978429835567896,0.8063562933320526,4.155496217827429
github,11.502075541206526,7.628560927643948,1.582082672946968,9.25145651866795
stackexchange,6.744658590793092,2.190356808051312,1.5455750031853117,7.565886580458123
gutenberg_pg_19,2.1356358991128865,4.076425414071792,0.29011995212667424,4.063844547877377
pile_cc,14.936898854136704,11.09798228496656,0.7406005969617624,5.876553474387047
ubuntu_irc,0.6070105742301382,-0.3437307542939671,0.3779457226665248,5.646898106399105
hackernews,3.496528876373043,2.192743260642266,0.6033575636037485,5.082813276854615
pubmed_abstracts,3.6284329563297013,3.162902165721822,0.4724670357687351,2.8441740213491977
uspto_backgrounds,1.2874125089966388,1.174450197504247,0.4800350935317659,1.9479908458167658
