context_tokens,budget_FLOPs,feasible,phase,N_params_B,D_tokens_B,diagnostic_loss,cost_FLOPs,budget_utilization
2048,966762016274623600,true,interior,0.07706325451759827,1.9572274816024127,3.563690703753884,966762016274623600,1
2048,1021829179937562000,true,interior,0.0790151814822088,2.017608184395106,3.5478226469867358,1021829179937562000,1
2048,1080032991982254700,true,interior,0.08101654859697974,2.079851639118286,3.532088963211834,1080032991982254600,0.9999999999999999
2048,1141552117195760500,true,interior,0.08306860812620728,2.1440153118926335,3.516488514539314,1141552117195760300,0.9999999999999998
2048,1206575397185223200,true,interior,0.08517264405265793,2.210158441675587,3.501020172715116,1206575397185223200,1
2048,1275302430053671700,true,interior,0.08732997288095953,2.278342094953497,3.4856828190394085,1275302430053671400,0.9999999999999998
2048,1347944183094546200,true,interior,0.08954194446134679,2.3486292221211893,3.470475344285663,1347944183094546200,1
2048,1424723640385395700,true,interior,0.0918099428342659,2.4210847156006845,3.455396648620449,1424723640385395700,1
2048,1505876487268951300,true,interior,0.09413538709637737,2.49577546975306,3.4404456415238758,1505876487268951600,1.0000000000000002
2048,1591651833822341400,true,interior,0.09651973228848848,2.5727704426384173,3.4256212417107403,1591651833822341400,1
2048,1682312979535607000,true,interior,0.09896447030598159,2.6521407196813374,3.4109223770523114,1682312979535607300,1.0000000000000002
2048,1778138221546430000,true,interior,0.10147113083229717,2.733959579300248,3.3963479844988025,1778138221546430000,1
2048,1879421708912372000,true,interior,0.1040412822960646,2.8183025605615843,3.381897010002488,1879421708912372200,1.0000000000000002
2048,1986474345542826200,true,interior,0.10667653285247604,2.9052475329210865,3.367568408441464,1986474345542826200,1
2048,2099624744562186800,true,interior,0.1093785313895137,2.9948747681165035,3.353361143544076,2099624744562187000,1.0000000000000002
2048,2219220237034177800,true,interior,0.11214896855966942,3.0872670142783827,3.3392741878139622,2219220237034177500,0.9999999999999999
2048,2345627938143270000,true,interior,0.11498957783779026,3.1825095723269814,3.3253065224557523,2345627938143270000,1
2048,2479235874106513400,true,interior,0.1179021366057248,3.28069037472624,3.3114571373013773,2479235874106513400,1
2048,2620454173274433500,true,interior,0.12088846726443525,3.381900066667115,3.2977250307370234,2620454173274433500,1
2048,2769716325077845000,true,interior,0.12395043837428553,3.486232089755645,3.28410920963068,2769716325077845000,1
2048,2927480510684458500,true,interior,0.12708996582420418,3.5937827682825696,3.2706086892603277,2927480510684458500,1
2048,3094231009450594000,true,interior,0.13030901403046813,3.7046513981546303,3.2572224932427094,3094231009450594000,1
2048,3270479685484585500,true,interior,0.13360959716584297,3.818940338569146,3.2439496534627286,3270479685484585500,1
2048,3456767558885854000,true,interior,0.1369937804198638,3.936755106517028,3.2307892100034197,3456767558885853700,0.9999999999999999
2048,3653666466481982000,true,interior,0.14046368129102937,4.0582044742009575,3.21774021107654,3653666466481982500,1.0000000000000002
2048,3861780817162502000,true,interior,0.14402147091173445,4.183400569459198,3.204801712953719,3861780817162502000,1
2048,4081749447196757500,true,interior,0.1476693754067528,4.3124589792872134,3.1919727798982223,4081749447196757500,1
2048,4314247581231924700,true,interior,0.15140967728613758,4.445498856553232,3.179252484097261,4314247581231925000,1.0000000000000002
2048,4559988904989775400,true,interior,0.1552447168733938,4.5826430300056895,3.166639905594906,4559988904989775400,1
2048,4819727756025647000,true,interior,0.15917689376983354,4.724018117674743,3.1541341322255407,4819727756025647000,1
2048,5094261439273374000,true,interior,0.16320866835601242,4.869754643771897,3.1417342595479054,5094261439273374000,1
2048,5384432674485222000,true,interior,0.16734256333120556,5.019987159196336,3.1294393907796727,5384432674485222000,1
2048,5691132183078373000,true,interior,0.1715811652918668,5.174854365758554,3.1172486367326027,5691132183078372000,0.9999999999999998
2048,6015301422329925000,true,interior,0.1759271263500786,5.334499244236639,3.105161115748225,6015301422329926000,1.0000000000000002
2048,6357935475312052000,true,interior,0.1803831657929852,5.499069186382755,3.093175953634086,6357935475312053000,1.0000000000000002
2048,6720086105439838000,true,interior,0.1849520717842678,5.668716131002417,3.0812922836005128,6720086105439837000,0.9999999999999999
2048,7102864985006647000,true,interior,0.1896367031087068,5.843596704231453,3.069509246197937,7102864985006648000,1.0000000000000002
2048,7507447107618721000,true,interior,0.1944399909609373,6.0238723641407885,3.0578259892547353,7507447107618721000,1
2048,7935074395003434000,true,interior,0.19936494077951283,6.2097095498022705,3.0462416678155906,7935074395003434000,1
2048,8387059509262605000,true,interior,0.20441463412741973,6.401279834953103,3.0347554440803903,8387059509262604000,0.9999999999999999
2048,8864789882273290000,true,interior,0.20959223062022364,6.598760086400817,3.0233664873436377,8864789882273289000,0.9999999999999999
2048,9369731974605179000,true,interior,0.2149009699030561,6.802332627315195,3.012073973934369,9369731974605179000,1
2048,9903435777027721000,true,interior,0.22034417367767664,7.012185405557758,3.0008770871565824,9903435777027721000,1
2048,10000000000000000000,true,interior,0.22131169373391565,7.049603814587629,2.9989256289340336,10000000000000000000,1
2048,10467539568424663000,true,interior,0.225925247780875,7.228512167204116,2.9897750172301762,10467539568424663000,1
2048,11063774944721316000,true,interior,0.2316476843155164,7.4515126354195145,2.978766961232384,11063774944721316000,1
2048,11693972134261930000,true,interior,0.23751506383556764,7.6813926948528195,2.9678521230397084,11693972134261930000,1
2048,12360065615953308000,true,interior,0.24353105758646793,7.918364581719142,2.957029713270333,12360065615953308000,1
2048,13064100057419215000,true,interior,0.2496994298022378,8.162647079746161,2.9462989492270486,13064100057419215000,1
2048,13808236591396010000,true,interior,0.2560240400607837,8.414465722165978,2.935659054840632,13808236591396010000,1
2048,14594759449632696000,true,interior,0.2625088456988464,8.674052999937818,2.925109260613731,14594759449632696000,1
2048,15426082974662418000,true,interior,0.2691579042881307,8.941648576395082,2.9146488035652043,15426082974662416000,0.9999999999999999
2048,16304759030965500000,true,interior,0.27597537617413953,9.217499508513606,2.9042769271749487,16304759030965498000,0.9999999999999999
2048,17233484838277356000,true,interior,0.28296552707932754,9.50186047500677,2.8939928813291775,17233484838277358000,1.0000000000000002
2048,18215111251082766000,true,interior,0.2901327307721751,9.794994011456653,2.883795922266181,18215111251082766000,1
2048,19252651509715790000,true,interior,0.2974814718038825,10.097170752699759,2.873685312522526,19252651509715790000,1
2048,20349290489923590000,true,interior,0.3050163483143656,10.408669682689586,2.86366032087973,20349290489923590000,1
2048,21508394479291690000,true,interior,0.3127420749093407,10.729778392068294,2.8537202223113702,21508394479291690000,1
2048,22733521510535900000,true,interior,0.3206634856102655,11.060793343683686,2.8438642979306565,22733521510535900000,1
2048,24028432283385490000,true,interior,0.32878553687901696,11.40202014629821,2.8340918349384308,24028432283385490000,1
2048,25397101708578497000,true,interior,0.3371133107191621,11.753773836741122,2.824402126571626,25397101708578497000,1
2048,26843731109410810000,true,interior,0.34565201785580024,12.11637917076589,2.8147944720521414,26843731109410816000,1.0000000000000002
2048,28372761118287294000,true,interior,0.35440700099592587,12.490170922879766,2.805268176536172,28372761118287300000,1.0000000000000002
2048,29988885307869225000,true,interior,0.36338373817139547,12.875494195423956,2.795822551063944,29988885307869230000,1.0000000000000002
2048,31697064598653870000,true,interior,0.3725878461665459,13.272704737188079,2.7864569125099012,31697064598653866000,0.9999999999999999
2048,33502542487219614000,true,interior,0.3820250840326507,13.682169271854905,2.777170583533286,33502542487219618000,1.0000000000000002
2048,35410861141874414000,true,interior,0.39170135669137635,14.104265836576621,2.767962892529165,35410861141874414000,1
2048,37427878415121590000,true,interior,0.4016227186295207,14.539384130996966,2.7588331735798524,37427878415121580000,0.9999999999999998
2048,39559785825162600000,true,interior,0.411795377687336,14.987925877040594,2.749780766406745,39559785825162600000,1
2048,41813127561632450000,true,interior,0.4222256989427983,15.450305189801789,2.740805016322577,41813127561632440000,0.9999999999999998
2048,44194820573909434000,true,interior,0.4329202086942637,15.926948959875048,2.7319052741840686,44194820573909434000,1
2048,46712175803664695000,true,interior,0.4438855985440031,16.418297247480975,2.72308089634498,46712175803664695000,1
2048,49372920626826690000,true,interior,0.4551287295851723,16.924803688750956,2.714331244609558,49372920626826690000,1
2048,52185222573847765000,true,interior,0.4666566366948247,17.44693591454549,2.705655686186383,52185222573847765000,1
2048,55157714401086730000,true,interior,0.4784765329356619,17.985175982193127,2.697053593642607,55157714401086730000,1
2048,58299520590269320000,true,interior,0.4905958140692819,18.540020820548857,2.6885243448585734,58299520590269310000,0.9999999999999999
2048,61620285357369700000,true,interior,0.5030220631837461,19.111982688782774,2.680067322982821,61620285357369700000,1
2048,65130202256884430000,true,interior,0.5157630554383383,19.701589649321512,2.671681916387481,65130202256884440000,1.0000000000000002
2048,68840045472385640000,true,interior,0.528826762928531,20.30938605538133,2.6633675186240318,68840045472385650000,1.0000000000000002
2048,72761202889388605000,true,interior,0.5422213596741458,20.93593305354021,2.655123528379451,72761202889388605000,1
2048,76905711052072400000,true,interior,0.55595522673389,21.58180910181578,2.6469493494327168,76905711052072400000,1
2048,81286292111140540000,true,interior,0.5700369574494054,22.24761050372462,2.638844390611697,81286292111140540000,1
2048,85916392876256580000,true,interior,0.5844753628221778,22.93395195881873,2.6308080657503856,85916392876256580000,1
2048,90810226092912640000,true,interior,0.5992794770266021,23.641467130204745,2.622839793646521,90810226092912640000,1
2048,95982814070455910000,true,interior,0.6144585630627231,24.370809229572583,2.6149389980195386,95982814070455910000,1
2048,101450034795174330000,true,interior,0.6300221185521178,25.12265162027082,2.6071051074689082,101450034795174330000,1
2048,107228670670014640000,true,interior,0.6459798816806175,25.89768843898861,2.599337555432796,107228670670014630000,0.9999999999999999
2048,113336460030522250000,true,interior,0.6623418372915162,26.696635236614863,2.5916357801470995,113336460030522250000,1
2048,119792151595163630000,true,interior,0.6791182231331492,27.520229638869772,2.5839992246048116,119792151595163620000,0.9999999999999999
2048,126615562017147500000,true,interior,0.6963195362646791,28.369232027315096,2.576427336515745,126615562017147520000,1.0000000000000002
2048,133827636714436430000,true,interior,0.713956539624172,29.24442624137554,2.5689195682665815,133827636714436430000,1
2048,141450514164645130000,true,interior,0.7320402687629957,30.146620302015663,2.5614753768812752,141450514164645130000,1
2048,149507593862219660000,true,interior,0.7505820387508328,31.07664715774434,2.5540942239817763,149507593862219660000,1
2048,158023608146467520000,true,interior,0.7695934512555507,32.03536545363138,2.5467755757491,158023608146467550000,1.0000000000000002
2048,167024698120961300000,true,interior,0.7890864018024366,33.02366032405067,2.5395189028847165,167024698120961330000,1.0000000000000002
2048,176538493897323840000,true,interior,0.8090730872172628,34.04244420987734,2.5323236805722726,176538493897323840000,1
2048,186594199409745460000,true,interior,0.8295660132579016,35.092657700897085,2.525189388439637,186594199409745500000,1.0000000000000002
2048,197222682060570460000,true,interior,0.8505780024392412,36.17527040420369,2.518115510521263,197222682060570430000,0.9999999999999999
2048,208456567472127250000,true,interior,0.872122202056282,37.29128183938626,2.511101535220873,208456567472127250000,1
2048,220330339635659570000,true,interior,0.8942120924104514,38.44172236133267,2.504146955274465,220330339635659570000,1
2048,232880446764799130000,true,interior,0.9168614952443072,39.6276541115035,2.4972512677136165,232880446764799130000,1
2048,246145413178469780000,true,interior,0.9400845823898396,40.8501719985502,2.4904139738291184,246145413178469740000,0.9999999999999999
2048,260165957556717360000,true,interior,0.9638958846358744,42.11040470918834,2.4836345791349004,260165957556717360000,1
2048,274985117932411420000,true,interior,0.9883103008200305,43.40951575025352,2.4769125933322726,274985117932411400000,0.9999999999999999
2048,290648383802545700000,true,interior,1.0133431071509966,44.748704522907,2.470247530274466,290648383802545700000,1
2048,307203835764651700000,true,interior,1.0390099667669315,46.129207429980205,2.463638907931471,307203835764651800000,1.0000000000000002
2048,324702293106951400000,true,interior,1.0653269395359528,47.55229901748038,2.4570862483551767,324702293106951400000,1
2048,343197469805303760000,true,interior,1.0923104921048583,49.01929315131171,2.450589077644808,343197469805303760000,1
2048,362746139405813300000,true,interior,1.119977508202389,50.53154423029921,2.444146925912649,362746139405813300000,1
2048,383408309299223400000,true,interior,1.1483452992034646,52.09044843663498,2.4377593272500606,383408309299223400000,1
2048,405247404922021740000,true,interior,1.1774316149609587,53.69744502489845,2.431425819693786,405247404922021740000,1
2048,428330464449762100000,true,interior,1.207254654911896,55.35401765084653,2.425145945192538,428330464449762100000,1
2048,452728344580147000000,true,interior,1.2378330794648849,57.06169574119342,2.4189192495738756,452728344580147050000,1.0000000000000002
2048,478515938037654100000,true,interior,1.2691860216760527,58.82205590565206,2.4127452825113544,478515938037654000000,0.9999999999999999
2048,505772403467258560000,true,interior,1.3013330992206502,60.6367233925333,2.40662359749196,505772403467258500000,0.9999999999999999
2048,534581408423057160000,true,interior,1.3342944266679526,62.5073735892546,2.4005537517838134,534581408423057160000,1
2048,565031386197560800000,true,interior,1.3680906280669995,64.43573356913521,2.394535306404155,565031386197560700000,0.9999999999999999
2048,597215807280157600000,true,interior,1.4027428498511905,66.42358368591486,2.3885678260875918,597215807280157600000,1
2048,631233466277889800000,true,interior,1.4382727740696637,68.47275921745869,2.382650879254624,631233466277889800000,1
2048,667188785179433800000,true,interior,1.4747026319538918,70.58515206017553,2.376784037980426,667188785179433900000,1.0000000000000002
2048,705192133893039300000,true,interior,1.5120552178278195,72.76271247570432,2.370966877963905,705192133893039300000,1
2048,745360169042529100000,true,interior,1.5503539033704172,75.00745089149099,2.3651989784970064,745360169042529100000,1
2048,787816192061167100000,true,interior,1.5896226522393981,77.32143975690825,2.3594799224342964,787816192061167000000,0.9999999999999999
2048,832690527682797800000,true,interior,1.6298860350654336,79.70681545664213,2.353809296162786,832690527682797600000,0.9999999999999999
2048,880120923991894800000,true,interior,1.6711692448260584,82.16578028310127,2.3481866895720227,880120923991894900000,1.0000000000000002
2048,930252975260733800000,true,interior,1.713498112609074,84.70060446968105,2.342611696024426,930252975260733700000,0.9999999999999999
2048,983240568871431200000,true,interior,1.7568991237751304,87.31362828674811,2.3370839123258844,983240568871431000000,0.9999999999999999
2048,1.0392463576949668e+21,true,interior,1.801399434529781,90.00726420229243,2.3316029386965877,1.0392463576949668e+21,1
2048,1.098442259376993e+21,true,interior,1.8470268889151973,92.78399910922994,2.3261683787421235,1.0984422593769931e+21,1.0000000000000002
2048,1.1610099840632492e+21,true,interior,1.8938100362323274,95.64639662142163,2.320779839424802,1.1610099840632493e+21,1.0000000000000002
2048,1.2271415921844305e+21,true,interior,1.9417781489043382,98.59709944052462,2.3154369310352334,1.2271415921844305e+21,1
2048,1.297040084012675e+21,true,interior,1.9909612407924826,101.63883179585957,2.3101392671641423,1.297040084012675e+21,1
2048,1.3709200227994291e+21,true,interior,2.041390085975895,104.77440195954786,2.3048864646744245,1.3709200227994291e+21,1
2048,1.4490081934075413e+21,true,interior,2.093096238007082,108.00670483924283,2.2996781436734364,1.4490081934075413e+21,1
2048,1.53154429845932e+21,true,interior,2.1461120496551347,111.33872465084755,2.294513927485518,1.5315442984593198e+21,0.9999999999999998
2048,1.6187816941374255e+21,true,interior,2.200470693148987,114.77353767368399,2.289393442624753,1.6187816941374255e+21,1
2048,1.7109881678972775e+21,true,interior,2.256206180933409,118.31431509065953,2.2843163187679596,1.7109881678972775e+21,1
2048,1.8084467604783353e+21,true,interior,2.313353386950762,121.96432591605493,2.2792821887279064,1.8084467604783353e+21,1
2048,1.9114566347374852e+21,true,interior,2.371948068461795,125.72694001363504,2.274290688426754,1.9114566347374852e+21,1
2048,2.0203339939714813e+21,true,interior,2.4320268884191054,129.6056312078666,2.2693414568697277,2.0203339939714816e+21,1.0000000000000002
2048,2.1354130525474018e+21,true,interior,2.493627438407295,133.60398049111686,2.264434136119009,2.135413052547402e+21,1.0000000000000002
2048,2.257047061820682e+21,true,interior,2.5567882621642046,137.72567932979774,2.2595683712678487,2.2570470618206823e+21,1.0000000000000002
