scenario,p_policy,target_weights,bridge_lambda,eta,status,loss,weighted_relative_A_effect,factor,min_factor_B7_N,recipe_count,recipe_weights,simplex_residual,reconstruction_residual,QA_direct_coverage,QA_direct_mean,QA_near_coverage,QA_near_mean,p_arxiv,p_freelaw,p_nih_exporter,p_pubmed_central,p_wikipedia_en,p_dm_mathematics,p_github,p_philpapers,p_stackexchange,p_enron_emails,p_gutenberg_pg_19,p_pile_cc,p_ubuntu_irc,p_europarl,p_hackernews,p_pubmed_abstracts,p_uspto_backgrounds
observed_512__equal_13,observed_512,equal_13,1,0,optimal_conditional,2.1928228144395785,-0.14589638880063033,0.8541036111993697,0.8541036111993697,1,"[{""index"":""136"",""weight"":1.0}]",0.0,0.0,0.15915915915915915,-0.505484640415014,0.4314314314314314,0.5785427632650646,0.0,0.018018018018018018,0.05405405405405405,0.05905905905905905,0.0,0.22522522522522523,0.15915915915915915,0.008008008008008008,0.0,0.0,0.0850850850850851,0.1871871871871872,0.16216216216216217,0.0,0.03903903903903904,0.001001001001001001,0.002002002002002002
convex_hull__equal_13,convex_hull,equal_13,1,0,optimal_conditional,2.1928228144395785,-0.14589638880063033,0.8541036111993697,0.8541036111993697,1,"[{""index"":""136"",""weight"":1.0}]",0.0,0.0,0.15915915915915915,-0.505484640415014,0.4314314314314314,0.5785427632650646,0.0,0.018018018018018018,0.05405405405405405,0.05905905905905905,0.0,0.22522522522522523,0.15915915915915915,0.008008008008008008,0.0,0.0,0.0850850850850851,0.1871871871871872,0.16216216216216217,0.0,0.03903903903903904,0.001001001001001001,0.002002002002002002
convex_hull__arxiv_only,convex_hull,arxiv_only,1,0,optimal_conditional,1.3571901829390418,-0.47137496531892764,0.5286250346810724,0.5286250346810724,1,"[{""index"":""300"",""weight"":1.0}]",0.0,0.0,0.9021956087824351,2.7252526038451155,0.9131736526946108,2.690548489676747,0.9021956087824351,0.0,0.0,0.08383233532934133,0.008982035928143712,0.0,0.0,0.0,0.0,0.0,0.0,0.001996007984031936,0.001996007984031936,0.0,0.0,0.0,0.000998003992015968
convex_hull__pile_cc_only,convex_hull,pile_cc_only,1,0,optimal_conditional,2.157041607180729,-0.15983315474980578,0.8401668452501942,0.8401668452501942,1,"[{""index"":""291"",""weight"":1.0}]",0.0,0.0,0.0019980019980019984,-0.505484640415014,0.9900099900099901,0.43482255101982015,0.0,0.0,0.0029970029970029974,0.0,0.0,0.0029970029970029974,0.0019980019980019984,0.0,0.0,0.003996003996003997,0.0,0.9880119880119881,0.0,0.0,0.0,0.0,0.0
minimax_13__equal_13,minimax_13,equal_13,1,0,optimal_conditional,2.416838301145758,-0.05864244611979798,0.941357553880202,0.941357553880202,10,"[{""index"":""105"",""weight"":0.019042887124685232},{""index"":""107"",""weight"":0.08086329064938916},{""index"":""125"",""weight"":0.13550336355915363},{""index"":""141"",""weight"":0.1258186444189963},{""index"":""152"",""weight"":0.026377711104918426},{""index"":""163"",""weight"":0.05301065321952953},{""index"":""341"",""weight"":0.033504378370175246},{""index"":""365"",""weight"":0.20709206756847265},{""index"":""384"",""weight"":0.0395216447915273},{""index"":""484"",""weight"":0.27926535919315254}]",2.220446049250313e-16,0.0,0.24308248086534703,1.6124020718432284,0.5210404236218728,1.1311738767812316,0.1457750780716831,0.030220986801836616,0.032323685141248004,0.07578881293899177,0.08916879955016636,0.03689662080451669,0.03937976802542774,0.021581255936622773,0.05792763476823617,0.006545315077829425,0.056917755627047525,0.1318713875793119,0.04731118153568449,0.01910732155997097,0.05726034574164733,0.04946011023219362,0.10246394060758549
quality_direct__equal_13,quality_direct,equal_13,1,0,optimal_conditional,2.263949598559698,-0.11819253476830242,0.8818074652316975,0.8818074652316975,3,"[{""index"":""79"",""weight"":0.17543830678642044},{""index"":""136"",""weight"":0.748724447459886},{""index"":""326"",""weight"":0.0758372457536936}]",0.0,0.0,0.3231556093473321,0.8574247439016351,0.5270125159630368,0.9946654596645562,0.11561384417225108,0.015917322448981006,0.04054742900034212,0.04636616805787722,0.0,0.17301758998044564,0.11916635349962149,0.005995791371050138,0.08837541167545954,0.0,0.06370528331740773,0.14015162329829697,0.15211895511991336,0.0014035064542913635,0.0353722998399186,0.0007494739213812672,0.0014989478427625345
quality_direct_and_near__equal_13,quality_direct_and_near,equal_13,1,0,optimal_conditional,2.2749885718994807,-0.11389285905745325,0.8861071409425467,0.8861071409425467,3,"[{""index"":""136"",""weight"":0.5927613439511189},{""index"":""248"",""weight"":0.2723562401612484},{""index"":""301"",""weight"":0.1348824158876327}]",1.1102230246251565e-16,0.0,0.311053992721791,-0.041972684294648,0.5646359074665894,0.7864741235637406,0.020751140905789646,0.01418382394940058,0.03449235988853874,0.03840808886676832,0.00026949533643882663,0.13363955486441736,0.1884270282838168,0.0058276798386758775,0.10187582353218459,0.0023135975895094,0.13966013739646455,0.113652282011895,0.16289136305941346,0.00013474766821941332,0.03697664432483863,0.004770532413451581,0.0017257000701771906
