transfer,fraction,loss,delta_loss_vs_start,relative_A_effect,in_Q1_convex_hull,p_json
Q1_reference_to_equal_weight_optimum,0,2.5673967252758954,0.0,0.0,True,"{""arxiv"":0.11302252583269279,""dm_mathematics"":0.0254628540970504,""enron_emails"":0.002211033043406226,""europarl"":0.012737064754031531,""freelaw"":0.0968248321520278,""github"":0.11070066007050916,""gutenberg_pg_19"":0.04691494424753537,""hackernews"":0.011650822378108678,""nih_exporter"":0.00588968021709595,""philpapers"":0.005487697351193036,""pile_cc"":0.11948759779188561,""pubmed_abstracts"":0.06618116611257162,""pubmed_central"":0.11375419105058357,""stackexchange"":0.09943242344413017,""ubuntu_irc"":0.019599998284005892,""uspto_backgrounds"":0.07556475309333588,""wikipedia_en"":0.07507775607983627}"
Q1_reference_to_equal_weight_optimum,0.5,2.3801097698577367,-0.18728695541815865,-0.07294819440031515,True,"{""arxiv"":0.056511262916346394,""dm_mathematics"":0.1253440396611378,""enron_emails"":0.001105516521703113,""europarl"":0.0063685323770157655,""freelaw"":0.05742142508502291,""github"":0.13492990961483414,""gutenberg_pg_19"":0.06600001466631022,""hackernews"":0.02534493070857386,""nih_exporter"":0.029971867135575,""philpapers"":0.006747852679600522,""pile_cc"":0.1533373924895364,""pubmed_abstracts"":0.03359108355678631,""pubmed_central"":0.08640662505482131,""stackexchange"":0.049716211722065085,""ubuntu_irc"":0.09088108022308404,""uspto_backgrounds"":0.03878337754766894,""wikipedia_en"":0.037538878039918136}"
Q1_reference_to_equal_weight_optimum,1,2.1928228144395785,-0.37457391083631686,-0.1458963888006303,True,"{""arxiv"":0.0,""dm_mathematics"":0.22522522522522523,""enron_emails"":0.0,""europarl"":0.0,""freelaw"":0.018018018018018014,""github"":0.15915915915915915,""gutenberg_pg_19"":0.0850850850850851,""hackernews"":0.03903903903903904,""nih_exporter"":0.05405405405405404,""philpapers"":0.008008008008008008,""pile_cc"":0.1871871871871872,""pubmed_abstracts"":0.0010010010010010062,""pubmed_central"":0.05905905905905905,""stackexchange"":0.0,""ubuntu_irc"":0.16216216216216217,""uspto_backgrounds"":0.0020020020020019985,""wikipedia_en"":0.0}"
Q1_reference_to_arxiv_only_optimum,0,2.5673967252758954,0.0,0.0,True,"{""arxiv"":0.11302252583269279,""dm_mathematics"":0.0254628540970504,""enron_emails"":0.002211033043406226,""europarl"":0.012737064754031531,""freelaw"":0.0968248321520278,""github"":0.11070066007050916,""gutenberg_pg_19"":0.04691494424753537,""hackernews"":0.011650822378108678,""nih_exporter"":0.00588968021709595,""philpapers"":0.005487697351193036,""pile_cc"":0.11948759779188561,""pubmed_abstracts"":0.06618116611257162,""pubmed_central"":0.11375419105058357,""stackexchange"":0.09943242344413017,""ubuntu_irc"":0.019599998284005892,""uspto_backgrounds"":0.07556475309333588,""wikipedia_en"":0.07507775607983627}"
Q1_reference_to_arxiv_only_optimum,0.5,2.6322512077310996,0.0648544824552042,0.02526079503674478,True,"{""arxiv"":0.5076090673075639,""dm_mathematics"":0.0127314270485252,""enron_emails"":0.001105516521703113,""europarl"":0.0063685323770157655,""freelaw"":0.0484124160760139,""github"":0.05535033003525458,""gutenberg_pg_19"":0.023457472123767684,""hackernews"":0.005825411189054339,""nih_exporter"":0.002944840108547975,""philpapers"":0.002743848675596518,""pile_cc"":0.060741802887958773,""pubmed_abstracts"":0.03309058305628581,""pubmed_central"":0.09879326318996245,""stackexchange"":0.049716211722065085,""ubuntu_irc"":0.010798003134018914,""uspto_backgrounds"":0.03828137854267592,""wikipedia_en"":0.04202989600398999}"
Q1_reference_to_arxiv_only_optimum,1,2.6971056901863038,0.1297089649104084,0.05052159007348956,True,"{""arxiv"":0.9021956087824351,""dm_mathematics"":0.0,""enron_emails"":0.0,""europarl"":0.0,""freelaw"":0.0,""github"":0.0,""gutenberg_pg_19"":0.0,""hackernews"":0.0,""nih_exporter"":0.0,""philpapers"":0.0,""pile_cc"":0.0019960079840319334,""pubmed_abstracts"":0.0,""pubmed_central"":0.08383233532934133,""stackexchange"":0.0,""ubuntu_irc"":0.001996007984031937,""uspto_backgrounds"":0.0009980039920159667,""wikipedia_en"":0.008982035928143714}"
Q1_reference_to_QA_direct_optimum,0,2.5673967252758954,0.0,0.0,True,"{""arxiv"":0.11302252583269279,""dm_mathematics"":0.0254628540970504,""enron_emails"":0.002211033043406226,""europarl"":0.012737064754031531,""freelaw"":0.0968248321520278,""github"":0.11070066007050916,""gutenberg_pg_19"":0.04691494424753537,""hackernews"":0.011650822378108678,""nih_exporter"":0.00588968021709595,""philpapers"":0.005487697351193036,""pile_cc"":0.11948759779188561,""pubmed_abstracts"":0.06618116611257162,""pubmed_central"":0.11375419105058357,""stackexchange"":0.09943242344413017,""ubuntu_irc"":0.019599998284005892,""uspto_backgrounds"":0.07556475309333588,""wikipedia_en"":0.07507775607983627}"
Q1_reference_to_QA_direct_optimum,0.5,2.415673161917797,-0.15172356335809845,-0.059096267384151226,True,"{""arxiv"":0.11431818500247193,""dm_mathematics"":0.09924022203874802,""enron_emails"":0.001105516521703113,""europarl"":0.007070285604161447,""freelaw"":0.056371077300504405,""github"":0.11493350678506532,""gutenberg_pg_19"":0.05531011378247155,""hackernews"":0.02351156110901364,""nih_exporter"":0.023218554608719032,""philpapers"":0.0057417443611215875,""pile_cc"":0.12981961054509128,""pubmed_abstracts"":0.03346532001697644,""pubmed_central"":0.08006017955423039,""stackexchange"":0.09390391755979485,""ubuntu_irc"":0.08585947670195963,""uspto_backgrounds"":0.03853185046804921,""wikipedia_en"":0.037538878039918136}"
Q1_reference_to_QA_direct_optimum,1,2.263949598559698,-0.30344712671619734,-0.11819253476830245,True,"{""arxiv"":0.11561384417225108,""dm_mathematics"":0.17301758998044564,""enron_emails"":0.0,""europarl"":0.0014035064542913638,""freelaw"":0.015917322448981003,""github"":0.11916635349962149,""gutenberg_pg_19"":0.06370528331740773,""hackernews"":0.0353722998399186,""nih_exporter"":0.04054742900034211,""philpapers"":0.005995791371050138,""pile_cc"":0.14015162329829697,""pubmed_abstracts"":0.0007494739213812635,""pubmed_central"":0.046366168057877216,""stackexchange"":0.08837541167545954,""ubuntu_irc"":0.15211895511991336,""uspto_backgrounds"":0.0014989478427625408,""wikipedia_en"":0.0}"
