scenario,domain,p,reference_p,delta_p,qa_mapping_type,quality_Q_A,target_absolute_changes_json
observed_512__equal_13,gutenberg_pg_19,0.0850850850850851,0.04691494424753537,0.03817014083754973,near_direct,2.918312769566993,"{""arxiv"":0.21620491013111723,""dm_mathematics"":-4.267329933527658,""freelaw"":-0.25538242483396306,""github"":-0.8272169877836238,""gutenberg_pg_19"":-0.25042589577647506,""hackernews"":-0.5110515777313204,""pile_cc"":-0.22804448869321708,""pubmed_abstracts"":0.0023539682992979607,""pubmed_central"":-0.06676136167969676,""stackexchange"":-0.33227784047227304,""ubuntu_irc"":-2.8237052296428784,""uspto_backgrounds"":0.20141552340998006,""wikipedia_en"":0.05610790356610918}"
observed_512__equal_13,pile_cc,0.1871871871871872,0.11948759779188561,0.06769958939530157,near_direct,0.4367240822461798,"{""arxiv"":0.21620491013111723,""dm_mathematics"":-4.267329933527658,""freelaw"":-0.25538242483396306,""github"":-0.8272169877836238,""gutenberg_pg_19"":-0.25042589577647506,""hackernews"":-0.5110515777313204,""pile_cc"":-0.22804448869321708,""pubmed_abstracts"":0.0023539682992979607,""pubmed_central"":-0.06676136167969676,""stackexchange"":-0.33227784047227304,""ubuntu_irc"":-2.8237052296428784,""uspto_backgrounds"":0.20141552340998006,""wikipedia_en"":0.05610790356610918}"
observed_512__equal_13,ubuntu_irc,0.16216216216216217,0.019599998284005892,0.1425621638781563,inferred,,"{""arxiv"":0.21620491013111723,""dm_mathematics"":-4.267329933527658,""freelaw"":-0.25538242483396306,""github"":-0.8272169877836238,""gutenberg_pg_19"":-0.25042589577647506,""hackernews"":-0.5110515777313204,""pile_cc"":-0.22804448869321708,""pubmed_abstracts"":0.0023539682992979607,""pubmed_central"":-0.06676136167969676,""stackexchange"":-0.33227784047227304,""ubuntu_irc"":-2.8237052296428784,""uspto_backgrounds"":0.20141552340998006,""wikipedia_en"":0.05610790356610918}"
observed_512__equal_13,europarl,0.0,0.012737064754031531,-0.012737064754031531,inferred,,"{""arxiv"":0.21620491013111723,""dm_mathematics"":-4.267329933527658,""freelaw"":-0.25538242483396306,""github"":-0.8272169877836238,""gutenberg_pg_19"":-0.25042589577647506,""hackernews"":-0.5110515777313204,""pile_cc"":-0.22804448869321708,""pubmed_abstracts"":0.0023539682992979607,""pubmed_central"":-0.06676136167969676,""stackexchange"":-0.33227784047227304,""ubuntu_irc"":-2.8237052296428784,""uspto_backgrounds"":0.20141552340998006,""wikipedia_en"":0.05610790356610918}"
observed_512__equal_13,hackernews,0.03903903903903904,0.011650822378108678,0.027388216660930362,inferred,,"{""arxiv"":0.21620491013111723,""dm_mathematics"":-4.267329933527658,""freelaw"":-0.25538242483396306,""github"":-0.8272169877836238,""gutenberg_pg_19"":-0.25042589577647506,""hackernews"":-0.5110515777313204,""pile_cc"":-0.22804448869321708,""pubmed_abstracts"":0.0023539682992979607,""pubmed_central"":-0.06676136167969676,""stackexchange"":-0.33227784047227304,""ubuntu_irc"":-2.8237052296428784,""uspto_backgrounds"":0.20141552340998006,""wikipedia_en"":0.05610790356610918}"
observed_512__equal_13,pubmed_abstracts,0.001001001001001001,0.06618116611257162,-0.06518016511157061,inferred,,"{""arxiv"":0.21620491013111723,""dm_mathematics"":-4.267329933527658,""freelaw"":-0.25538242483396306,""github"":-0.8272169877836238,""gutenberg_pg_19"":-0.25042589577647506,""hackernews"":-0.5110515777313204,""pile_cc"":-0.22804448869321708,""pubmed_abstracts"":0.0023539682992979607,""pubmed_central"":-0.06676136167969676,""stackexchange"":-0.33227784047227304,""ubuntu_irc"":-2.8237052296428784,""uspto_backgrounds"":0.20141552340998006,""wikipedia_en"":0.05610790356610918}"
observed_512__equal_13,uspto_backgrounds,0.002002002002002002,0.07556475309333588,-0.07356275109133388,inferred,,"{""arxiv"":0.21620491013111723,""dm_mathematics"":-4.267329933527658,""freelaw"":-0.25538242483396306,""github"":-0.8272169877836238,""gutenberg_pg_19"":-0.25042589577647506,""hackernews"":-0.5110515777313204,""pile_cc"":-0.22804448869321708,""pubmed_abstracts"":0.0023539682992979607,""pubmed_central"":-0.06676136167969676,""stackexchange"":-0.33227784047227304,""ubuntu_irc"":-2.8237052296428784,""uspto_backgrounds"":0.20141552340998006,""wikipedia_en"":0.05610790356610918}"
convex_hull__equal_13,arxiv,0.0,0.11302252583269279,-0.11302252583269279,direct,2.7252526038451155,"{""arxiv"":0.21620491013111723,""dm_mathematics"":-4.267329933527658,""freelaw"":-0.25538242483396306,""github"":-0.8272169877836238,""gutenberg_pg_19"":-0.25042589577647506,""hackernews"":-0.5110515777313204,""pile_cc"":-0.22804448869321708,""pubmed_abstracts"":0.0023539682992979607,""pubmed_central"":-0.06676136167969676,""stackexchange"":-0.33227784047227304,""ubuntu_irc"":-2.8237052296428784,""uspto_backgrounds"":0.20141552340998006,""wikipedia_en"":0.05610790356610918}"
convex_hull__equal_13,freelaw,0.018018018018018018,0.0968248321520278,-0.07880681413400979,inferred,,"{""arxiv"":0.21620491013111723,""dm_mathematics"":-4.267329933527658,""freelaw"":-0.25538242483396306,""github"":-0.8272169877836238,""gutenberg_pg_19"":-0.25042589577647506,""hackernews"":-0.5110515777313204,""pile_cc"":-0.22804448869321708,""pubmed_abstracts"":0.0023539682992979607,""pubmed_central"":-0.06676136167969676,""stackexchange"":-0.33227784047227304,""ubuntu_irc"":-2.8237052296428784,""uspto_backgrounds"":0.20141552340998006,""wikipedia_en"":0.05610790356610918}"
convex_hull__equal_13,nih_exporter,0.05405405405405405,0.00588968021709595,0.048164373836958096,inferred,,"{""arxiv"":0.21620491013111723,""dm_mathematics"":-4.267329933527658,""freelaw"":-0.25538242483396306,""github"":-0.8272169877836238,""gutenberg_pg_19"":-0.25042589577647506,""hackernews"":-0.5110515777313204,""pile_cc"":-0.22804448869321708,""pubmed_abstracts"":0.0023539682992979607,""pubmed_central"":-0.06676136167969676,""stackexchange"":-0.33227784047227304,""ubuntu_irc"":-2.8237052296428784,""uspto_backgrounds"":0.20141552340998006,""wikipedia_en"":0.05610790356610918}"
