bridge_lambda,eta,weights,p_policy,N_params_B,D_tokens_B,Q_score,status,loss,factor
0,0.5,equal_13,QA_direct,1,100,0.5,valid,2.5673967252758954,1.0
0,0.5,equal_13,QA_direct,10,100,0.5,valid,2.3050441192012485,1.0
0,0.5,arxiv_only,Q1_reference,0.1,100,0.5,valid,3.0592931965585177,1.0
0,0.5,arxiv_only,Q1_reference,1,100,0.5,valid,2.5673967252758954,1.0
0,0.5,arxiv_only,Q1_reference,10,100,0.5,valid,2.3050441192012485,1.0
0,0.5,arxiv_only,ridge_hull_optimum,0.1,100,0.5,valid,3.0592931965585177,1.0
0,0.5,arxiv_only,ridge_hull_optimum,1,100,0.5,valid,2.5673967252758954,1.0
0,0.5,arxiv_only,ridge_hull_optimum,10,100,0.5,valid,2.3050441192012485,1.0
0,0.5,arxiv_only,QA_direct,0.1,100,0.5,valid,3.0592931965585177,1.0
0,0.5,arxiv_only,QA_direct,1,100,0.5,valid,2.5673967252758954,1.0
0,0.5,arxiv_only,QA_direct,10,100,0.5,valid,2.3050441192012485,1.0
0,0.5,pile_cc_only,Q1_reference,0.1,100,0.5,valid,3.0592931965585177,1.0
0,0.5,pile_cc_only,Q1_reference,1,100,0.5,valid,2.5673967252758954,1.0
0,0.5,pile_cc_only,Q1_reference,10,100,0.5,valid,2.3050441192012485,1.0
0,0.5,pile_cc_only,ridge_hull_optimum,0.1,100,0.5,valid,3.0592931965585177,1.0
0,0.5,pile_cc_only,ridge_hull_optimum,1,100,0.5,valid,2.5673967252758954,1.0
0,0.5,pile_cc_only,ridge_hull_optimum,10,100,0.5,valid,2.3050441192012485,1.0
0,0.5,pile_cc_only,QA_direct,0.1,100,0.5,valid,3.0592931965585177,1.0
0,0.5,pile_cc_only,QA_direct,1,100,0.5,valid,2.5673967252758954,1.0
0,0.5,pile_cc_only,QA_direct,10,100,0.5,valid,2.3050441192012485,1.0
0.25,-0.5,equal_13,Q1_reference,0.1,100,0.5,valid,3.0592931965585177,1.0
0.25,-0.5,equal_13,Q1_reference,1,100,0.5,valid,2.5673967252758954,1.0
0.25,-0.5,equal_13,Q1_reference,10,100,0.5,valid,2.3050441192012485,1.0
0.25,-0.5,equal_13,ridge_hull_optimum,0.1,100,0.5,valid,3.0240069347540706,0.9884658777249131
0.25,-0.5,equal_13,ridge_hull_optimum,1,100,0.5,valid,2.4737532475668162,0.9635259027998424
0.25,-0.5,equal_13,ridge_hull_optimum,10,100,0.5,valid,2.0391775119978783,0.8846587772491317
0.25,-0.5,equal_13,QA_direct,0.1,100,0.5,valid,3.0307073435470033,0.9906560596925881
0.25,-0.5,equal_13,QA_direct,1,100,0.5,valid,2.491534943596846,0.9704518663079243
0.25,-0.5,equal_13,QA_direct,10,100,0.5,valid,2.0896621726435747,0.9065605969258806
0.25,-0.5,arxiv_only,Q1_reference,0.1,100,0.5,valid,3.0592931965585177,1.0
0.25,-0.5,arxiv_only,Q1_reference,1,100,0.5,valid,2.5673967252758954,1.0
0.25,-0.5,arxiv_only,Q1_reference,10,100,0.5,valid,2.3050441192012485,1.0
0.25,-0.5,arxiv_only,ridge_hull_optimum,0.1,100,0.5,valid,3.069660031508754,1.0033886372714778
0.25,-0.5,arxiv_only,ridge_hull_optimum,1,100,0.5,valid,2.5949084657644796,1.0107158119420083
0.25,-0.5,arxiv_only,ridge_hull_optimum,10,100,0.5,valid,2.3831537033485097,1.0338863727147782
0.25,-0.5,arxiv_only,QA_direct,0.1,100,0.5,valid,3.0492088423438375,0.9967036980221364
0.25,-0.5,arxiv_only,QA_direct,1,100,0.5,valid,2.5406346385366914,0.9895761778942332
0.25,-0.5,arxiv_only,QA_direct,10,100,0.5,valid,2.2290629043093904,0.9670369802213645
0.25,-0.5,pile_cc_only,Q1_reference,0.1,100,0.5,valid,3.0592931965585177,1.0
0.25,-0.5,pile_cc_only,Q1_reference,1,100,0.5,valid,2.5673967252758954,1.0
0.25,-0.5,pile_cc_only,Q1_reference,10,100,0.5,valid,2.3050441192012485,1.0
0.25,-0.5,pile_cc_only,ridge_hull_optimum,0.1,100,0.5,valid,3.0496639274815016,0.9968524530150139
0.25,-0.5,pile_cc_only,ridge_hull_optimum,1,100,0.5,valid,2.5418423537427044,0.9900465824850483
0.25,-0.5,pile_cc_only,ridge_hull_optimum,10,100,0.5,valid,2.2324917725247313,0.9685245301501394
0.25,-0.5,pile_cc_only,QA_direct,0.1,100,0.5,valid,3.0536781055946185,0.9981645790046486
0.25,-0.5,pile_cc_only,QA_direct,1,100,0.5,valid,2.552495270187613,0.9941958891893964
0.25,-0.5,pile_cc_only,QA_direct,10,100,0.5,valid,2.262736855485317,0.9816457900464864
0.25,0,equal_13,Q1_reference,0.1,100,0.5,valid,3.0592931965585177,1.0
0.25,0,equal_13,Q1_reference,1,100,0.5,valid,2.5673967252758954,1.0
0.25,0,equal_13,Q1_reference,10,100,0.5,valid,2.3050441192012485,1.0
0.25,0,equal_13,ridge_hull_optimum,0.1,100,0.5,valid,2.9477082391434615,0.9635259027998424
0.25,0,equal_13,ridge_hull_optimum,1,100,0.5,valid,2.4737532475668162,0.9635259027998424
0.25,0,equal_13,ridge_hull_optimum,10,100,0.5,valid,2.2209697159468504,0.9635259027998424
0.25,0,equal_13,QA_direct,0.1,100,0.5,valid,2.968896792183349,0.9704518663079243
0.25,0,equal_13,QA_direct,1,100,0.5,valid,2.491534943596846,0.9704518663079243
0.25,0,equal_13,QA_direct,10,100,0.5,valid,2.2369343674009574,0.9704518663079243
0.25,0,arxiv_only,Q1_reference,0.1,100,0.5,valid,3.0592931965585177,1.0
0.25,0,arxiv_only,Q1_reference,1,100,0.5,valid,2.5673967252758954,1.0
0.25,0,arxiv_only,Q1_reference,10,100,0.5,valid,2.3050441192012485,1.0
