scale,n_targets,spearman_mean,spearman_median,spearman_min,spearman_max,spearman_q25,spearman_q75
1M,13,0.832769171347078,0.838052901121538,0.7446111810482947,0.9226625085831998,0.7696812771801326,0.8818250743877316
60M,13,0.8313572349771994,0.8381151293202105,0.7521164740215153,0.9201640821698328,0.7625479228656442,0.8834737640192262
1B,13,0.7285115525500141,0.7066849816849816,0.5690934065934066,0.8875915750915748,0.660989010989011,0.7995879120879119
