target,alpha,cv_rmse,intercept,arxiv,freelaw,nih_exporter,pubmed_central,wikipedia_en,dm_mathematics,github,philpapers,stackexchange,enron_emails,gutenberg_pg_19,pile_cc,ubuntu_irc,europarl,hackernews,pubmed_abstracts,uspto_backgrounds,test_1m_spearman,test_1m_pearson,test_1m_rmse,test_60m_spearman,test_60m_pearson,test_60m_rmse,test_1B_spearman,test_1B_pearson,test_1B_rmse,est_10B_spearman,est_10B_pearson,est_10B_rmse,est_70B_spearman,est_70B_pearson,est_70B_rmse
arxiv,1.0,0.7256156240601761,5.027956397332634,-2.6127486165420573,1.1756398826980397,0.13675129821303644,-0.1428391142903079,0.678792146005862,-0.15965973365063355,0.8146130103162674,-0.2567228721875991,-0.6566659691226581,0.041549277198055554,0.1532617296194805,0.830601643142401,-0.31728095293410863,-0.370598396986588,0.059282345491507855,0.10020415895169531,0.5258201640776065,0.7446111810482947,0.7144509634191043,0.579151724741212,0.7622689688715952,0.7091785393209358,1.8261852747263805,0.8646978021978022,0.7478227223752988,3.2078542621884507,0.6707949308755761,0.7700917450137766,3.3844161431503093,0.6310483870967742,0.7420697059697595,3.750228598269194
freelaw,0.01,0.48969996733237425,4.55483724585986,1.3322249022911008,-1.8862040200239594,-2.731313784588868,1.2443533019506416,0.6899121280955678,0.7033139418616792,1.5999626731446255,-2.628294530517116,1.565399196179018,-3.0845568331577744,0.5269759311919634,0.5016096401145699,0.5277808390477688,0.3021613435076838,-1.0076739846417733,1.1892736706575682,1.1550755848873049,0.7696812771801326,0.7593926523513406,0.48107885457138616,0.7625479228656442,0.7520694884233399,1.444969088493251,0.7066849816849816,0.6232460476313221,3.368022043770035,0.7125576036866359,0.7941127660125161,3.4540000259975234,0.6559139784946237,0.7607675566245911,3.825639551502471
pubmed_central,0.1,0.585706885538018,4.80200396344439,0.5157987957406512,1.2483416555209672,-1.3446768274312613,-1.9387523120952959,0.6697465840619329,0.4994077872104738,1.2557626966511675,-1.2487901102954233,0.8657121561532413,0.68785419726497,0.6895006875621165,1.3054664829835307,-0.7126080060157546,-1.9224939182109964,-0.4654350310260991,-0.4180030920280577,0.3131682539538371,0.8331418802929731,0.7766248327948808,0.5294039174312016,0.8522781242847333,0.783780565989093,1.7552288333094106,0.7995879120879119,0.7345959438559266,3.388361886131875,0.6939324116743472,0.748731066747515,3.4775550950551213,0.6091589861751152,0.6867242915583672,3.84725032870917
wikipedia_en,0.1,0.2984862563729333,5.5829513480539505,0.6260273715972828,0.5603153056014831,-0.460172896652742,0.5318839261549818,-2.137312524607561,0.6416890523217345,0.874065191632541,-1.3377425412565598,0.6372341652119143,-0.2802968145274049,0.08974081943322265,-0.24567149901446117,0.28061432373340844,-0.3401276623897904,-0.35995976924560674,0.4494295265081554,0.47028402549940235,0.8818250743877316,0.843034522145631,0.2942936835422136,0.8834737640192262,0.8374723810681389,1.3704447211707218,0.8384615384615383,0.7950160511150902,3.303265447331479,0.4084439431846424,0.4859597675430931,3.8833804755451045,0.334773425499232,0.41068343858863016,4.2967529089075445
dm_mathematics,0.01,1.2133050247996853,1.5866456891962524,3.31714860165266,3.1712352564683433,-1.3334352836680141,3.114229222889461,2.8209789203095417,-14.855299791088884,3.0845406186158613,-6.011278600092456,2.272325368521566,-8.209700009161311,2.0539360216271736,3.2093678386695967,0.10155137047414513,1.872890886956869,-0.7031424858781077,3.1194989860975273,2.9751530776060298,0.7674668116273746,0.6555638517947749,1.158720460894497,0.7521164740215153,0.6369030142194778,1.5581854773788024,0.6868131868131867,0.526223006722172,2.665456736794217,0.6416090629800307,0.6008275426093308,2.8247608915145936,0.612615207373272,0.5917802306676962,3.1138402257116486
github,0.01,0.7105666094152114,4.160650495494035,1.9938288727602793,2.232319196638177,-1.7050212423394058,2.2737451231117536,1.8888187774062353,1.10002071471496,-1.433216716791541,-5.020297728049087,-0.12607077978476003,-5.892386838126119,1.4483269009745516,1.787631697725113,-1.2685971924563133,0.39068983006573305,-0.694388552809145,1.214881021609537,1.8097169153500323,0.838052901121538,0.7653960455328181,0.611972811252041,0.8406700617990385,0.744344918227464,2.634377819388772,0.6721153846153846,0.651008441754232,4.439418262274766,0.6070948540706606,0.6995403070587741,3.696816891634556,0.5079685099846392,0.6424659193229625,4.080668165527333
stackexchange,0.01,0.5247414387642194,4.535655719176522,1.2929477788928843,1.58757817247514,-1.539300762055731,1.5315861133319935,1.2590650384450899,0.9995846210427759,0.05293618425909705,-3.5912917135698117,-1.548173820595285,-2.408410903777317,1.0662407109262473,1.0787400214383722,-0.6880665986465158,0.07334566270148002,-1.2046218543497178,0.8524858689370345,1.1853554805442628,0.819406614785992,0.7554525929916247,0.4477524950460621,0.818485351338979,0.7429617711761509,1.765063681173524,0.7323260073260072,0.6875357485944666,3.544596343714017,0.5261439869808958,0.6125264918294961,3.5966441832396927,0.4148475284420329,0.49369669706637603,3.973138801572224
gutenberg_pg_19,0.1,0.24931303733131327,5.148731632465772,0.6630446596237896,0.18299775409778615,-0.3090254920921704,0.7996181725548419,0.12695239121551224,0.6216863479290305,0.8494259465303107,-0.6618623984875159,0.6196198584923165,-0.47629195258585216,-2.688326541913359,-0.1439573879936648,0.23805643754464567,-0.0030971039516589083,-1.0768800119116715,0.5225099551097807,0.7355293658378791,0.8892974650949874,0.8220593489741221,0.2582268568762293,0.8938508525978485,0.8360924148471336,1.011357088697703,0.6536630036630036,0.703551838008927,2.669301672884148,0.5136328725038403,0.5885085285746603,3.584631931728153,0.43221966205837176,0.5197241694207061,3.9683438621930107
pile_cc,0.01,0.1596797920817806,5.391547149323109,0.7372801857701375,0.5000897347220848,-0.6996160528612619,0.6290551740630524,-0.06575955688027166,0.6136369913359223,0.8383317134132184,-0.9301915286209976,0.49069819429951234,-1.773672549165601,0.11909234034135285,-0.5805339371051479,-0.22818800035184053,0.15460116024496062,-0.7756602226694699,0.45174384576633664,0.5190925076980129,0.9007345788509955,0.8779472787537842,0.1538964608442595,0.8918996051728083,0.8672216993686719,1.078855340129898,0.8875915750915748,0.7275193213035509,2.681493636789782,0.15346582181259602,0.32639427718294584,3.805924331910632,0.09485407066052229,0.26609739240863595,4.214675968950349
ubuntu_irc,0.01,0.700345062831204,4.212137163794567,2.9246575687488603,3.1657283317914167,0.005751490770103197,3.306125191670405,2.985387821539782,2.971336113264799,2.718010554228413,-6.04694033518846,2.6810546115701728,-8.0129825883521,2.4521361275775875,2.6908089255341636,-15.520283062236885,-2.2589661155594194,0.19508965087131955,2.988659921696507,2.7544257920733366,0.7632639047837033,0.759422041805141,0.6505137539938817,0.7603742275120163,0.7443547113590636,2.0373596215892156,0.660989010989011,0.6461991298012884,4.108484094455945,0.49980798771121354,0.5070773109354528,4.46647810903223,0.39190178456384595,0.41549236328964256,4.94763563845431
