target,alpha,cv_rmse,a_1M,b_1M,pearson_1M,rmse_1M,a_60M,b_60M,pearson_60M,rmse_60M,a_1B,b_1B,pearson_1B,rmse_1B,eta_domain
arxiv,1.0,0.7256156240601761,0.5551418596542934,0.8562546321672101,0.7144509634191045,0.5454601928930257,0.14780683029448838,0.6213356343436336,0.7091785393209354,0.4017975538872673,0.715625875057301,0.21623478484656095,0.7478227223752986,0.06965423732399442,0.19046749760448506
freelaw,0.01,0.48969996733237425,-0.15791523924074902,1.0226432181340261,0.7593926523513409,0.4795158533369318,-0.7653531462606145,0.885215487762654,0.7520694884233402,0.42456195461595214,0.09990183026853727,0.3521934191148005,0.6232460476313222,0.10834754488637408,0.1456887361498356
pubmed_central,0.1,0.585706885538018,-0.25641657334359014,1.0409349801630652,0.7766248327948811,0.5267618760276459,-0.24471530101233796,0.714598399826328,0.7837805659890931,0.3532419894327011,1.1919979015601259,0.11083188929367244,0.7345959438559265,0.035555196795280304,0.30741855267612633
wikipedia_en,0.1,0.2984862563729333,0.1549267780961463,0.9751222351927168,0.8430345221456303,0.29387118154730874,-0.6899727240766831,0.8877151858837748,0.8374723810681384,0.27362239685111295,-1.1241030618105263,0.6253008787923959,0.7950160511150902,0.09597389821380842,0.0613251879054879
dm_mathematics,0.01,1.2133050247996853,-0.02136983035436346,0.9944382071697545,0.6555638517947749,1.1579266425703298,0.6178926489501961,0.48404442228604927,0.636903014219478,0.5922780328546423,0.5530397545885667,0.24000316182981582,0.526223006722172,0.2527829389479027,0.20361841504734218
github,0.01,0.7105666094152114,0.20306321387467463,0.9336507098060133,0.7653960455328181,0.592900788987084,-0.8937516149469524,0.6762532191929891,0.7443449182274643,0.4582195206486451,-0.1455655915772196,0.218967881225014,0.6510084417542321,0.09111218441294235,0.20043312220444634
stackexchange,0.01,0.5247414387642194,0.30074693659310636,0.9237018071860176,0.7554525929916245,0.4350848126735143,-0.4738373499363018,0.7610444854467021,0.7429617711761506,0.372357091326602,-0.07375587088703961,0.35766510052149,0.687535748594467,0.09381428762805956,0.13082874373891706
gutenberg_pg_19,0.1,0.24931303733131327,-0.5355604730902339,1.0945924084599346,0.8220593489741226,0.255463153278742,-0.743964580396832,0.9550420185669598,0.8360924148471328,0.21114225362274872,-1.6789477277426594,0.8202193323287909,0.7035518380089267,0.17196738181173687,0.04116096476616058
pile_cc,0.01,0.1596797920817806,-0.24843670135741025,1.0428611685562565,0.8779472787537844,0.15343975829584267,-1.1173071741472809,1.0086869794635493,0.8672216993686709,0.1562615721685315,0.47426270625813105,0.44309224315347856,0.7275193213035513,0.06913345645064743,0.11552383506981556
ubuntu_irc,0.01,0.700345062831204,0.152249116016975,0.9706527273652775,0.7594220418051405,0.6489173263945408,0.18758999905240703,0.6701954612160783,0.7443547113590636,0.4691952387068148,0.6185812065464393,0.3026221852848368,0.646199129801288,0.32268072765864775,0.16305201609184503
hackernews,0.001,0.20210449568205582,-0.50890741439129,1.0909957784081412,0.8292869612173844,0.18792788611872002,-0.9014587621383354,0.9830315654379012,0.8157717459689531,0.17815838970688203,-1.0141326530655488,0.761796026862035,0.5298752537909961,0.16697074396390293,0.05007187245446004
pubmed_abstracts,0.01,0.3103023892975513,-0.1391359325258037,1.0243340736599862,0.8878228662487732,0.2624477946331112,-1.1955450292624024,0.9716132113172277,0.877991698874142,0.2618420362193368,1.1560107634556924,0.23817967886093058,0.5649303996815063,0.0933148545509444,0.1968154585680468
uspto_backgrounds,0.1,0.27913982759092204,0.2024164418060126,0.9568153118359766,0.8493236621972947,0.26925961473465315,-0.30977277909921863,0.7900318064459764,0.8275339663021416,0.24267810782660337,-0.4936992667158715,0.5447438974552943,0.77092347872784,0.08946345465783007,0.07902681519719294
