coordinate_id,grade,loss_kind,n,loss_kind_provenance,source_Loss_values_independently_verified,a,bLoss,loss_min,loss_max,N_min_B,N_max_B,diagnostic_primary_candidate,cross_Q3_coordinate_status
Gemma2 report,medium,unspecified,4,attachment source label; not independent paper verification,False,4.224902351295039,-2.421021709371035,1.95,2.39,2.614,27.227,False,unidentified
"Pythia training log (Attachment B, final checkpoint D=299.9B tokens)",high,validation,7,attachment source label; not independent paper verification,False,-2.4416798773594293,-0.16387576899022435,2.0933,2.5978,0.162405,11.965825,False,unidentified
"Qwen2 Technical Report (Alibaba, 2024), validation loss",medium,validation,4,attachment source label; not independent paper verification,False,2.2309938670901217,-1.6592488031689454,1.9,2.84,0.494,57.409,True,unidentified
"Qwen2.5 Technical Report (Alibaba, 2024), validation loss",medium,validation,6,attachment source label; not independent paper verification,False,3.801774132983589,-2.2497936896953785,1.85,2.81,0.5,72.706,True,unidentified
Qwen2.5 report,medium,unspecified,8,attachment source label; not independent paper verification,False,4.084953895331336,-2.201413962219857,1.85,2.81,0.494,72.706,False,unidentified
