source,year,n,Average_mean,Average_q90,six_task_mean,six_task_q90,N_median_B,N_q90_B,zero_task_fraction,average_mean_abs_difference_from_six_tasks,Average_comparable_across_sources
Historical (papers/reports),2019,1,5.0,5.0,4.1000000000000005,4.1000000000000005,1.5,1.5,0.8333333333333334,0.8999999999999995,False
Historical (papers/reports),2020,1,50.0,50.0,7.666666666666667,7.666666666666667,175.0,175.0,0.5,42.333333333333336,False
Historical (papers/reports),2021,2,3.5,4.7,0.9916666666666667,1.1183333333333334,4.35,5.67,0.8333333333333334,2.508333333333333,False
Historical (papers/reports),2022,7,16.0,32.0,5.130952380952381,12.693333333333344,30.0,175.4,0.7380952380952381,10.869047619047619,False
Historical (papers/reports),2023,13,12.923076923076923,24.000000000000004,4.916666666666666,8.453333333333333,12.0,45.36000000000001,0.47435897435897434,8.121794871794872,False
Historical (papers/reports),2024,2,5.5,7.5,2.1500000000000004,2.4833333333333334,4.5,6.5,0.8333333333333334,3.35,False
Open LLM Leaderboard,2024,2671,21.132407338075627,35.11,21.132438742608578,35.108466039072106,8.03,27.227,0.015162860351928117,0.0025105014093641798,False
Open LLM Leaderboard,2025,1902,22.783359621451105,39.67,22.78335576982204,39.665305547250405,8.03,14.766,0.012355415352260778,0.002476345934670834,False
