quality_mapping_version,policy,N_params_B,D_tokens_B,Q_B,bridge_lambda,eta,weights,B7_baseline_loss,weighted_relative_A_effect,factor,conditional_loss,reference_covered_mass,chosen_covered_mass,reference_mean_Q_A_on_covered,chosen_mean_Q_A_on_covered,active_A4_vertices_json,feasibility_max_violation,ready_for_Q3
CYJ_v1_extended,quality_direct,1.0,100.0,0.5,1.0,0.0,equal_13,2.5673967252758954,-0.11819253476830244,0.8818074652316976,2.2639495985596985,0.3231556093473321,0.3231556093473321,0.8574247439016351,0.8574247439016351,"[{""index"":""79"",""weight"":0.17543830678642044},{""index"":""136"",""weight"":0.748724447459886},{""index"":""326"",""weight"":0.0758372457536936}]",0.0,False
CYJ_v1_extended,quality_direct_and_near,1.0,100.0,0.5,1.0,0.0,equal_13,2.5673967252758954,-0.11389285905745325,0.8861071409425467,2.2749885718994807,0.5646359074665894,0.5646359074665894,0.7864741235637406,0.7864741235637406,"[{""index"":""136"",""weight"":0.5927613439511189},{""index"":""248"",""weight"":0.2723562401612484},{""index"":""301"",""weight"":0.1348824158876327}]",0.0,False
CHM_v2_candidate_A1_sample,quality_direct,1.0,100.0,0.5,1.0,0.0,equal_13,2.5673967252758954,-0.11819399030559571,0.8818060096944043,2.263945861618018,0.3231556093473321,0.3231556093473321,0.8515354932354259,0.8515354932354259,"[{""index"":""79"",""weight"":0.17539090059293536},{""index"":""136"",""weight"":0.748720852841805},{""index"":""326"",""weight"":0.07588824656525968}]",0.0,False
CHM_v2_candidate_A1_sample,quality_direct_and_near,1.0,100.0,0.5,1.0,0.0,equal_13,2.5673967252758954,-0.11392929224838032,0.8860707077516197,2.274895033444403,0.5646359074665894,0.5646359074665894,0.7831035543837233,0.7831035543837231,"[{""index"":""136"",""weight"":0.5933822467518389},{""index"":""248"",""weight"":0.2762873210575941},{""index"":""301"",""weight"":0.1303304321905669}]",0.0,False
