quality_bridge_scenario,scale,Q_A_mapped,Q_B_proxy,mapped_coverage,unmapped_mass,Loss,empirically_calibrated
compressed,0.5,1.6754490814383751,0.5533833251925064,0.5814185814185814,0.4185814185814185,2.3853432843114453,False
identity_normalized,1.0,1.6754490814383751,0.6713607648391644,0.5814185814185814,0.4185814185814185,2.3443478102094826,False
expanded,1.5,1.6754490814383751,0.7893382044858224,0.5814185814185814,0.4185814185814185,2.3033523361075203,False
