policy,N_params_B,D_tokens_B,Q_A_mapped,Q_B_proxy,Loss,N_marginal,D_marginal,quality_proxy_marginal,Q_A_mapped_marginal,N_elasticity,D_elasticity,quality_proxy_elasticity,Q_A_mapped_elasticity,p_marginal_min,p_marginal_max
observed_512_plus_quality_direct_and_near,0.1,100.0,1.6754490814383751,0.6713607648391644,2.780595804500833,-2.648988208008288,-0.0009402271872188602,-0.47903958267523794,-0.126668116194786,-0.09526692817850343,-0.03381387491475583,-0.1156616794474436,-0.07632392258614586,-1.1256469852513131,0.9597689328693775
observed_512_plus_quality_direct_and_near,1.0,100.0,1.6754490814383751,0.6713607648391644,2.3443478102094826,-0.13127971067491853,-0.0009402271872188602,-0.3474857076466794,-0.09188251155866796,-0.05599839328584432,-0.04010613029023389,-0.09951094689977216,-0.06566622449143551,-0.9490441007899578,0.7537689779978619
observed_512_plus_quality_direct_and_near,10.0,100.0,1.6754490814383751,0.6713607648391644,2.1214658541170492,-0.0070201943892578755,-0.0009402271872188602,-0.21593183261812082,-0.05709690692254991,-0.0330912438474277,-0.044319694582601765,-0.06833395881356741,-0.045092858822454826,-0.8588165310236997,0.5852931522194976
