split,targets,median_full_rmse,median_no_mixture_rmse,improved_targets,median_full_spearman
test_1m,13,0.44775249504606207,0.6759335543748375,13,0.838052901121538
test_60m,13,1.4449690884932511,1.4723713921075177,13,0.8381151293202105
test_1B,13,3.2078542621884507,3.251366252165028,4,0.7066849816849816
