policy,support,N_params_B,D_tokens_B,Q_score,lambda,eta,bridge_model,status,Loss,difference_from_baseline
equal_13,observed_512,0.1,100.0,0.5,1.5,0.4,linear_bridge,valid,1.7329473741945363,-0.9938249127313232
equal_13,observed_512,1.0,100.0,0.5,0,0.0,exp_bridge,valid,2.5673967252758954,0.2790556640458699
equal_13,observed_512,1.0,100.0,0.5,0,0.0,linear_bridge,valid,2.5673967252758954,0.2790556640458699
equal_13,observed_512,1.0,100.0,0.5,0,0.1,exp_bridge,valid,2.5673967252758954,0.2790556640458699
equal_13,observed_512,1.0,100.0,0.5,0,0.1,linear_bridge,valid,2.5673967252758954,0.2790556640458699
equal_13,observed_512,1.0,100.0,0.5,0,0.2,exp_bridge,valid,2.5673967252758954,0.2790556640458699
equal_13,observed_512,1.0,100.0,0.5,0,0.2,linear_bridge,valid,2.5673967252758954,0.2790556640458699
equal_13,observed_512,1.0,100.0,0.5,0,0.4,exp_bridge,valid,2.5673967252758954,0.2790556640458699
equal_13,observed_512,1.0,100.0,0.5,0,0.4,linear_bridge,valid,2.5673967252758954,0.2790556640458699
equal_13,observed_512,1.0,100.0,0.5,0.5,0.0,exp_bridge,valid,2.4238562966719654,0.13551523544194
equal_13,observed_512,1.0,100.0,0.5,0.5,0.0,linear_bridge,valid,2.4196875745464306,0.13134651331640512
equal_13,observed_512,1.0,100.0,0.5,0.5,0.1,exp_bridge,valid,2.4238562966719654,0.13551523544194
equal_13,observed_512,1.0,100.0,0.5,0.5,0.1,linear_bridge,valid,2.4196875745464306,0.13134651331640512
equal_13,observed_512,1.0,100.0,0.5,0.5,0.2,exp_bridge,valid,2.4238562966719654,0.13551523544194
equal_13,observed_512,1.0,100.0,0.5,0.5,0.2,linear_bridge,valid,2.4196875745464306,0.13134651331640512
equal_13,observed_512,1.0,100.0,0.5,0.5,0.4,exp_bridge,valid,2.4238562966719654,0.13551523544194
equal_13,observed_512,1.0,100.0,0.5,0.5,0.4,linear_bridge,valid,2.4196875745464306,0.13134651331640512
equal_13,observed_512,1.0,100.0,0.5,0.75,0.0,exp_bridge,valid,2.3551241772346962,0.0667831160046708
equal_13,observed_512,1.0,100.0,0.5,0.75,0.0,linear_bridge,valid,2.3458329991816984,0.057491937951672956
equal_13,observed_512,1.0,100.0,0.5,0.75,0.1,exp_bridge,valid,2.3551241772346962,0.0667831160046708
equal_13,observed_512,1.0,100.0,0.5,0.75,0.1,linear_bridge,valid,2.3458329991816984,0.057491937951672956
