scope,candidate_set,weight_scenario,model,n_candidates,selected_index,selected_hull_status,actual_best_index,realized_rank,realized_top_decile,realized_relative_regret
test_1m,all_heldout,dirichlet_sparse_006,interaction_candidate,256,93,OUT_OF_TRAINING_SUPPORT,165,47,False,0.17735226083742536
test_1m,all_heldout,dirichlet_sparse_007,ridge_v1.3,256,192,OUT_OF_TRAINING_SUPPORT,50,8,True,0.05336116851228087
test_1m,all_heldout,dirichlet_sparse_007,interaction_candidate,256,237,OUT_OF_TRAINING_SUPPORT,50,137,False,0.3109591479746669
test_1m,all_heldout,dirichlet_sparse_008,ridge_v1.3,256,146,OUT_OF_TRAINING_SUPPORT,164,36,False,0.18255937833000416
test_1m,all_heldout,dirichlet_sparse_008,interaction_candidate,256,146,OUT_OF_TRAINING_SUPPORT,164,36,False,0.18255937833000416
test_1m,all_heldout,dirichlet_sparse_009,ridge_v1.3,256,240,OUT_OF_TRAINING_SUPPORT,219,17,True,0.09638724764578462
test_1m,all_heldout,dirichlet_sparse_009,interaction_candidate,256,240,OUT_OF_TRAINING_SUPPORT,219,17,True,0.09638724764578462
test_1m,all_heldout,dirichlet_sparse_010,ridge_v1.3,256,73,OUT_OF_TRAINING_SUPPORT,166,50,False,0.20579597565666477
test_1m,all_heldout,dirichlet_sparse_010,interaction_candidate,256,127,OUT_OF_TRAINING_SUPPORT,166,6,True,0.055081824176729265
test_1m,all_heldout,dirichlet_sparse_011,ridge_v1.3,256,146,OUT_OF_TRAINING_SUPPORT,119,6,True,0.05875702816713839
test_1m,all_heldout,dirichlet_sparse_011,interaction_candidate,256,146,OUT_OF_TRAINING_SUPPORT,119,6,True,0.05875702816713839
test_1m,all_heldout,dirichlet_sparse_012,ridge_v1.3,256,53,OUT_OF_TRAINING_SUPPORT,172,21,True,0.10801252887133587
test_1m,all_heldout,dirichlet_sparse_012,interaction_candidate,256,53,OUT_OF_TRAINING_SUPPORT,172,21,True,0.10801252887133587
test_1m,all_heldout,dirichlet_sparse_013,ridge_v1.3,256,240,OUT_OF_TRAINING_SUPPORT,207,45,False,0.14774214277456532
test_1m,all_heldout,dirichlet_sparse_013,interaction_candidate,256,135,OUT_OF_TRAINING_SUPPORT,207,56,False,0.17242362420113064
test_1m,all_heldout,dirichlet_sparse_014,ridge_v1.3,256,240,OUT_OF_TRAINING_SUPPORT,242,4,True,0.03852018960368259
test_1m,all_heldout,dirichlet_sparse_014,interaction_candidate,256,240,OUT_OF_TRAINING_SUPPORT,242,4,True,0.03852018960368259
test_1m,all_heldout,dirichlet_sparse_015,ridge_v1.3,256,157,OUT_OF_TRAINING_SUPPORT,131,3,True,0.02312745829356795
test_1m,all_heldout,dirichlet_sparse_015,interaction_candidate,256,157,OUT_OF_TRAINING_SUPPORT,131,3,True,0.02312745829356795
test_1m,all_heldout,dirichlet_sparse_016,ridge_v1.3,256,59,OUT_OF_TRAINING_SUPPORT,59,1,True,0.0
test_1m,all_heldout,dirichlet_sparse_016,interaction_candidate,256,59,OUT_OF_TRAINING_SUPPORT,59,1,True,0.0
test_1m,all_heldout,dirichlet_sparse_017,ridge_v1.3,256,238,OUT_OF_TRAINING_SUPPORT,165,18,True,0.09487734025298183
test_1m,all_heldout,dirichlet_sparse_017,interaction_candidate,256,221,OUT_OF_TRAINING_SUPPORT,165,7,True,0.06586043740247995
test_1m,all_heldout,dirichlet_sparse_018,ridge_v1.3,256,63,OUT_OF_TRAINING_SUPPORT,155,64,False,0.23864935822152633
test_1m,all_heldout,dirichlet_sparse_018,interaction_candidate,256,127,OUT_OF_TRAINING_SUPPORT,155,6,True,0.029736612752978047
test_1m,all_heldout,dirichlet_sparse_019,ridge_v1.3,256,27,OUT_OF_TRAINING_SUPPORT,152,7,True,0.041618623078470036
test_1m,all_heldout,dirichlet_sparse_019,interaction_candidate,256,27,OUT_OF_TRAINING_SUPPORT,152,7,True,0.041618623078470036
test_1m,all_heldout,dirichlet_sparse_020,ridge_v1.3,256,93,OUT_OF_TRAINING_SUPPORT,6,37,False,0.11635020959826146
test_1m,all_heldout,dirichlet_sparse_020,interaction_candidate,256,237,OUT_OF_TRAINING_SUPPORT,6,30,False,0.10844150721617185
test_1m,all_heldout,dirichlet_sparse_021,ridge_v1.3,256,93,OUT_OF_TRAINING_SUPPORT,6,11,True,0.03683049153323364
test_1m,all_heldout,dirichlet_sparse_021,interaction_candidate,256,237,OUT_OF_TRAINING_SUPPORT,6,83,False,0.16514602839141745
test_1m,all_heldout,dirichlet_sparse_022,ridge_v1.3,256,53,OUT_OF_TRAINING_SUPPORT,152,5,True,0.039758951358529374
test_1m,all_heldout,dirichlet_sparse_022,interaction_candidate,256,53,OUT_OF_TRAINING_SUPPORT,152,5,True,0.039758951358529374
test_1m,all_heldout,dirichlet_sparse_023,ridge_v1.3,256,59,OUT_OF_TRAINING_SUPPORT,176,16,True,0.03195465772261602
test_1m,all_heldout,dirichlet_sparse_023,interaction_candidate,256,59,OUT_OF_TRAINING_SUPPORT,176,16,True,0.03195465772261602
test_1m,all_heldout,dirichlet_sparse_024,ridge_v1.3,256,133,OUT_OF_TRAINING_SUPPORT,38,12,True,0.060981066389499954
test_1m,all_heldout,dirichlet_sparse_024,interaction_candidate,256,38,OUT_OF_TRAINING_SUPPORT,38,1,True,0.0
test_1m,all_heldout,dirichlet_sparse_025,ridge_v1.3,256,187,OUT_OF_TRAINING_SUPPORT,75,4,True,0.034591249178967456
test_1m,all_heldout,dirichlet_sparse_025,interaction_candidate,256,187,OUT_OF_TRAINING_SUPPORT,75,4,True,0.034591249178967456
test_1m,all_heldout,dirichlet_sparse_026,ridge_v1.3,256,43,OUT_OF_TRAINING_SUPPORT,187,4,True,0.023828334170288065
test_1m,all_heldout,dirichlet_sparse_026,interaction_candidate,256,43,OUT_OF_TRAINING_SUPPORT,187,4,True,0.023828334170288065
test_1m,all_heldout,dirichlet_sparse_027,ridge_v1.3,256,57,OUT_OF_TRAINING_SUPPORT,102,66,False,0.1290618101454749
