weight_scenario,quality_score_scope,quality_policy,model,n_feasible_observed_recipes,selected_index,objective_relative,max_domain_share,unknown_QA_share
only_wikipedia_en,A1_sample_primary,unconstrained,interaction_candidate,512,171,-0.2898088401855983,0.7087087087087087,0.13813813813813813
only_wikipedia_en,A1_sample_primary,quality_direct,ridge_v1.3,91,399,-0.13947320934284746,0.4255744255744256,0.18381618381618386
only_wikipedia_en,A1_sample_primary,quality_direct,interaction_candidate,91,399,-0.12958847732837017,0.4255744255744256,0.18381618381618386
only_wikipedia_en,A1_sample_primary,quality_direct_and_near,ridge_v1.3,108,302,-0.16485499813905843,0.3843843843843844,0.16016016016016016
only_wikipedia_en,A1_sample_primary,quality_direct_and_near,interaction_candidate,108,302,-0.1581330469600785,0.3843843843843844,0.16016016016016016
only_wikipedia_en,A2_A3_extended_sensitivity,unconstrained,ridge_v1.3,512,171,-0.29872227072823027,0.7087087087087087,0.13813813813813813
only_wikipedia_en,A2_A3_extended_sensitivity,unconstrained,interaction_candidate,512,171,-0.2898088401855983,0.7087087087087087,0.13813813813813813
only_wikipedia_en,A2_A3_extended_sensitivity,quality_direct,ridge_v1.3,92,399,-0.13947320934284746,0.4255744255744256,0.18381618381618386
only_wikipedia_en,A2_A3_extended_sensitivity,quality_direct,interaction_candidate,92,399,-0.12958847732837017,0.4255744255744256,0.18381618381618386
only_wikipedia_en,A2_A3_extended_sensitivity,quality_direct_and_near,ridge_v1.3,108,302,-0.16485499813905843,0.3843843843843844,0.16016016016016016
only_wikipedia_en,A2_A3_extended_sensitivity,quality_direct_and_near,interaction_candidate,108,302,-0.1581330469600785,0.3843843843843844,0.16016016016016016
only_dm_mathematics,A1_sample_primary,unconstrained,ridge_v1.3,512,136,-1.0959925514432654,0.22522522522522523,0.5685685685685684
only_dm_mathematics,A1_sample_primary,unconstrained,interaction_candidate,512,136,-1.0112969813798984,0.22522522522522523,0.5685685685685684
only_dm_mathematics,A1_sample_primary,quality_direct,ridge_v1.3,91,318,-0.7475585414016266,0.74,0.232
only_dm_mathematics,A1_sample_primary,quality_direct,interaction_candidate,91,318,-0.6307025739360356,0.74,0.232
only_dm_mathematics,A1_sample_primary,quality_direct_and_near,ridge_v1.3,108,68,-0.9397337136895129,0.445,0.33
only_dm_mathematics,A1_sample_primary,quality_direct_and_near,interaction_candidate,108,68,-0.8419400406504295,0.445,0.33
only_dm_mathematics,A2_A3_extended_sensitivity,unconstrained,ridge_v1.3,512,136,-1.0959925514432654,0.22522522522522523,0.5685685685685684
only_dm_mathematics,A2_A3_extended_sensitivity,unconstrained,interaction_candidate,512,136,-1.0112969813798984,0.22522522522522523,0.5685685685685684
only_dm_mathematics,A2_A3_extended_sensitivity,quality_direct,ridge_v1.3,92,318,-0.7475585414016266,0.74,0.232
only_dm_mathematics,A2_A3_extended_sensitivity,quality_direct,interaction_candidate,92,318,-0.6307025739360356,0.74,0.232
only_dm_mathematics,A2_A3_extended_sensitivity,quality_direct_and_near,ridge_v1.3,108,68,-0.9397337136895129,0.445,0.33
only_dm_mathematics,A2_A3_extended_sensitivity,quality_direct_and_near,interaction_candidate,108,68,-0.8419400406504295,0.445,0.33
only_github,A1_sample_primary,unconstrained,ridge_v1.3,512,292,-0.48512595358095073,0.954,0.045000000000000005
only_github,A1_sample_primary,unconstrained,interaction_candidate,512,423,-0.35261131333380635,0.77,0.224
only_github,A1_sample_primary,quality_direct,ridge_v1.3,91,301,-0.10782961055821506,0.36063936063936064,0.2727272727272727
only_github,A1_sample_primary,quality_direct,interaction_candidate,91,437,-0.3075048549720412,0.442,0.154
only_github,A1_sample_primary,quality_direct_and_near,ridge_v1.3,108,360,-0.20527316456802092,0.4285714285714286,0.26973026973026976
only_github,A1_sample_primary,quality_direct_and_near,interaction_candidate,108,437,-0.3075048549720412,0.442,0.154
only_github,A2_A3_extended_sensitivity,unconstrained,ridge_v1.3,512,292,-0.48512595358095073,0.954,0.045000000000000005
only_github,A2_A3_extended_sensitivity,unconstrained,interaction_candidate,512,423,-0.35261131333380635,0.77,0.224
only_github,A2_A3_extended_sensitivity,quality_direct,ridge_v1.3,92,301,-0.10782961055821506,0.36063936063936064,0.2727272727272727
only_github,A2_A3_extended_sensitivity,quality_direct,interaction_candidate,92,437,-0.3075048549720412,0.442,0.154
only_github,A2_A3_extended_sensitivity,quality_direct_and_near,ridge_v1.3,108,360,-0.20527316456802092,0.4285714285714286,0.26973026973026976
only_github,A2_A3_extended_sensitivity,quality_direct_and_near,interaction_candidate,108,437,-0.3075048549720412,0.442,0.154
only_stackexchange,A1_sample_primary,unconstrained,ridge_v1.3,512,389,-0.4293318444808693,0.998,0.002
only_stackexchange,A1_sample_primary,unconstrained,interaction_candidate,512,389,-0.4065924223880412,0.998,0.002
only_stackexchange,A1_sample_primary,quality_direct,ridge_v1.3,91,183,-0.1745573714575187,0.5034965034965034,0.02697302697302697
only_stackexchange,A1_sample_primary,quality_direct,interaction_candidate,91,183,-0.15077318749030905,0.5034965034965034,0.02697302697302697
only_stackexchange,A1_sample_primary,quality_direct_and_near,ridge_v1.3,108,356,-0.21897986247275444,0.47052947052947053,0.2947052947052947
only_stackexchange,A1_sample_primary,quality_direct_and_near,interaction_candidate,108,356,-0.1831475697216706,0.47052947052947053,0.2947052947052947
only_stackexchange,A2_A3_extended_sensitivity,unconstrained,ridge_v1.3,512,389,-0.4293318444808693,0.998,0.002
only_stackexchange,A2_A3_extended_sensitivity,unconstrained,interaction_candidate,512,389,-0.4065924223880412,0.998,0.002
only_stackexchange,A2_A3_extended_sensitivity,quality_direct,ridge_v1.3,92,479,-0.1954593564929644,0.496,0.23299999999999998
only_stackexchange,A2_A3_extended_sensitivity,quality_direct,interaction_candidate,92,479,-0.166873565393805,0.496,0.23299999999999998
only_stackexchange,A2_A3_extended_sensitivity,quality_direct_and_near,ridge_v1.3,108,356,-0.21897986247275444,0.47052947052947053,0.2947052947052947
only_stackexchange,A2_A3_extended_sensitivity,quality_direct_and_near,interaction_candidate,108,356,-0.1831475697216706,0.47052947052947053,0.2947052947052947
only_gutenberg_pg_19,A1_sample_primary,unconstrained,ridge_v1.3,512,160,-0.2578637688980883,0.5015015015015015,0.08608608608608609
only_gutenberg_pg_19,A1_sample_primary,unconstrained,interaction_candidate,512,160,-0.2378173823506282,0.5015015015015015,0.08608608608608609
only_gutenberg_pg_19,A1_sample_primary,quality_direct,ridge_v1.3,91,301,-0.184456908435971,0.36063936063936064,0.2727272727272727
only_gutenberg_pg_19,A1_sample_primary,quality_direct,interaction_candidate,91,301,-0.17442113853351962,0.36063936063936064,0.2727272727272727
only_gutenberg_pg_19,A1_sample_primary,quality_direct_and_near,ridge_v1.3,108,160,-0.2578637688980883,0.5015015015015015,0.08608608608608609
only_gutenberg_pg_19,A1_sample_primary,quality_direct_and_near,interaction_candidate,108,160,-0.2378173823506282,0.5015015015015015,0.08608608608608609
only_gutenberg_pg_19,A2_A3_extended_sensitivity,unconstrained,ridge_v1.3,512,160,-0.2578637688980883,0.5015015015015015,0.08608608608608609
only_gutenberg_pg_19,A2_A3_extended_sensitivity,unconstrained,interaction_candidate,512,160,-0.2378173823506282,0.5015015015015015,0.08608608608608609
only_gutenberg_pg_19,A2_A3_extended_sensitivity,quality_direct,ridge_v1.3,92,301,-0.184456908435971,0.36063936063936064,0.2727272727272727
only_gutenberg_pg_19,A2_A3_extended_sensitivity,quality_direct,interaction_candidate,92,301,-0.17442113853351962,0.36063936063936064,0.2727272727272727
only_gutenberg_pg_19,A2_A3_extended_sensitivity,quality_direct_and_near,ridge_v1.3,108,160,-0.2578637688980883,0.5015015015015015,0.08608608608608609
only_gutenberg_pg_19,A2_A3_extended_sensitivity,quality_direct_and_near,interaction_candidate,108,160,-0.2378173823506282,0.5015015015015015,0.08608608608608609
only_pile_cc,A1_sample_primary,unconstrained,ridge_v1.3,512,291,-0.15983315474980578,0.9880119880119881,0.009990009990009992
only_pile_cc,A1_sample_primary,unconstrained,interaction_candidate,512,187,-0.11441362725030779,0.8441558441558442,0.05094905094905095
only_pile_cc,A1_sample_primary,quality_direct,ridge_v1.3,91,475,-0.05538467206720646,0.4265734265734266,0.2267732267732268
only_pile_cc,A1_sample_primary,quality_direct,interaction_candidate,91,275,-0.08524843725094397,0.4894894894894895,0.060060060060060066
only_pile_cc,A1_sample_primary,quality_direct_and_near,ridge_v1.3,108,1,-0.1347739234111069,0.787,0.004
only_pile_cc,A1_sample_primary,quality_direct_and_near,interaction_candidate,108,65,-0.11107355157166592,0.786,0.052000000000000005
only_pile_cc,A2_A3_extended_sensitivity,unconstrained,ridge_v1.3,512,291,-0.15983315474980578,0.9880119880119881,0.009990009990009992
only_pile_cc,A2_A3_extended_sensitivity,unconstrained,interaction_candidate,512,187,-0.11441362725030779,0.8441558441558442,0.05094905094905095
only_pile_cc,A2_A3_extended_sensitivity,quality_direct,ridge_v1.3,92,475,-0.05538467206720646,0.4265734265734266,0.2267732267732268
only_pile_cc,A2_A3_extended_sensitivity,quality_direct,interaction_candidate,92,275,-0.08524843725094397,0.4894894894894895,0.060060060060060066
only_pile_cc,A2_A3_extended_sensitivity,quality_direct_and_near,ridge_v1.3,108,1,-0.1347739234111069,0.787,0.004
only_pile_cc,A2_A3_extended_sensitivity,quality_direct_and_near,interaction_candidate,108,65,-0.11107355157166592,0.786,0.052000000000000005
only_ubuntu_irc,A1_sample_primary,unconstrained,ridge_v1.3,512,365,-0.4897592951107118,0.518,0.31800000000000006
only_ubuntu_irc,A1_sample_primary,unconstrained,interaction_candidate,512,365,-0.46522379760733595,0.518,0.31800000000000006
