_source_domain,Q_z,Q_stable_loo,Q_stable_consensus,rank_primary,rank_stable_loo,rank_stable_consensus,spearman_primary_vs_loo,spearman_primary_vs_consensus
arxiv,2.6825847228467357,2.6245801164987284,2.3356444563129988,2.0,2.0,1.0,1.0,0.9642857142857145
book,2.771089402271088,2.7973892876173916,2.113195055580797,1.0,1.0,2.0,1.0,0.9642857142857145
c4,-0.21734541380716516,-0.1517958733796434,0.0025532371942721317,5.0,5.0,5.0,1.0,0.9642857142857145
commoncrawl,0.5061489813900384,0.5225998831234202,0.4482819638224699,3.0,3.0,3.0,1.0,0.9642857142857145
github,-0.5170697233047957,-0.5306479753199465,-0.7719344769473332,7.0,7.0,7.0,1.0,0.9642857142857145
stackexchange,0.18741076603582613,0.1776762825901695,0.30726569106648927,4.0,4.0,4.0,1.0,0.9642857142857145
wikipedia,-0.3759209796904164,-0.41424643998068034,-0.30545334856459017,6.0,6.0,6.0,1.0,0.9642857142857145
