_source_domain,Q_z,Q_z_qurater_component_standardized,rank_primary,rank_qurater_component,spearman_rank
arxiv,2.6886935343361333,2.6779819250958274,2.0,2.0,1.0
book,2.9183127695669935,2.930444504597135,1.0,1.0,1.0
c4,-0.30398246745883717,-0.30902438187218756,6.0,6.0,1.0
commoncrawl,0.43672408224617987,0.4369790507042676,3.0,3.0,1.0
github,-0.48535057808024096,-0.4870372475372164,7.0,7.0,1.0
stackexchange,0.25167008153856363,0.25305694782519983,4.0,4.0,1.0
wikipedia,-0.2944371095837085,-0.28882957316554136,5.0,5.0,1.0
