grid_id,w_rps,w_dsir,w_model,quality_domain,Q_raw_median,rank_high_is_good
12,0.0,0.6,0.4,c4,-0.47767750084347227,7.0
12,0.0,0.6,0.4,commoncrawl,0.20763684041311833,3.0
12,0.0,0.6,0.4,github,-0.21883400563185076,5.0
12,0.0,0.6,0.4,stackexchange,0.11124036577999959,4.0
12,0.0,0.6,0.4,wikipedia,-0.41156596579129145,6.0
13,0.0,0.65,0.35,arxiv,2.4875167328819354,2.0
13,0.0,0.65,0.35,book,2.5721253285632906,1.0
13,0.0,0.65,0.35,c4,-0.4781821354731618,7.0
13,0.0,0.65,0.35,commoncrawl,0.23375904335149167,3.0
13,0.0,0.65,0.35,github,-0.18952680010896153,5.0
13,0.0,0.65,0.35,stackexchange,0.09357876344789959,4.0
13,0.0,0.65,0.35,wikipedia,-0.41091247057982416,6.0
14,0.0,0.7,0.3,arxiv,2.5514891275474225,2.0
14,0.0,0.7,0.3,book,2.7664681739596944,1.0
14,0.0,0.7,0.3,c4,-0.47600720437130734,7.0
14,0.0,0.7,0.3,commoncrawl,0.2664128274810967,3.0
14,0.0,0.7,0.3,github,-0.15772977295416263,5.0
14,0.0,0.7,0.3,stackexchange,0.08066957671080394,4.0
14,0.0,0.7,0.3,wikipedia,-0.41070539728174504,6.0
15,0.0,0.75,0.25,arxiv,2.6191251723697473,2.0
15,0.0,0.75,0.25,book,2.9557038828544586,1.0
15,0.0,0.75,0.25,c4,-0.4758641857148435,7.0
15,0.0,0.75,0.25,commoncrawl,0.2966411520021052,3.0
15,0.0,0.75,0.25,github,-0.1263123934059739,5.0
15,0.0,0.75,0.25,stackexchange,0.06478502920731596,4.0
15,0.0,0.75,0.25,wikipedia,-0.4098152261225194,6.0
16,0.0,0.8,0.2,arxiv,2.6899891068905033,2.0
16,0.0,0.8,0.2,book,3.136745695681184,1.0
16,0.0,0.8,0.2,c4,-0.47949369877304626,7.0
16,0.0,0.8,0.2,commoncrawl,0.32527446604350174,3.0
16,0.0,0.8,0.2,github,-0.09185955768151785,5.0
16,0.0,0.8,0.2,stackexchange,0.05180626409011699,4.0
16,0.0,0.8,0.2,wikipedia,-0.40490268238973764,6.0
17,0.0,0.85,0.15,arxiv,2.7611389178066106,2.0
17,0.0,0.85,0.15,book,3.3175938048834688,1.0
17,0.0,0.85,0.15,c4,-0.486155497166915,7.0
17,0.0,0.85,0.15,commoncrawl,0.35254904225864936,3.0
17,0.0,0.85,0.15,github,-0.05649522579871959,5.0
17,0.0,0.85,0.15,stackexchange,0.03626394735302129,4.0
17,0.0,0.85,0.15,wikipedia,-0.40766837676499057,6.0
18,0.0,0.9,0.1,arxiv,2.8330241825316342,2.0
18,0.0,0.9,0.1,book,3.5136574687577933,1.0
18,0.0,0.9,0.1,c4,-0.492462963252116,7.0
18,0.0,0.9,0.1,commoncrawl,0.3836740783242533,3.0
18,0.0,0.9,0.1,github,-0.023738050377912545,5.0
18,0.0,0.9,0.1,stackexchange,0.01861872918784709,4.0
18,0.0,0.9,0.1,wikipedia,-0.40929890534243996,6.0
19,0.0,0.95,0.05,arxiv,2.9028347548673823,2.0
19,0.0,0.95,0.05,book,3.659908458744493,1.0
