quality_domain,rank_min,rank_max,rank_median,Q_raw_median_min,Q_raw_median_max,top2_share,bottom2_share
arxiv,1.0,2.0,2.0,0.7598906482580293,2.974102184915186,1.0,0.0
book,1.0,3.0,1.0,0.11493081807860428,3.855807427365475,0.9913419913419913,0.0
c4,4.0,7.0,6.0,-0.4969024678812394,0.07752875666623642,0.0,0.5411255411255411
commoncrawl,3.0,4.0,3.0,-0.08447662767097354,0.4415175956426949,0.0,0.0
github,4.0,7.0,7.0,-0.7046234662190674,0.043942775668296186,0.0,0.70995670995671
stackexchange,2.0,5.0,4.0,-0.016296318614496465,0.2937675767070721,0.008658008658008658,0.0
wikipedia,5.0,7.0,6.0,-0.417923335428098,-0.04801032848440892,0.0,0.7489177489177489
