_source_domain,Q_z,Q_z_domain_balanced,rank_primary,rank_domain_balanced,spearman_rank
arxiv,2.6825847228467357,1.3393711863653537,2.0,2.0,1.0
book,2.771089402271088,1.3992049685149668,1.0,1.0,1.0
c4,-0.21734541380716516,-0.6211329267980268,5.0,5.0,1.0
commoncrawl,0.5061489813900384,-0.13201295811098324,3.0,3.0,1.0
github,-0.5170697233047957,-0.8237622019512469,7.0,7.0,1.0
stackexchange,0.18741076603582613,-0.34749662591593183,4.0,4.0,1.0
wikipedia,-0.3759209796904164,-0.7283382850347062,6.0,6.0,1.0
