target,alpha,cv_rmse,intercept,arxiv,freelaw,nih_exporter,pubmed_central,wikipedia_en,dm_mathematics,github,philpapers,stackexchange,enron_emails,gutenberg_pg_19,pile_cc,ubuntu_irc,europarl,hackernews,pubmed_abstracts,uspto_backgrounds,test_1m_spearman,test_1m_pearson,test_60m_spearman,test_60m_pearson,test_1B_spearman,test_1B_pearson,est_10B_spearman,est_10B_pearson,est_70B_spearman,est_70B_pearson
arxiv,1.00000000000,0.721405062979,5.02795639733,-2.61274861654,1.17563988270,0.136751298213,-0.142839114290,0.678792146006,-0.159659733651,0.814613010316,-0.256722872188,-0.656665969123,0.0415492771981,0.153261729619,0.830601643142,-0.317280952934,-0.370598396987,0.0592823454915,0.100204158952,0.525820164078,0.744611181048,0.714450963419,0.762268968872,0.709178539321,0.864697802198,0.747822722375,0.670794930876,0.770091745014,0.631048387097,0.742069705970
freelaw,0.0100000000000,0.496775956277,4.55483724586,1.33222490229,-1.88620402002,-2.73131378459,1.24435330195,0.689912128096,0.703313941862,1.59996267314,-2.62829453052,1.56539919618,-3.08455683316,0.526975931192,0.501609640115,0.527780839048,0.302161343508,-1.00767398464,1.18927367066,1.15507558489,0.769681277180,0.759392652351,0.762547922866,0.752069488423,0.706684981685,0.623246047631,0.712557603687,0.794112766013,0.655913978495,0.760767556625
pubmed_central,0.100000000000,0.587254793353,4.80200396344,0.515798795741,1.24834165552,-1.34467682743,-1.93875231210,0.669746584062,0.499407787210,1.25576269665,-1.24879011030,0.865712156153,0.687854197265,0.689500687562,1.30546648298,-0.712608006016,-1.92249391821,-0.465435031026,-0.418003092028,0.313168253954,0.833141880293,0.776624832795,0.852278124285,0.783780565989,0.799587912088,0.734595943856,0.693932411674,0.748731066748,0.609158986175,0.686724291558
wikipedia_en,0.0100000000000,0.297832345200,5.41081636304,0.812971881716,0.746476925184,-0.786924378609,0.714587172065,-1.96753034870,0.895252886073,1.05978040094,-2.75831005446,0.822464769316,-1.09602108487,0.300858724060,-0.0616571799456,0.513978789323,-0.261506844595,-0.227963187633,0.631883660159,0.661657869975,0.878828822385,0.841758327882,0.880735008011,0.836229847715,0.791346153846,0.752739995696,0.412572306482,0.479774297474,0.340053763441,0.403849499227
dm_mathematics,0.0100000000000,1.21091361660,1.58664568920,3.31714860165,3.17123525647,-1.33343528367,3.11422922289,2.82097892031,-14.8552997911,3.08454061862,-6.01127860009,2.27232536852,-8.20970000916,2.05393602163,3.20936783867,0.101551370474,1.87289088696,-0.703142485878,3.11949898610,2.97515307761,0.767466811627,0.655563851795,0.752116474022,0.636903014219,0.686813186813,0.526223006722,0.641609062980,0.600827542609,0.612615207373,0.591780230668
github,0.0100000000000,0.720053617138,4.16065049549,1.99382887276,2.23231919664,-1.70502124234,2.27374512311,1.88881877741,1.10002071471,-1.43321671679,-5.02029772805,-0.126070779785,-5.89238683813,1.44832690097,1.78763169773,-1.26859719246,0.390689830066,-0.694388552809,1.21488102161,1.80971691535,0.838052901122,0.765396045533,0.840670061799,0.744344918227,0.672115384615,0.651008441754,0.607094854071,0.699540307059,0.507968509985,0.642465919323
stackexchange,0.100000000000,0.527110465605,4.83805340885,0.964547389939,1.26174373841,-0.895410684442,1.20904538156,0.920588256130,0.592131468808,-0.268356986564,-1.79727332978,-1.86106041004,-0.570002287585,0.689365284533,0.752173878492,-0.922711913590,-0.181118663575,-1.26879870337,0.523387578356,0.851750002720,0.826425526436,0.757675642617,0.825253919661,0.745104178969,0.771794871795,0.724848901709,0.536176749472,0.625700602928,0.426320400381,0.509192705164
gutenberg_pg_19,0.00100000000000,0.250130605118,4.89666116566,0.933961587353,0.444482628909,-0.332710992992,1.06488834494,0.399390345911,0.950862506475,1.11984250566,-1.23345354228,0.884067284226,-3.42654686604,-2.46893519324,0.121666617297,0.555284676479,0.291965488586,-1.11494124199,0.799110313442,1.01106553725,0.889404039826,0.823952096327,0.892902409018,0.837400317844,0.618177655678,0.686608233208,0.502448156682,0.579904134471,0.421466973886,0.510488886413
pile_cc,0.00100000000000,0.158277915110,5.31768869942,0.815263911951,0.574411010388,-0.708393125283,0.706031128062,0.0126960073863,0.695790212405,0.915158425035,-0.936626232246,0.566162174193,-2.84080206200,0.202346527494,-0.503443984627,-0.147313122862,0.236657654320,-0.715564505517,0.531387399130,0.596238582171,0.901931935225,0.879055855757,0.892968928817,0.868183518958,0.881089743590,0.719267815189,0.149913594470,0.324529264105,0.0911098310292,0.264137409526
ubuntu_irc,0.0100000000000,0.699211967952,4.21213716379,2.92465756875,3.16572833179,0.00575149077025,3.30612519167,2.98538782154,2.97133611326,2.71801055423,-6.04694033519,2.68105461157,-8.01298258835,2.45213612758,2.69080892553,-15.5202830622,-2.25896611556,0.195089650871,2.98865992170,2.75442579207,0.763263904784,0.759422041805,0.760374227512,0.744354711359,0.660989010989,0.646199129801,0.499807987711,0.507077310935,0.391901784564,0.415492363290
