scale,n_targets,spearman_mean,spearman_median,spearman_min,spearman_max,spearman_q25,spearman_q75
1M,13,0.833178909097,0.838052901122,0.744611181048,0.922662508583,0.769681277180,0.878828822385
60M,13,0.831676519006,0.838115129320,0.752116474022,0.920164082170,0.762547922866,0.880735008011
1B,13,0.724693575655,0.706684981685,0.569093406593,0.881089743590,0.660989010989,0.791346153846
