,arxiv,freelaw,nih_exporter,pubmed_central,wikipedia_en,dm_mathematics,github,philpapers,stackexchange,enron_emails,gutenberg_pg_19,pile_cc,ubuntu_irc,europarl,hackernews,pubmed_abstracts,uspto_backgrounds
arxiv,0.0,-0.4441037436837156,0.0367532631202349,-0.3327171393121854,-0.7691841379256849,0.2236974986473886,-0.528869021217457,0.773015605876759,-0.6003584593633953,0.799763056198262,-0.0682068753734344,-0.4006299731068348,0.3526864829342284,-0.0551834711572608,0.3662836226827819,-0.5084585331930476,-0.5992303389884344
freelaw,0.4441037436837156,0.0,0.4808570068039505,0.1113866043715302,-0.3250803942419693,0.6678012423311042,-0.0847652775337414,1.2171193495604746,-0.1562547156796797,1.2438667998819777,0.3758968683102812,0.0434737705768807,0.7967902266179441,0.3889202725264547,0.8103873663664976,-0.0643547895093319,-0.1551265953047187
nih_exporter,-0.0367532631202349,-0.4808570068039505,0.0,-0.3694704024324203,-0.8059374010459197,0.1869442355271537,-0.5656222843376919,0.736262342756524,-0.6371117224836302,0.7630097930780271,-0.1049601384936693,-0.4373832362270697,0.3159332198139935,-0.0919367342774957,0.329530359562547,-0.5452117963132825,-0.6359836021086692
pubmed_central,0.3327171393121854,-0.1113866043715302,0.3694704024324203,0.0,-0.4364669986134994,0.556414637959574,-0.1961518819052716,1.1057327451889445,-0.2676413200512099,1.1324801955104475,0.264510263938751,-0.0679128337946494,0.6854036222464138,0.2775336681549245,0.6990007619949673,-0.1757413938808621,-0.2665131996762489
wikipedia_en,0.7691841379256849,0.3250803942419693,0.8059374010459197,0.4364669986134994,0.0,0.9928816365730736,0.2403151167082278,1.5421997438024435,0.1688256785622895,1.5689471941239468,0.7009772625522505,0.36855416481885,1.1218706208599132,0.714000666768424,1.1354677606084669,0.2607256047326373,0.1699537989372505
dm_mathematics,-0.2236974986473886,-0.6678012423311042,-0.1869442355271537,-0.556414637959574,-0.9928816365730736,0.0,-0.7525665198648457,0.5493181072293704,-0.8240559580107839,0.5760655575508734,-0.291904374020823,-0.6243274717542234,0.1289889842868398,-0.2788809698046495,0.1425861240353932,-0.7321560318404362,-0.8229278376358229
github,0.528869021217457,0.0847652775337414,0.5656222843376919,0.1961518819052716,-0.2403151167082278,0.7525665198648457,0.0,1.301884627094216,-0.0714894381459382,1.328632077415719,0.4606621458440226,0.1282390481106222,0.8815555041516855,0.4736855500601962,0.895152643900239,0.0204104880244094,-0.0703613177709772
philpapers,-0.773015605876759,-1.2171193495604746,-0.736262342756524,-1.1057327451889445,-1.5421997438024435,-0.5493181072293704,-1.301884627094216,0.0,-1.3733740652401545,0.026747450321503,-0.8412224812501934,-1.1736455789835938,-0.4203291229425305,-0.8281990770340198,-0.4067319831939771,-1.2814741390698066,-1.3722459448651934
stackexchange,0.6003584593633953,0.1562547156796797,0.6371117224836302,0.2676413200512099,-0.1688256785622895,0.8240559580107839,0.0714894381459382,1.3733740652401545,0.0,1.400121515561657,0.5321515839899609,0.1997284862565604,0.9530449422976236,0.5451749882061344,0.9666420820461772,0.0918999261703477,0.0011281203749609
enron_emails,-0.799763056198262,-1.2438667998819777,-0.7630097930780271,-1.1324801955104475,-1.5689471941239468,-0.5760655575508734,-1.328632077415719,-0.026747450321503,-1.400121515561657,0.0,-0.8679699315716964,-1.2003930293050968,-0.4470765732640336,-0.8549465273555229,-0.4334794335154801,-1.3082215893913096,-1.3989933951866964
gutenberg_pg_19,0.0682068753734344,-0.3758968683102812,0.1049601384936693,-0.264510263938751,-0.7009772625522505,0.291904374020823,-0.4606621458440226,0.8412224812501934,-0.5321515839899609,0.8679699315716964,0.0,-0.3324230977334004,0.4208933583076628,0.0130234042161735,0.4344904980562163,-0.4402516578196132,-0.531023463615
pile_cc,0.4006299731068348,-0.0434737705768807,0.4373832362270697,0.0679128337946494,-0.36855416481885,0.6243274717542234,-0.1282390481106222,1.1736455789835938,-0.1997284862565604,1.2003930293050968,0.3324230977334004,0.0,0.7533164560410632,0.3454465019495739,0.7669135957896167,-0.1078285600862127,-0.1986003658815995
