observed,predicted,residual
4.7388,4.738637013477364,-0.00016298652263646574
4.3541,4.35474932446177,0.0006493244617704619
4.0384,4.037789056514939,-0.0006109434850616324
3.7776,3.777494217284622,-0.00010578271537786677
3.5698,3.5698591493200267,5.914932002681894e-05
3.3922,3.3920826225930867,-0.00011737740691319942
3.3024,3.3030019938207213,0.0006019938207213471
3.2452,3.245633739540419,0.00043373954041880936
3.2041,3.20423212203136,0.00013212203135992695
3.172,3.1722715031473747,0.00027150314737456327
3.1466,3.1464924694566445,-0.00010753054335532752
3.1248,3.125042980208022,0.00024298020802193676
3.1064,3.106777102412373,0.00037710241237309816
3.0913,3.0909330412500147,-0.0003669587499852689
3.077,3.0770042808931506,4.280893150632181e-06
3.0646,3.064608600554938,8.600554938009708e-06
3.0531,3.0534691195463974,0.0003691195463972896
3.0432,3.043375637387631,0.00017563738763071157
3.0342,3.034165107341472,-3.489265852785195e-05
3.0254,3.025708713924269,0.0003087139242690107
3.018,3.0178994761515794,-0.00010052384842040851
3.0105,3.010660651211079,0.00016065121107899927
3.0039,3.003919037400399,1.903740039921331e-05
2.9975,2.9976168891002235,0.00011688910022344956
2.9921,2.991705642440372,-0.00039435755962813346
2.9861,2.9861440981063456,4.4098106345646926e-05
2.9807,2.9808970282645246,0.0001970282645245014
2.9761,2.975931791615718,-0.00016820838428222018
2.971,2.9712268137737032,0.00022681377370314948
2.9668,2.9667567312626093,-4.326873739080028e-05
2.9621,2.9625014369437634,0.00040143694376348904
2.9582,2.958443210380559,0.00024321038055896693
2.9546,2.9545663610492183,-3.3638950781789134e-05
2.951,2.9508552041141236,-0.00014479588587645864
2.9473,2.9473008129750995,8.129750996843654e-07
2.9439,2.943890212546516,-9.787453484122466e-06
2.9406,2.940613357891176,1.3357891176291048e-05
2.9372,2.9374611836171094,0.0002611836171095838
2.9343,2.9344254828253717,0.00012548282537183653
2.9314,2.9314988039957264,9.880399572637089e-05
2.9289,2.9286730392204015,-0.00022696077959860617
2.926,2.92594468680179,-5.531319821017178e-05
2.923,2.92330670885027,0.00030670885027017647
2.9208,2.9207539071807274,-4.609281927248077e-05
2.9182,2.9182815031719063,8.150317190613876e-05
2.9158,2.9158850946368875,8.509463688755048e-05
2.9137,2.9135595261078504,-0.00014047389214955075
2.9115,2.9113032549873203,-0.00019674501267985534
2.9093,2.9091116741246026,-0.00018832587539741041
2.9068,2.906981551913321,0.0001815519133208099
2.9049,2.9049098840170995,9.884017099448528e-06
2.903,2.9028938729504503,-0.00010612704954970908
2.9011,2.900930909876393,-0.00016909012360688536
2.8989,2.899017658098902,0.00011765809890240675
2.8971,2.8971536619871268,5.366198712675185e-05
2.8951,2.8953358638760642,0.00023586387606444603
2.8933,2.8935622628805233,0.000262262880523334
2.892,2.8918309804649147,-0.00016901953508519085
2.8904,2.8901402508593375,-0.000259749140662624
2.8885,2.8884876336949157,-1.2366305084388074e-05
2.8871,2.8868731383396593,-0.0002268616603409157
2.8854,2.8852944916061753,-0.00010550839382483801
2.8836,2.8837502997382005,0.00015029973820057663
2.8823,2.882239245629124,-6.075437087593727e-05
2.8811,2.88076008341205,-0.00033991658794985113
2.8793,2.8793116335132756,1.1633513275377538e-05
2.8782,2.877892108399619,-0.00030789160038091623
2.876,2.8765018006800513,0.0005018006800514563
2.8753,2.8751390203959835,-0.00016097960401673106
2.8738,2.873802811453529,2.8114535286505316e-06
2.8724,2.872492264815363,9.226481536295239e-05
2.8712,2.871206515523233,6.515523232941689e-06
2.8696,2.869944739949504,0.00034473994950401377
2.8687,2.8687055680213756,5.568021375523813e-06
2.8676,2.867489432341756,-0.00011056765824379866
2.8666,2.866295022680569,-0.00030497731943102124
2.865,2.8651216571638782,0.0001216571638780195
2.8638,2.8639686842874363,0.00016868428743643804
2.8628,2.862835481175291,3.548117529117434e-05
2.8619,2.8617209251931337,-0.00017907480686618626
2.8607,2.8606255082466303,-7.449175336970981e-05
2.8595,2.85954814830193,4.814830192989561e-05
2.8586,2.858488321880085,-0.00011167811991485976
2.8575,2.857445527060454,-5.447293954574661e-05
2.8566,2.856419282336536,-0.0001807176634636143
2.8553,2.8554091255458047,0.00010912554580455591
2.8544,2.8544141422763336,1.414227633356191e-05
2.8534,2.8534348544523787,3.48544523784966e-05
2.8522,2.8524703742397586,0.00027037423975873054
2.8516,2.85152030745051,-7.969254948969606e-05
2.8506,2.850584274818733,-1.5725181266912358e-05
2.8497,2.849661911271891,-3.808872810884267e-05
2.8487,2.848752434869692,5.2434869691975194e-05
2.8476,2.8478563737728817,0.00025637377288179053
2.8469,2.8469729648968416,7.296489684138763e-05
2.8461,2.8461018934848843,1.8934848844409657e-06
2.8451,2.845242855923734,0.0001428559237339755
2.8444,2.8443955592342265,-4.440765773328081e-06
2.8436,2.843559720590419,-4.027940958106768e-05
2.8431,2.842734676237035,-0.000365323762965275
2.842,2.841920948719232,-7.90512807680166e-05
2.8412,2.8411178871481875,-8.2112851812699e-05
2.8403,2.8403252450117433,2.5245011743280088e-05
2.8392,2.839542783911923,0.0003427839119232168
