scope,domain,n,Q_median,D_median,D_mean
A1,arxiv,1419,2.6886935343361333,2.2916522321933743,2.3144585964785787
A1,book,171,2.9183127695669935,2.579871870005789,2.6064259523531983
A1,c4,10000,-0.30398246745883717,1.9030944123283902,1.746297865334768
A1,commoncrawl,9640,0.43672408224617987,1.5120396925459998,1.4346202646353137
A1,github,10000,-0.48535057808024096,1.9990023006635602,2.074169483615029
A1,stackexchange,10000,0.25167008153856363,1.2016626861616406,1.3179995361401764
A1,wikipedia,10000,-0.2944371095837085,1.4710355116151774,1.4760651980807444
arxiv_nonoverlap,arxiv,16104,2.7278653502993055,2.3322320144404225,2.354026783886083
github_nonoverlap,github,193752,-0.5062983708319364,2.0029482412346145,2.0758302499539383
