scope,metric_a,metric_b,n,rho,p,q_bh,significant_negative,n_domain_negative,n_domain_significant_negative,n_domain_valid,arxiv_rho,arxiv_q,arxiv_replicated,github_rho,github_q,github_replicated,replicated,stable_conflict,cause_pattern
A1_pooled,fluency_en,ad_en,51230,0.1702965215759609,0.0,0.0,False,0,0,7,0.20175817813002872,4.367150860229376e-147,False,0.373323693735088,0.0,False,False,False,pooled_only
A1_pooled,fluency_en,rps_doc_word_count,51230,0.19845051854345128,0.0,0.0,False,2,1,7,0.042529181663064484,8.365646877876538e-08,False,0.14614931163700376,0.0,False,False,False,domain_specific
A1_pooled,fluency_en,rps_doc_num_sentences,51230,-0.012546743742168088,0.004513077319319454,0.004760369227227369,True,4,3,7,0.006041173707414298,0.45718432239622503,False,0.04146525879992527,1.8557801128404272e-74,False,False,False,domain_specific
A1_pooled,fluency_en,rps_doc_unigram_entropy,51230,0.19805935568101507,0.0,0.0,False,5,3,7,-0.05325462169785904,1.8022640942630025e-11,True,0.09535964931606722,0.0,False,True,False,domain_specific
A1_pooled,fluency_en,rps_doc_frac_unique_words,51230,0.14843871868806952,3.3678413402908184e-250,4.955231526160377e-250,False,3,2,7,0.07073089205276807,3.7108026524772364e-19,False,0.22657857652463445,0.0,False,False,False,domain_specific
A1_pooled,fluency_en,rps_doc_frac_no_alph_words,51230,0.4716483184688636,0.0,0.0,False,1,1,7,0.11458957324694888,6.239582366495533e-48,False,-0.06381799063171778,6.390411444528487e-174,True,True,False,domain_specific
A1_pooled,fluency_en,rps_doc_frac_chars_top_2gram,51230,0.006670191346910204,0.1311163979111974,0.13342681901976475,False,6,6,7,-0.11309695900773567,9.867680018043405e-47,True,-0.12510466278104382,0.0,True,True,False,multi_domain
A1_pooled,fluency_en,rps_doc_frac_chars_top_3gram,51230,0.022910625018735576,2.1467976701246482e-07,2.384183950955739e-07,False,4,1,7,0.025583353766872208,0.001308529784349196,False,0.1395567056433113,0.0,False,False,False,domain_specific
A1_pooled,fluency_en,rps_lines_uppercase_letter_fraction,51230,-0.3232902807436453,0.0,0.0,True,5,3,7,-0.062282981922949544,3.514358129920549e-15,True,-0.03183170709265699,1.3328384019563922e-44,True,True,True,domain_specific
A1_pooled,fluency_en,rps_lines_ending_with_terminal_punctution_mark,51230,0.3753816004690374,0.0,0.0,False,4,1,6,-0.04471369093844776,1.7340201930963248e-08,True,-0.07187559667960335,3.555236119791448e-220,True,True,False,domain_specific
A1_pooled,fluency_en,rps_lines_numerical_chars_fraction,51230,-0.047077724405553585,1.5451600205033988e-26,1.8398554883313668e-26,True,7,5,7,-0.06239196749521164,3.162328836808834e-15,True,-0.13193780466756483,0.0,True,True,True,multi_domain
A1_pooled,fluency_en,rps_doc_mean_word_length,51230,0.3914142589096491,0.0,0.0,False,2,2,7,0.14786969605057956,4.5790917804246227e-79,False,0.08892716064796377,0.0,False,False,False,domain_specific
A1_pooled,modernbert_cleanliness,modernbert_readability,51230,0.6491633483157395,0.0,0.0,False,0,0,7,0.113708873361336,3.1898280698505845e-47,False,0.6262523995979589,0.0,False,False,False,pooled_only
A1_pooled,modernbert_cleanliness,modernbert_reasoning,51217,0.4890722754412183,0.0,0.0,False,0,0,7,0.14774697245882806,6.120421887653503e-79,False,0.26367985638067315,0.0,False,False,False,pooled_only
A1_pooled,modernbert_cleanliness,modernbert_professionalism,51225,-0.060875881622764895,2.9091446234044158e-43,3.555621206383175e-43,True,0,0,7,0.37445397074762443,0.0,False,-0.003892524157592807,0.08817054535647097,False,False,False,pooled_only
A1_pooled,modernbert_cleanliness,dsir_books,51230,0.1922944727821222,0.0,0.0,False,3,1,7,-0.03299780777700475,3.329560120872885e-05,True,-0.23943252617180102,0.0,True,True,False,domain_specific
A1_pooled,modernbert_cleanliness,dsir_wiki,51230,0.19573307093402698,0.0,0.0,False,3,1,7,-0.031178167252429508,8.802327384975652e-05,True,-0.23866417078887756,0.0,True,True,False,domain_specific
A1_pooled,modernbert_cleanliness,dsir_math,51230,0.21157555056598687,0.0,0.0,False,3,1,7,-0.059205358737724416,7.441376831724875e-14,True,-0.23916853287237924,0.0,True,True,False,domain_specific
A1_pooled,modernbert_cleanliness,qurater,51230,0.5597518524424455,0.0,0.0,False,0,0,7,0.23048081551621954,1.2750846872716152e-192,False,0.6057867533935161,0.0,False,False,False,pooled_only
A1_pooled,modernbert_cleanliness,ad_en,51230,0.06128629650944891,7.888771521753538e-44,9.693118199601423e-44,False,1,1,7,0.24277402816647337,3.5710041920340977e-214,False,0.14206548070778918,0.0,False,False,False,domain_specific
A1_pooled,modernbert_cleanliness,rps_doc_word_count,51230,0.40516924352994893,0.0,0.0,False,3,2,7,-0.14273183624723976,9.846165984615326e-74,True,-0.075584938702677,2.559524256329653e-243,True,True,False,domain_specific
A1_pooled,modernbert_cleanliness,rps_doc_num_sentences,51230,0.18738907714750308,0.0,0.0,False,3,2,7,-0.21740364386090094,4.47122520331295e-171,True,-0.12970753273074842,0.0,True,True,False,domain_specific
A1_pooled,modernbert_cleanliness,rps_doc_unigram_entropy,51230,0.44436679012327507,0.0,0.0,False,2,2,7,-0.14948976455225074,8.745287009199136e-81,True,-0.03220682005420662,1.2943145628007665e-45,True,True,False,domain_specific
A1_pooled,modernbert_cleanliness,rps_doc_frac_unique_words,51230,0.25684404188174353,0.0,0.0,False,3,2,7,-0.11951083276494855,5.182968682923645e-52,True,-0.07198520727969361,7.682643154101803e-221,True,True,False,domain_specific
A1_pooled,modernbert_cleanliness,rps_doc_frac_no_alph_words,51230,0.31933644849991283,0.0,0.0,False,2,2,7,-0.09909872041061248,3.305950322124109e-36,True,0.22338830355739142,0.0,False,True,False,domain_specific
A1_pooled,modernbert_cleanliness,rps_doc_frac_chars_top_2gram,51230,0.12395721798269041,1.5910694196363378e-174,2.227497187490873e-174,False,3,1,7,-0.04901370905028889,6.322672262108652e-10,True,-0.017122305972267854,4.948888275858354e-14,True,True,False,domain_specific
A1_pooled,modernbert_cleanliness,rps_doc_frac_chars_top_3gram,51230,-0.036035380246888016,3.3860796897027636e-16,3.8914647180166085e-16,True,6,5,7,0.06508607438887463,1.9362484586850476e-16,False,-0.021384153778210374,4.959847112891359e-21,True,True,True,multi_domain
A1_pooled,modernbert_cleanliness,rps_lines_uppercase_letter_fraction,51230,-0.15131352048111024,5.1624795605054726e-260,7.693759861140414e-260,True,4,4,7,-0.06223227603801767,3.679369569810543e-15,True,0.28229821030820323,0.0,False,True,True,multi_domain
A1_pooled,modernbert_cleanliness,rps_lines_ending_with_terminal_punctution_mark,51230,0.42453247768613483,0.0,0.0,False,2,2,6,-0.12121600981312257,1.8340318497546619e-53,True,0.3217226747326086,0.0,False,True,False,domain_specific
A1_pooled,modernbert_cleanliness,rps_lines_numerical_chars_fraction,51230,0.06716918321875745,2.6084224049412945e-52,3.2747042148991255e-52,False,5,4,7,-0.11430447353764321,1.0566051428775884e-47,True,-0.1652390178419144,0.0,True,True,False,multi_domain
