scope,metric_a,metric_b,n,rho,p,q_bh,significant_negative
A1_pooled,modernbert_cleanliness,rps_lines_numerical_chars_fraction,51230,0.06716918321875745,2.6084224049412945e-52,3.2747042148991255e-52,False
A1_pooled,modernbert_cleanliness,rps_doc_mean_word_length,51230,0.4252959790616429,0.0,0.0,False
A1_pooled,modernbert_readability,modernbert_reasoning,51217,0.30070852124820496,0.0,0.0,False
A1_pooled,modernbert_readability,modernbert_professionalism,51225,-0.12000474094046815,1.3180533320194586e-163,1.8123233315267555e-163,True
A1_pooled,modernbert_readability,dsir_books,51230,0.28674046240051654,0.0,0.0,False
A1_pooled,modernbert_readability,dsir_wiki,51230,0.279286875843115,0.0,0.0,False
A1_pooled,modernbert_readability,dsir_math,51230,0.3087480186114628,0.0,0.0,False
A1_pooled,modernbert_readability,qurater,51230,0.5998698056496596,0.0,0.0,False
A1_pooled,modernbert_readability,ad_en,51230,-0.019886954064545326,6.745732070304331e-06,7.455809130336365e-06,True
A1_pooled,modernbert_readability,rps_doc_word_count,51230,0.471110442308213,0.0,0.0,False
A1_pooled,modernbert_readability,rps_doc_num_sentences,51230,0.24620587535111663,0.0,0.0,False
A1_pooled,modernbert_readability,rps_doc_unigram_entropy,51230,0.482650068724424,0.0,0.0,False
A1_pooled,modernbert_readability,rps_doc_frac_unique_words,51230,0.33601368160042205,0.0,0.0,False
A1_pooled,modernbert_readability,rps_doc_frac_no_alph_words,51230,0.3786509524257635,0.0,0.0,False
A1_pooled,modernbert_readability,rps_doc_frac_chars_top_2gram,51230,0.09576422644878226,1.1978382876523436e-104,1.5811465397010936e-104,False
A1_pooled,modernbert_readability,rps_doc_frac_chars_top_3gram,51230,0.013046969099365247,0.003145893299747983,0.0033334924414760735,False
A1_pooled,modernbert_readability,rps_lines_uppercase_letter_fraction,51230,-0.17580179572390672,0.0,0.0,True
A1_pooled,modernbert_readability,rps_lines_ending_with_terminal_punctution_mark,51230,0.21175139300015225,0.0,0.0,False
A1_pooled,modernbert_readability,rps_lines_numerical_chars_fraction,51230,0.19952627375818818,0.0,0.0,False
A1_pooled,modernbert_readability,rps_doc_mean_word_length,51230,0.2675209162497883,0.0,0.0,False
A1_pooled,modernbert_reasoning,modernbert_professionalism,51212,0.5245716638356553,0.0,0.0,False
A1_pooled,modernbert_reasoning,dsir_books,51217,0.5525352495349414,0.0,0.0,False
A1_pooled,modernbert_reasoning,dsir_wiki,51217,0.5623352672709813,0.0,0.0,False
A1_pooled,modernbert_reasoning,dsir_math,51217,0.5444503933110943,0.0,0.0,False
A1_pooled,modernbert_reasoning,qurater,51217,0.4968282123178216,0.0,0.0,False
A1_pooled,modernbert_reasoning,ad_en,51217,0.023776172479249312,7.388571717122608e-08,8.245217713310736e-08,False
A1_pooled,modernbert_reasoning,rps_doc_word_count,51217,0.5885860158675784,0.0,0.0,False
A1_pooled,modernbert_reasoning,rps_doc_num_sentences,51217,0.5369044740061075,0.0,0.0,False
A1_pooled,modernbert_reasoning,rps_doc_unigram_entropy,51217,0.5701856998384469,0.0,0.0,False
A1_pooled,modernbert_reasoning,rps_doc_frac_unique_words,51217,0.5283348293764374,0.0,0.0,False
A1_pooled,modernbert_reasoning,rps_doc_frac_no_alph_words,51217,-0.0437205131981595,4.206403600559224e-23,4.907470867319095e-23,True
A1_pooled,modernbert_reasoning,rps_doc_frac_chars_top_2gram,51217,0.21941036429030436,0.0,0.0,False
A1_pooled,modernbert_reasoning,rps_doc_frac_chars_top_3gram,51217,0.017595214836130964,6.827608789979311e-05,7.439517124930286e-05,False
A1_pooled,modernbert_reasoning,rps_lines_uppercase_letter_fraction,51217,0.00038562512537465923,0.9304574056580884,0.9304574056580884,False
A1_pooled,modernbert_reasoning,rps_lines_ending_with_terminal_punctution_mark,51217,0.0004812697548155208,0.9132704328073122,0.917241173819518,False
A1_pooled,modernbert_reasoning,rps_lines_numerical_chars_fraction,51217,0.09363319143913015,4.4001683576445775e-100,5.742592602349703e-100,False
A1_pooled,modernbert_reasoning,rps_doc_mean_word_length,51217,0.15885297282416905,1.2857610273438314e-286,1.9800719821095005e-286,False
A1_pooled,modernbert_professionalism,dsir_books,51225,0.47963960249677345,0.0,0.0,False
A1_pooled,modernbert_professionalism,dsir_wiki,51225,0.478329927585662,0.0,0.0,False
A1_pooled,modernbert_professionalism,dsir_math,51225,0.43571482183007904,0.0,0.0,False
A1_pooled,modernbert_professionalism,qurater,51225,0.2299945517716901,0.0,0.0,False
A1_pooled,modernbert_professionalism,ad_en,51225,0.1661534145089656,0.0,0.0,False
A1_pooled,modernbert_professionalism,rps_doc_word_count,51225,0.20641451893364365,0.0,0.0,False
A1_pooled,modernbert_professionalism,rps_doc_num_sentences,51225,0.4352372463503578,0.0,0.0,False
A1_pooled,modernbert_professionalism,rps_doc_unigram_entropy,51225,0.12682882340413415,1.1758373527473769e-182,1.6663707268996567e-182,False
A1_pooled,modernbert_professionalism,rps_doc_frac_unique_words,51225,0.3243693647466494,0.0,0.0,False
A1_pooled,modernbert_professionalism,rps_doc_frac_no_alph_words,51225,-0.48434832579038756,0.0,0.0,True
A1_pooled,modernbert_professionalism,rps_doc_frac_chars_top_2gram,51225,0.15526417730104528,8.525341194570422e-274,1.3042078251296473e-273,False
A1_pooled,modernbert_professionalism,rps_doc_frac_chars_top_3gram,51225,-0.00877589002361385,0.04700759687803227,0.04847658428047078,True
A1_pooled,modernbert_professionalism,rps_lines_uppercase_letter_fraction,51225,0.25644427622905624,0.0,0.0,False
A1_pooled,modernbert_professionalism,rps_lines_ending_with_terminal_punctution_mark,51225,-0.5191423838185976,0.0,0.0,True
A1_pooled,modernbert_professionalism,rps_lines_numerical_chars_fraction,51225,0.010754857912037112,0.014926742160507817,0.01567307926853321,False
A1_pooled,modernbert_professionalism,rps_doc_mean_word_length,51225,-0.4994398262423047,0.0,0.0,True
A1_pooled,dsir_books,dsir_wiki,51230,0.9990023510169438,0.0,0.0,False
A1_pooled,dsir_books,dsir_math,51230,0.9969390611566802,0.0,0.0,False
A1_pooled,dsir_books,qurater,51230,0.25602659841392184,0.0,0.0,False
A1_pooled,dsir_books,ad_en,51230,-0.16047012495318655,1.3737846449040839e-292,2.144217925492185e-292,True
A1_pooled,dsir_books,rps_doc_word_count,51230,0.8894306212608227,0.0,0.0,False
A1_pooled,dsir_books,rps_doc_num_sentences,51230,0.8926110562068038,0.0,0.0,False
A1_pooled,dsir_books,rps_doc_unigram_entropy,51230,0.8045742287371224,0.0,0.0,False
A1_pooled,dsir_books,rps_doc_frac_unique_words,51230,0.8183966487385943,0.0,0.0,False
A1_pooled,dsir_books,rps_doc_frac_no_alph_words,51230,-0.18109259356408713,0.0,0.0,True
A1_pooled,dsir_books,rps_doc_frac_chars_top_2gram,51230,0.2882677139169582,0.0,0.0,False
A1_pooled,dsir_books,rps_doc_frac_chars_top_3gram,51230,0.028546087599875338,1.0312781439217945e-10,1.1620743963216319e-10,False
A1_pooled,dsir_books,rps_lines_uppercase_letter_fraction,51230,-0.1250993534218265,9.628851599773807e-178,1.3562589753339935e-177,True
A1_pooled,dsir_books,rps_lines_ending_with_terminal_punctution_mark,51230,-0.2628555460997197,0.0,0.0,True
