domain,rank_min,rank_max,rank_median,Q_median_min,Q_median_max,n_A1
arxiv,2,2,2.0,2.712768617790758,2.712768617790758,1419
book,1,1,1.0,2.9879670704504906,2.9879670704504906,171
c4,5,5,5.0,-0.29590092032712717,-0.29590092032712717,10000
commoncrawl,3,3,3.0,0.42585338816519613,0.42585338816519613,9640
github,7,7,7.0,-0.5068606203647346,-0.5068606203647346,10000
stackexchange,4,4,4.0,0.26201177345066695,0.26201177345066695,10000
wikipedia,6,6,6.0,-0.30821765824042896,-0.30821765824042896,10000
