rep,metric,orientation,global_rho
5,rps_doc_frac_chars_top_3gram,1,0.04149325715270871
5,rps_lines_uppercase_letter_fraction,1,0.0268693981182404
5,rps_lines_ending_with_terminal_punctution_mark,1,0.054981650947960974
5,rps_lines_numerical_chars_fraction,1,0.09491312277815488
5,rps_doc_mean_word_length,-1,-0.20315323133066215
6,fineweb_edu,1,
6,fluency_en,1,
6,modernbert_cleanliness,1,
6,modernbert_readability,1,
6,modernbert_reasoning,1,
6,modernbert_professionalism,1,
6,dsir_books,-1,-0.30046613573152986
6,dsir_wiki,-1,-0.3010494554239429
6,dsir_math,-1,-0.2962870727769771
6,qurater,1,
6,ad_en,1,
6,rps_doc_word_count,1,0.382386216284564
6,rps_doc_num_sentences,1,0.2770559623174539
6,rps_doc_unigram_entropy,1,0.35214960181628086
6,rps_doc_frac_unique_words,-1,-0.37478617941970016
6,rps_doc_frac_no_alph_words,-1,-0.10637952936807207
6,rps_doc_frac_chars_top_2gram,-1,-0.09896847791921941
6,rps_doc_frac_chars_top_3gram,1,0.04481380847565343
6,rps_lines_uppercase_letter_fraction,1,0.036216393905703824
6,rps_lines_ending_with_terminal_punctution_mark,1,0.054425396091181966
6,rps_lines_numerical_chars_fraction,1,0.10228310029778186
6,rps_doc_mean_word_length,-1,-0.19472171794421772
7,fineweb_edu,1,
7,fluency_en,1,
7,modernbert_cleanliness,1,
7,modernbert_readability,1,
7,modernbert_reasoning,1,
7,modernbert_professionalism,1,
7,dsir_books,-1,-0.30132000159304306
7,dsir_wiki,-1,-0.30237604553218483
7,dsir_math,-1,-0.2978087830013247
7,qurater,1,
7,ad_en,1,
7,rps_doc_word_count,1,0.3861243880995984
7,rps_doc_num_sentences,1,0.28164955930810676
7,rps_doc_unigram_entropy,1,0.3566028505560225
7,rps_doc_frac_unique_words,-1,-0.3810241621662738
7,rps_doc_frac_no_alph_words,-1,-0.10935327608456319
7,rps_doc_frac_chars_top_2gram,-1,-0.08538608477861716
7,rps_doc_frac_chars_top_3gram,1,0.045212885646546935
7,rps_lines_uppercase_letter_fraction,1,0.020829279105546005
7,rps_lines_ending_with_terminal_punctution_mark,1,0.0592878955785154
7,rps_lines_numerical_chars_fraction,1,0.10453341898542526
7,rps_doc_mean_word_length,-1,-0.20618282592998768
8,fineweb_edu,1,
8,fluency_en,1,
8,modernbert_cleanliness,1,
8,modernbert_readability,1,
8,modernbert_reasoning,1,
8,modernbert_professionalism,1,
8,dsir_books,-1,-0.3037221985109205
8,dsir_wiki,-1,-0.30458358927006723
8,dsir_math,-1,-0.29995183164080563
8,qurater,1,
8,ad_en,1,
8,rps_doc_word_count,1,0.3844642992459528
8,rps_doc_num_sentences,1,0.2786865220662354
8,rps_doc_unigram_entropy,1,0.3538851653423505
8,rps_doc_frac_unique_words,-1,-0.3786623988926697
8,rps_doc_frac_no_alph_words,-1,-0.10453150981104338
8,rps_doc_frac_chars_top_2gram,-1,-0.09397821874854971
8,rps_doc_frac_chars_top_3gram,1,0.040832277362492585
8,rps_lines_uppercase_letter_fraction,1,0.03400636353054892
8,rps_lines_ending_with_terminal_punctution_mark,1,0.05050374082070774
8,rps_lines_numerical_chars_fraction,1,0.1022748900503636
8,rps_doc_mean_word_length,-1,-0.1994019683081903
9,fineweb_edu,1,
9,fluency_en,1,
9,modernbert_cleanliness,1,
9,modernbert_readability,1,
9,modernbert_reasoning,1,
9,modernbert_professionalism,1,
9,dsir_books,-1,-0.3088086050265899
9,dsir_wiki,-1,-0.3092864956176772
9,dsir_math,-1,-0.30568777991195806
9,qurater,1,
9,ad_en,1,
9,rps_doc_word_count,1,0.3913059261531862
9,rps_doc_num_sentences,1,0.28663341211268334
9,rps_doc_unigram_entropy,1,0.3587090294366356
9,rps_doc_frac_unique_words,-1,-0.38836680478284125
9,rps_doc_frac_no_alph_words,-1,-0.1074479840653018
9,rps_doc_frac_chars_top_2gram,-1,-0.08994594988921252
9,rps_doc_frac_chars_top_3gram,1,0.05273573914049282
9,rps_lines_uppercase_letter_fraction,1,0.037279470258937505
9,rps_lines_ending_with_terminal_punctution_mark,1,0.06087124882128717
9,rps_lines_numerical_chars_fraction,1,0.10222338253191483
9,rps_doc_mean_word_length,-1,-0.19823288429414576
