type,origin,test_start,test_end,q90_model,tail_window_months,q90_prediction,tail_gap,prior_historical_record,persistence_prediction,tail_gap_prediction,actual_cumulative_record,target_definition
non_pretrained,2024-09-30,2024-10-01,2024-11-30,quantile_resource,1,37.84835548830274,20.135187240419377,51.23132307602695,51.23132307602695,57.983542728722114,51.23132307602695,cumulative_best_score_by_target_date
non_pretrained,2024-09-30,2024-10-01,2024-11-30,quantile_resource,2,37.84835548830274,16.660937459607432,51.23132307602695,51.23132307602695,54.50929294791017,51.23132307602695,cumulative_best_score_by_target_date
non_pretrained,2024-09-30,2024-10-01,2024-11-30,quantile_resource,3,37.84835548830274,18.495343599892195,51.23132307602695,51.23132307602695,56.34369908819493,51.23132307602695,cumulative_best_score_by_target_date
non_pretrained,2024-10-30,2024-11-01,2024-12-31,quantile_resource,1,36.36213297692283,12.69561912814406,51.23132307602695,51.23132307602695,51.23132307602695,51.23132307602695,cumulative_best_score_by_target_date
non_pretrained,2024-10-30,2024-11-01,2024-12-31,quantile_resource,2,36.36213297692283,17.96289099010903,51.23132307602695,51.23132307602695,54.32502396703186,51.23132307602695,cumulative_best_score_by_target_date
non_pretrained,2024-10-30,2024-11-01,2024-12-31,quantile_resource,3,36.36213297692283,16.302305004043255,51.23132307602695,51.23132307602695,52.664437980966085,51.23132307602695,cumulative_best_score_by_target_date
non_pretrained,2024-11-30,2024-12-01,2025-01-31,quantile_resource,1,38.973200248413896,9.096299020462041,51.23132307602695,51.23132307602695,51.23132307602695,51.23132307602695,cumulative_best_score_by_target_date
non_pretrained,2024-11-30,2024-12-01,2025-01-31,quantile_resource,2,38.973200248413896,12.052523552235066,51.23132307602695,51.23132307602695,51.23132307602695,51.23132307602695,cumulative_best_score_by_target_date
non_pretrained,2024-11-30,2024-12-01,2025-01-31,quantile_resource,3,38.973200248413896,17.06465438032064,51.23132307602695,51.23132307602695,56.037854628734536,51.23132307602695,cumulative_best_score_by_target_date
non_pretrained,2024-12-31,2025-01-01,2025-02-28,quantile_resource,1,42.207618995502,8.157411459836652,51.23132307602695,51.23132307602695,51.23132307602695,51.23132307602695,cumulative_best_score_by_target_date
non_pretrained,2024-12-31,2025-01-01,2025-02-28,quantile_resource,2,42.207618995502,8.67324030627644,51.23132307602695,51.23132307602695,51.23132307602695,51.23132307602695,cumulative_best_score_by_target_date
non_pretrained,2024-12-31,2025-01-01,2025-02-28,quantile_resource,3,42.207618995502,10.746843617423458,51.23132307602695,51.23132307602695,52.95446261292546,51.23132307602695,cumulative_best_score_by_target_date
pretrained,2024-09-30,2024-10-01,2024-11-30,constant,1,28.786236947022427,3.461628573388161,38.441143572535815,38.441143572535815,38.441143572535815,38.441143572535815,cumulative_best_score_by_target_date
pretrained,2024-09-30,2024-10-01,2024-11-30,constant,2,28.786236947022427,9.654906625513387,38.441143572535815,38.441143572535815,38.441143572535815,38.441143572535815,cumulative_best_score_by_target_date
pretrained,2024-09-30,2024-10-01,2024-11-30,constant,3,28.786236947022427,12.385772464584548,38.441143572535815,38.441143572535815,41.17200941160698,38.441143572535815,cumulative_best_score_by_target_date
pretrained,2024-10-20,2024-11-01,2024-12-31,constant,1,30.7646821393382,1.4300937072586208,38.441143572535815,38.441143572535815,38.441143572535815,38.441143572535815,cumulative_best_score_by_target_date
pretrained,2024-10-20,2024-11-01,2024-12-31,constant,2,30.7646821393382,7.676461433197616,38.441143572535815,38.441143572535815,38.441143572535815,38.441143572535815,cumulative_best_score_by_target_date
pretrained,2024-10-20,2024-11-01,2024-12-31,constant,3,30.7646821393382,12.295244504944122,38.441143572535815,38.441143572535815,43.05992664428232,38.441143572535815,cumulative_best_score_by_target_date
pretrained,2024-11-30,2024-12-01,2025-01-31,constant,1,17.11540570593849,15.006382176534906,38.441143572535815,38.441143572535815,38.441143572535815,38.441143572535815,cumulative_best_score_by_target_date
pretrained,2024-11-30,2024-12-01,2025-01-31,constant,2,17.11540570593849,7.7136465744498715,38.441143572535815,38.441143572535815,38.441143572535815,38.441143572535815,cumulative_best_score_by_target_date
pretrained,2024-11-30,2024-12-01,2025-01-31,constant,3,17.11540570593849,13.136048234664763,38.441143572535815,38.441143572535815,38.441143572535815,38.441143572535815,cumulative_best_score_by_target_date
pretrained,2024-12-22,2025-01-01,2025-02-28,constant,1,21.463757551418286,13.205163418534031,38.441143572535815,38.441143572535815,38.441143572535815,38.441143572535815,cumulative_best_score_by_target_date
pretrained,2024-12-22,2025-01-01,2025-02-28,constant,2,21.463757551418286,11.798605786120316,38.441143572535815,38.441143572535815,38.441143572535815,38.441143572535815,cumulative_best_score_by_target_date
pretrained,2024-12-22,2025-01-01,2025-02-28,constant,3,21.463757551418286,10.935841735513055,38.441143572535815,38.441143572535815,38.441143572535815,38.441143572535815,cumulative_best_score_by_target_date
