type,resource_gate,model,origin,test_start,test_end,train_n,test_n,actual_q90,predicted_q90,gC_visible,horizon_months,forecast_window_months,target_window_months,drift_retention_assumed,developer_overlap_fraction,same_model_overlap_fraction
non_pretrained,primary,constant,2024-09-30,2024-10-01,2024-11-30,635,314,35.927936359933575,34.570385616419514,0.5514419708475456,2.004106776180698,2,2,0.0,0.4426751592356688,0.009554140127388535
non_pretrained,primary,frontier_trend,2024-09-30,2024-10-01,2024-11-30,635,314,35.927936359933575,40.51841432268124,0.5514419708475456,2.004106776180698,2,2,1.0,0.4426751592356688,0.009554140127388535
non_pretrained,primary,quantile_resource,2024-09-30,2024-10-01,2024-11-30,635,314,35.927936359933575,37.84835548830274,0.5514419708475456,2.004106776180698,2,2,0.5,0.4426751592356688,0.009554140127388535
non_pretrained,primary,mean_resource,2024-09-30,2024-10-01,2024-11-30,635,314,35.927936359933575,37.59744039874334,0.5514419708475456,2.004106776180698,2,2,0.5,0.4426751592356688,0.009554140127388535
non_pretrained,wide_ratio,constant,2024-09-30,2024-10-01,2024-11-30,635,314,35.927936359933575,34.570385616419514,0.46596707548169825,2.004106776180698,2,2,0.0,0.4426751592356688,0.009554140127388535
non_pretrained,wide_ratio,frontier_trend,2024-09-30,2024-10-01,2024-11-30,635,314,35.927936359933575,40.51841432268124,0.46596707548169825,2.004106776180698,2,2,1.0,0.4426751592356688,0.009554140127388535
non_pretrained,wide_ratio,quantile_resource,2024-09-30,2024-10-01,2024-11-30,635,314,35.927936359933575,37.70855755102141,0.46596707548169825,2.004106776180698,2,2,0.5,0.4426751592356688,0.009554140127388535
non_pretrained,wide_ratio,mean_resource,2024-09-30,2024-10-01,2024-11-30,635,314,35.927936359933575,37.440609896235976,0.46596707548169825,2.004106776180698,2,2,0.5,0.4426751592356688,0.009554140127388535
non_pretrained,primary,constant,2024-10-30,2024-11-01,2024-12-31,815,308,39.43323061814671,33.268432085917915,0.5514419708475456,2.0369609856262834,2,2,0.0,0.41233766233766234,0.00974025974025974
non_pretrained,primary,frontier_trend,2024-10-30,2024-11-01,2024-12-31,815,308,39.43323061814671,37.085283697713244,0.5514419708475456,2.0369609856262834,2,2,1.0,0.41233766233766234,0.00974025974025974
