type,resource_gate,horizon_months,compute_scenario,model,origin,target_date,score,conditional_p05,conditional_p95,selected_by_diagnostic_rmse,eta_assumed,drift_retention_assumed,gC_log10_per_year,scenario_gC_log10_per_year,N_anchor_B,D_anchor_B_scenario,C_anchor_FLOPs_scenario,C_future_FLOPs_scenario,N_future_B_scenario,D_future_B_scenario,time_extrapolation_observed_spans,N_extrapolation_decades_beyond_C2,D_extrapolation_decades_beyond_C4,status
non_pretrained,primary,12,historical,constant,2025-03-13,2026-03-13,40.444684000406866,37.754788736630566,41.5351809401351,False,0.5,0.0,0.6903147486034148,0.6903147486034148,14.766000000000002,6500.0,5.758740000000001e+23,2.822553741902211e+24,32.6904002818549,14390.329258570824,1.318592057761733,0,0.0,conditional_scenario_not_calibrated_long_horizon_prediction
non_pretrained,primary,12,historical,frontier_trend,2025-03-13,2026-03-13,59.910893088665695,52.93428484378985,64.61224187670341,False,0.5,1.0,0.6903147486034148,0.6903147486034148,14.766000000000002,6500.0,5.758740000000001e+23,2.822553741902211e+24,32.6904002818549,14390.329258570824,1.318592057761733,0,0.0,conditional_scenario_not_calibrated_long_horizon_prediction
non_pretrained,primary,12,historical,quantile_resource,2025-03-13,2026-03-13,58.4320128553445,54.95898033475987,60.40588447546062,True,0.5,0.5,0.6903147486034148,0.6903147486034148,14.766000000000002,6500.0,5.758740000000001e+23,2.822553741902211e+24,32.6904002818549,14390.329258570824,1.318592057761733,0,0.0,conditional_scenario_not_calibrated_long_horizon_prediction
non_pretrained,primary,12,historical,mean_resource,2025-03-13,2026-03-13,58.00986927666208,52.17109231323872,61.29383678502312,False,0.5,0.5,0.6903147486034148,0.6903147486034148,14.766000000000002,6500.0,5.758740000000001e+23,2.822553741902211e+24,32.6904002818549,14390.329258570824,1.318592057761733,0,0.0,conditional_scenario_not_calibrated_long_horizon_prediction
non_pretrained,primary,12,half,constant,2025-03-13,2026-03-13,40.444684000406866,37.754788736630566,41.5351809401351,False,0.5,0.0,0.6903147486034148,0.3451573743017074,14.766000000000002,6500.0,5.758740000000001e+23,1.274925610992341e+24,21.970581479830468,9671.460085256536,1.318592057761733,0,0.0,conditional_scenario_not_calibrated_long_horizon_prediction
non_pretrained,primary,12,half,frontier_trend,2025-03-13,2026-03-13,59.910893088665695,52.93428484378985,64.61224187670341,False,0.5,1.0,0.6903147486034148,0.3451573743017074,14.766000000000002,6500.0,5.758740000000001e+23,1.274925610992341e+24,21.970581479830468,9671.460085256536,1.318592057761733,0,0.0,conditional_scenario_not_calibrated_long_horizon_prediction
non_pretrained,primary,12,half,quantile_resource,2025-03-13,2026-03-13,53.82775508938272,50.302393652096455,56.0067809920415,True,0.5,0.5,0.6903147486034148,0.3451573743017074,14.766000000000002,6500.0,5.758740000000001e+23,1.274925610992341e+24,21.970581479830468,9671.460085256536,1.318592057761733,0,0.0,conditional_scenario_not_calibrated_long_horizon_prediction
non_pretrained,primary,12,half,mean_resource,2025-03-13,2026-03-13,53.52522853819947,47.678505093782015,56.72466520232542,False,0.5,0.5,0.6903147486034148,0.3451573743017074,14.766000000000002,6500.0,5.758740000000001e+23,1.274925610992341e+24,21.970581479830468,9671.460085256536,1.318592057761733,0,0.0,conditional_scenario_not_calibrated_long_horizon_prediction
non_pretrained,primary,12,quarter,constant,2025-03-13,2026-03-13,40.444684000406866,37.754788736630566,41.5351809401351,False,0.5,0.0,0.6903147486034148,0.1725786871508537,14.766000000000002,6500.0,5.758740000000001e+23,8.568526777133883e+23,18.011596434829887,7928.713045265762,1.318592057761733,0,0.0,conditional_scenario_not_calibrated_long_horizon_prediction
non_pretrained,primary,12,quarter,frontier_trend,2025-03-13,2026-03-13,59.910893088665695,52.93428484378985,64.61224187670341,False,0.5,1.0,0.6903147486034148,0.1725786871508537,14.766000000000002,6500.0,5.758740000000001e+23,8.568526777133883e+23,18.011596434829887,7928.713045265762,1.318592057761733,0,0.0,conditional_scenario_not_calibrated_long_horizon_prediction
non_pretrained,primary,12,quarter,quantile_resource,2025-03-13,2026-03-13,51.4957727551587,47.92801213315436,53.671947385586066,True,0.5,0.5,0.6903147486034148,0.1725786871508537,14.766000000000002,6500.0,5.758740000000001e+23,8.568526777133883e+23,18.011596434829887,7928.713045265762,1.318592057761733,0,0.0,conditional_scenario_not_calibrated_long_horizon_prediction
non_pretrained,primary,12,quarter,mean_resource,2025-03-13,2026-03-13,51.25663426536482,45.4431998033665,54.469930798852474,False,0.5,0.5,0.6903147486034148,0.1725786871508537,14.766000000000002,6500.0,5.758740000000001e+23,8.568526777133883e+23,18.011596434829887,7928.713045265762,1.318592057761733,0,0.0,conditional_scenario_not_calibrated_long_horizon_prediction
non_pretrained,primary,12,stopped,constant,2025-03-13,2026-03-13,40.444684000406866,37.754788736630566,41.5351809401351,False,0.5,0.0,0.6903147486034148,0.0,14.766000000000002,6500.0,5.758740000000001e+23,5.758740000000001e+23,14.766000000000002,6500.0,1.318592057761733,0,0.0,conditional_scenario_not_calibrated_long_horizon_prediction
non_pretrained,primary,12,stopped,frontier_trend,2025-03-13,2026-03-13,59.910893088665695,52.93428484378985,64.61224187670341,False,0.5,1.0,0.6903147486034148,0.0,14.766000000000002,6500.0,5.758740000000001e+23,5.758740000000001e+23,14.766000000000002,6500.0,1.318592057761733,0,0.0,conditional_scenario_not_calibrated_long_horizon_prediction
non_pretrained,primary,12,stopped,quantile_resource,2025-03-13,2026-03-13,49.15725897050742,45.60421648597555,51.38435579274429,True,0.5,0.5,0.6903147486034148,0.0,14.766000000000002,6500.0,5.758740000000001e+23,5.758740000000001e+23,14.766000000000002,6500.0,1.318592057761733,0,0.0,conditional_scenario_not_calibrated_long_horizon_prediction
non_pretrained,primary,12,stopped,mean_resource,2025-03-13,2026-03-13,48.98285104615351,43.2268715078119,52.19671733123483,False,0.5,0.5,0.6903147486034148,0.0,14.766000000000002,6500.0,5.758740000000001e+23,5.758740000000001e+23,14.766000000000002,6500.0,1.318592057761733,0,0.0,conditional_scenario_not_calibrated_long_horizon_prediction
non_pretrained,primary,24,historical,constant,2025-03-13,2027-03-13,40.444684000406866,37.754788736630566,41.5351809401351,False,0.5,0.0,0.6903147486034148,0.6903147486034148,14.766000000000002,6500.0,5.758740000000001e+23,1.3834292963263094e+25,72.37317286928746,31858.704026166084,2.637184115523466,0,0.2479556001429643,conditional_scenario_not_calibrated_long_horizon_prediction
non_pretrained,primary,24,historical,frontier_trend,2025-03-13,2027-03-13,76.68264959809902,66.99951089995268,82.71651408897162,False,0.5,1.0,0.6903147486034148,0.6903147486034148,14.766000000000002,6500.0,5.758740000000001e+23,1.3834292963263094e+25,72.37317286928746,31858.704026166084,2.637184115523466,0,0.2479556001429643,conditional_scenario_not_calibrated_long_horizon_prediction
non_pretrained,primary,24,historical,quantile_resource,2025-03-13,2027-03-13,74.42235226126796,70.50089325592025,76.9453132997553,True,0.5,0.5,0.6903147486034148,0.6903147486034148,14.766000000000002,6500.0,5.758740000000001e+23,1.3834292963263094e+25,72.37317286928746,31858.704026166084,2.637184115523466,0,0.2479556001429643,conditional_scenario_not_calibrated_long_horizon_prediction
non_pretrained,primary,24,historical,mean_resource,2025-03-13,2027-03-13,73.75604815594893,65.18471949155543,78.37167274091158,False,0.5,0.5,0.6903147486034148,0.6903147486034148,14.766000000000002,6500.0,5.758740000000001e+23,1.3834292963263094e+25,72.37317286928746,31858.704026166084,2.637184115523466,0,0.2479556001429643,conditional_scenario_not_calibrated_long_horizon_prediction
non_pretrained,primary,24,half,constant,2025-03-13,2027-03-13,40.444684000406866,37.754788736630566,41.5351809401351,False,0.5,0.0,0.6903147486034148,0.3451573743017074,14.766000000000002,6500.0,5.758740000000001e+23,2.822553741902211e+24,32.6904002818549,14390.329258570824,2.637184115523466,0,0.0,conditional_scenario_not_calibrated_long_horizon_prediction
non_pretrained,primary,24,half,frontier_trend,2025-03-13,2027-03-13,76.68264959809902,66.99951089995268,82.71651408897162,False,0.5,1.0,0.6903147486034148,0.3451573743017074,14.766000000000002,6500.0,5.758740000000001e+23,2.822553741902211e+24,32.6904002818549,14390.329258570824,2.637184115523466,0,0.0,conditional_scenario_not_calibrated_long_horizon_prediction
non_pretrained,primary,24,half,quantile_resource,2025-03-13,2027-03-13,66.68097418169143,61.98275127462587,69.80460879867884,True,0.5,0.5,0.6903147486034148,0.3451573743017074,14.766000000000002,6500.0,5.758740000000001e+23,2.822553741902211e+24,32.6904002818549,14390.329258570824,2.637184115523466,0,0.0,conditional_scenario_not_calibrated_long_horizon_prediction
non_pretrained,primary,24,half,mean_resource,2025-03-13,2027-03-13,66.13816343389887,57.47438594574561,71.27651401486659,False,0.5,0.5,0.6903147486034148,0.3451573743017074,14.766000000000002,6500.0,5.758740000000001e+23,2.822553741902211e+24,32.6904002818549,14390.329258570824,2.637184115523466,0,0.0,conditional_scenario_not_calibrated_long_horizon_prediction
non_pretrained,primary,24,quarter,constant,2025-03-13,2027-03-13,40.444684000406866,37.754788736630566,41.5351809401351,False,0.5,0.0,0.6903147486034148,0.1725786871508537,14.766000000000002,6500.0,5.758740000000001e+23,1.274925610992341e+24,21.970581479830468,9671.460085256536,2.637184115523466,0,0.0,conditional_scenario_not_calibrated_long_horizon_prediction
non_pretrained,primary,24,quarter,frontier_trend,2025-03-13,2027-03-13,76.68264959809902,66.99951089995268,82.71651408897162,False,0.5,1.0,0.6903147486034148,0.1725786871508537,14.766000000000002,6500.0,5.758740000000001e+23,1.274925610992341e+24,21.970581479830468,9671.460085256536,2.637184115523466,0,0.0,conditional_scenario_not_calibrated_long_horizon_prediction
non_pretrained,primary,24,quarter,quantile_resource,2025-03-13,2027-03-13,62.40250244466455,57.849803449402174,65.8024869009942,True,0.5,0.5,0.6903147486034148,0.1725786871508537,14.766000000000002,6500.0,5.758740000000001e+23,1.274925610992341e+24,21.970581479830468,9671.460085256536,2.637184115523466,0,0.0,conditional_scenario_not_calibrated_long_horizon_prediction
non_pretrained,primary,24,quarter,mean_resource,2025-03-13,2027-03-13,61.95225676117693,53.451139791688995,67.25075087688673,False,0.5,0.5,0.6903147486034148,0.1725786871508537,14.766000000000002,6500.0,5.758740000000001e+23,1.274925610992341e+24,21.970581479830468,9671.460085256536,2.637184115523466,0,0.0,conditional_scenario_not_calibrated_long_horizon_prediction
non_pretrained,primary,24,stopped,constant,2025-03-13,2027-03-13,40.444684000406866,37.754788736630566,41.5351809401351,False,0.5,0.0,0.6903147486034148,0.0,14.766000000000002,6500.0,5.758740000000001e+23,5.758740000000001e+23,14.766000000000002,6500.0,2.637184115523466,0,0.0,conditional_scenario_not_calibrated_long_horizon_prediction
non_pretrained,primary,24,stopped,frontier_trend,2025-03-13,2027-03-13,76.68264959809902,66.99951089995268,82.71651408897162,False,0.5,1.0,0.6903147486034148,0.0,14.766000000000002,6500.0,5.758740000000001e+23,5.758740000000001e+23,14.766000000000002,6500.0,2.637184115523466,0,0.0,conditional_scenario_not_calibrated_long_horizon_prediction
non_pretrained,primary,24,stopped,quantile_resource,2025-03-13,2027-03-13,57.92132832293761,53.443479409627244,61.56656363349974,True,0.5,0.5,0.6903147486034148,0.0,14.766000000000002,6500.0,5.758740000000001e+23,5.758740000000001e+23,14.766000000000002,6500.0,2.637184115523466,0,0.0,conditional_scenario_not_calibrated_long_horizon_prediction
non_pretrained,primary,24,stopped,mean_resource,2025-03-13,2027-03-13,57.580778385976714,49.382505153478895,62.95401224441246,False,0.5,0.5,0.6903147486034148,0.0,14.766000000000002,6500.0,5.758740000000001e+23,5.758740000000001e+23,14.766000000000002,6500.0,2.637184115523466,0,0.0,conditional_scenario_not_calibrated_long_horizon_prediction
non_pretrained,wide_ratio,12,historical,constant,2025-03-13,2026-03-13,40.444684000406866,37.754788736630566,41.5351809401351,False,0.5,0.0,0.6005515619926791,0.6005515619926791,14.766000000000002,6500.0,5.758740000000001e+23,2.2955091758112524e+24,29.480757953077156,12977.443227346708,1.318592057761733,0,0.0,conditional_scenario_not_calibrated_long_horizon_prediction
non_pretrained,wide_ratio,12,historical,frontier_trend,2025-03-13,2026-03-13,59.910893088665695,52.93428484378985,64.61224187670341,False,0.5,1.0,0.6005515619926791,0.6005515619926791,14.766000000000002,6500.0,5.758740000000001e+23,2.2955091758112524e+24,29.480757953077156,12977.443227346708,1.318592057761733,0,0.0,conditional_scenario_not_calibrated_long_horizon_prediction
non_pretrained,wide_ratio,12,historical,quantile_resource,2025-03-13,2026-03-13,57.24537478546189,53.810531316698075,59.258980213485266,True,0.5,0.5,0.6005515619926791,0.6005515619926791,14.766000000000002,6500.0,5.758740000000001e+23,2.2955091758112524e+24,29.480757953077156,12977.443227346708,1.318592057761733,0,0.0,conditional_scenario_not_calibrated_long_horizon_prediction
non_pretrained,wide_ratio,12,historical,mean_resource,2025-03-13,2026-03-13,56.85318631143929,51.00317538506899,60.113317434947554,False,0.5,0.5,0.6005515619926791,0.6005515619926791,14.766000000000002,6500.0,5.758740000000001e+23,2.2955091758112524e+24,29.480757953077156,12977.443227346708,1.318592057761733,0,0.0,conditional_scenario_not_calibrated_long_horizon_prediction
non_pretrained,wide_ratio,12,half,constant,2025-03-13,2026-03-13,40.444684000406866,37.754788736630566,41.5351809401351,False,0.5,0.0,0.6005515619926791,0.30027578099633956,14.766000000000002,6500.0,5.758740000000001e+23,1.1497495601700092e+24,20.864152796965836,9184.40966952986,1.318592057761733,0,0.0,conditional_scenario_not_calibrated_long_horizon_prediction
non_pretrained,wide_ratio,12,half,frontier_trend,2025-03-13,2026-03-13,59.910893088665695,52.93428484378985,64.61224187670341,False,0.5,1.0,0.6005515619926791,0.30027578099633956,14.766000000000002,6500.0,5.758740000000001e+23,1.1497495601700092e+24,20.864152796965836,9184.40966952986,1.318592057761733,0,0.0,conditional_scenario_not_calibrated_long_horizon_prediction
non_pretrained,wide_ratio,12,half,quantile_resource,2025-03-13,2026-03-13,53.2224849564058,49.68459950481971,55.415012569085164,True,0.5,0.5,0.6005515619926791,0.30027578099633956,14.766000000000002,6500.0,5.758740000000001e+23,1.1497495601700092e+24,20.864152796965836,9184.40966952986,1.318592057761733,0,0.0,conditional_scenario_not_calibrated_long_horizon_prediction
non_pretrained,wide_ratio,12,half,mean_resource,2025-03-13,2026-03-13,52.93626911753846,47.09552973984961,56.140577914599575,False,0.5,0.5,0.6005515619926791,0.30027578099633956,14.766000000000002,6500.0,5.758740000000001e+23,1.1497495601700092e+24,20.864152796965836,9184.40966952986,1.318592057761733,0,0.0,conditional_scenario_not_calibrated_long_horizon_prediction
non_pretrained,wide_ratio,12,quarter,constant,2025-03-13,2026-03-13,40.444684000406866,37.754788736630566,41.5351809401351,False,0.5,0.0,0.6005515619926791,0.15013789049816978,14.766000000000002,6500.0,5.758740000000001e+23,8.137019590816677e+23,17.552210122944565,7726.490979218451,1.318592057761733,0,0.0,conditional_scenario_not_calibrated_long_horizon_prediction
