coordinate_id,policy_mode,budget_FLOPs,context_tokens,coordinate_scale_assumed,coordinate_offset_assumed,upstream_loss_stress_delta_assumed,feasible_policies,all_feasible_policies_supported,best_quality_families,unique_winner,policy_score_spread
Gemma2 report,fixed_recipe,1e+19,131072,1.0,0.1,0.0,0,False,,,
Gemma2 report,fixed_recipe,1e+19,131072,1.0,0.1,0.05,0,False,,,
Gemma2 report,fixed_recipe,1e+19,131072,1.1,-0.1,-0.05,0,False,,,
Gemma2 report,fixed_recipe,1e+19,131072,1.1,-0.1,0.0,0,False,,,
Gemma2 report,fixed_recipe,1e+19,131072,1.1,-0.1,0.05,0,False,,,
Gemma2 report,fixed_recipe,1e+19,131072,1.1,0.0,-0.05,0,False,,,
Gemma2 report,fixed_recipe,1e+19,131072,1.1,0.0,0.0,0,False,,,
Gemma2 report,fixed_recipe,1e+19,131072,1.1,0.0,0.05,0,False,,,
Gemma2 report,fixed_recipe,1e+19,131072,1.1,0.1,-0.05,0,False,,,
Gemma2 report,fixed_recipe,1e+19,131072,1.1,0.1,0.0,0,False,,,
Gemma2 report,fixed_recipe,1e+19,131072,1.1,0.1,0.05,0,False,,,
Gemma2 report,fixed_recipe,1e+20,2048,0.9,-0.1,-0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,2048,0.9,-0.1,0.0,3,False,,,
Gemma2 report,fixed_recipe,1e+20,2048,0.9,-0.1,0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,2048,0.9,0.0,-0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,2048,0.9,0.0,0.0,3,False,,,
Gemma2 report,fixed_recipe,1e+20,2048,0.9,0.0,0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,2048,0.9,0.1,-0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,2048,0.9,0.1,0.0,3,False,,,
Gemma2 report,fixed_recipe,1e+20,2048,0.9,0.1,0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,2048,1.0,-0.1,-0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,2048,1.0,-0.1,0.0,3,False,,,
Gemma2 report,fixed_recipe,1e+20,2048,1.0,-0.1,0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,2048,1.0,0.0,-0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,2048,1.0,0.0,0.0,3,False,,,
Gemma2 report,fixed_recipe,1e+20,2048,1.0,0.0,0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,2048,1.0,0.1,-0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,2048,1.0,0.1,0.0,3,False,,,
Gemma2 report,fixed_recipe,1e+20,2048,1.0,0.1,0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,2048,1.1,-0.1,-0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,2048,1.1,-0.1,0.0,3,False,,,
Gemma2 report,fixed_recipe,1e+20,2048,1.1,-0.1,0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,2048,1.1,0.0,-0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,2048,1.1,0.0,0.0,3,False,,,
Gemma2 report,fixed_recipe,1e+20,2048,1.1,0.0,0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,2048,1.1,0.1,-0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,2048,1.1,0.1,0.0,3,False,,,
Gemma2 report,fixed_recipe,1e+20,2048,1.1,0.1,0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,8192,0.9,-0.1,-0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,8192,0.9,-0.1,0.0,3,False,,,
Gemma2 report,fixed_recipe,1e+20,8192,0.9,-0.1,0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,8192,0.9,0.0,-0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,8192,0.9,0.0,0.0,3,False,,,
Gemma2 report,fixed_recipe,1e+20,8192,0.9,0.0,0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,8192,0.9,0.1,-0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,8192,0.9,0.1,0.0,3,False,,,
Gemma2 report,fixed_recipe,1e+20,8192,0.9,0.1,0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,8192,1.0,-0.1,-0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,8192,1.0,-0.1,0.0,3,False,,,
Gemma2 report,fixed_recipe,1e+20,8192,1.0,-0.1,0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,8192,1.0,0.0,-0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,8192,1.0,0.0,0.0,3,False,,,
Gemma2 report,fixed_recipe,1e+20,8192,1.0,0.0,0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,8192,1.0,0.1,-0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,8192,1.0,0.1,0.0,3,False,,,
Gemma2 report,fixed_recipe,1e+20,8192,1.0,0.1,0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,8192,1.1,-0.1,-0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,8192,1.1,-0.1,0.0,3,False,,,
Gemma2 report,fixed_recipe,1e+20,8192,1.1,-0.1,0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,8192,1.1,0.0,-0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,8192,1.1,0.0,0.0,3,False,,,
Gemma2 report,fixed_recipe,1e+20,8192,1.1,0.0,0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,8192,1.1,0.1,-0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,8192,1.1,0.1,0.0,3,False,,,
Gemma2 report,fixed_recipe,1e+20,8192,1.1,0.1,0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,131072,0.9,-0.1,-0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,131072,0.9,-0.1,0.0,3,False,,,
Gemma2 report,fixed_recipe,1e+20,131072,0.9,-0.1,0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,131072,0.9,0.0,-0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,131072,0.9,0.0,0.0,3,False,,,
Gemma2 report,fixed_recipe,1e+20,131072,0.9,0.0,0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,131072,0.9,0.1,-0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,131072,0.9,0.1,0.0,3,False,,,
Gemma2 report,fixed_recipe,1e+20,131072,0.9,0.1,0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,131072,1.0,-0.1,-0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,131072,1.0,-0.1,0.0,3,False,,,
Gemma2 report,fixed_recipe,1e+20,131072,1.0,-0.1,0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,131072,1.0,0.0,-0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,131072,1.0,0.0,0.0,3,False,,,
Gemma2 report,fixed_recipe,1e+20,131072,1.0,0.0,0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,131072,1.0,0.1,-0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,131072,1.0,0.1,0.0,3,False,,,
Gemma2 report,fixed_recipe,1e+20,131072,1.0,0.1,0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,131072,1.1,-0.1,-0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,131072,1.1,-0.1,0.0,3,False,,,
Gemma2 report,fixed_recipe,1e+20,131072,1.1,-0.1,0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,131072,1.1,0.0,-0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,131072,1.1,0.0,0.0,3,False,,,
Gemma2 report,fixed_recipe,1e+20,131072,1.1,0.0,0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,131072,1.1,0.1,-0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+20,131072,1.1,0.1,0.0,3,False,,,
Gemma2 report,fixed_recipe,1e+20,131072,1.1,0.1,0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+22,2048,0.9,-0.1,-0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+22,2048,0.9,-0.1,0.0,3,False,,,
Gemma2 report,fixed_recipe,1e+22,2048,0.9,-0.1,0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+22,2048,0.9,0.0,-0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+22,2048,0.9,0.0,0.0,3,False,,,
Gemma2 report,fixed_recipe,1e+22,2048,0.9,0.0,0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+22,2048,0.9,0.1,-0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+22,2048,0.9,0.1,0.0,3,True,exponential,True,0.028345784158759102
Gemma2 report,fixed_recipe,1e+22,2048,0.9,0.1,0.05,3,True,exponential,True,0.027453322415340153
Gemma2 report,fixed_recipe,1e+22,2048,1.0,-0.1,-0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+22,2048,1.0,-0.1,0.0,3,True,exponential,True,0.03132778847919582
Gemma2 report,fixed_recipe,1e+22,2048,1.0,-0.1,0.05,3,True,exponential,True,0.030191270616086285
Gemma2 report,fixed_recipe,1e+22,2048,1.0,0.0,-0.05,3,True,exponential,True,0.030191270616086285
Gemma2 report,fixed_recipe,1e+22,2048,1.0,0.0,0.0,3,True,exponential,True,0.02890707240004531
Gemma2 report,fixed_recipe,1e+22,2048,1.0,0.0,0.05,3,True,exponential,True,0.027505404617844675
Gemma2 report,fixed_recipe,1e+22,2048,1.0,0.1,-0.05,3,True,exponential,True,0.027505404617826912
Gemma2 report,fixed_recipe,1e+22,2048,1.0,0.1,0.0,3,True,exponential,True,0.026016826791270375
Gemma2 report,fixed_recipe,1e+22,2048,1.0,0.1,0.05,3,True,exponential,True,0.024471031601489557
Gemma2 report,fixed_recipe,1e+22,2048,1.1,-0.1,-0.05,3,True,exponential,True,0.030157983806056166
Gemma2 report,fixed_recipe,1e+22,2048,1.1,-0.1,0.0,3,True,exponential,True,0.028347667988043668
Gemma2 report,fixed_recipe,1e+22,2048,1.1,-0.1,0.05,3,True,exponential,True,0.0264673203128325
Gemma2 report,fixed_recipe,1e+22,2048,1.1,0.0,-0.05,3,True,exponential,True,0.02681255512547054
Gemma2 report,fixed_recipe,1e+22,2048,1.1,0.0,0.0,3,True,exponential,True,0.024904828178538452
Gemma2 report,fixed_recipe,1e+22,2048,1.1,0.0,0.05,3,True,exponential,True,0.022996455468543786
Gemma2 report,fixed_recipe,1e+22,2048,1.1,0.1,-0.05,3,True,exponential,True,0.02334199942299975
Gemma2 report,fixed_recipe,1e+22,2048,1.1,0.1,0.0,3,True,exponential,True,0.02145658410494633
Gemma2 report,fixed_recipe,1e+22,2048,1.1,0.1,0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+22,8192,0.9,-0.1,-0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+22,8192,0.9,-0.1,0.0,3,False,,,
Gemma2 report,fixed_recipe,1e+22,8192,0.9,-0.1,0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+22,8192,0.9,0.0,-0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+22,8192,0.9,0.0,0.0,3,False,,,
Gemma2 report,fixed_recipe,1e+22,8192,0.9,0.0,0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+22,8192,0.9,0.1,-0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+22,8192,0.9,0.1,0.0,3,True,exponential,True,0.026421915222869075
Gemma2 report,fixed_recipe,1e+22,8192,0.9,0.1,0.05,3,True,exponential,True,0.02555273366806432
Gemma2 report,fixed_recipe,1e+22,8192,1.0,-0.1,-0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+22,8192,1.0,-0.1,0.0,3,True,exponential,True,0.029165934660412063
