type,origin,target_date,horizon_months,compute_scenario,q90_model,q90_score,historical_record_score,tail_gap_window_months,tail_gap_center,tail_gap_lower,tail_gap_upper,record_persistence_baseline,conditional_record_lower,conditional_record_center,conditional_record_upper,target_definition,status
non_pretrained,2025-03-13,2026-03-13,12,historical,quantile_resource,58.4320128553445,51.23132307602695,2,6.772253890753355,6.646223512584179,7.3755386556748945,51.23132307602695,65.07823636792868,65.20426674609786,65.8075515110194,cumulative_best_score_by_target_date,conditional_tail_gap_scenario_not_calibrated_prediction_interval
non_pretrained,2025-03-13,2026-03-13,12,half,quantile_resource,53.82775508938272,51.23132307602695,2,6.772253890753355,6.646223512584179,7.3755386556748945,51.23132307602695,60.4739786019669,60.600008980136074,61.203293745057614,cumulative_best_score_by_target_date,conditional_tail_gap_scenario_not_calibrated_prediction_interval
non_pretrained,2025-03-13,2026-03-13,12,quarter,quantile_resource,51.4957727551587,51.23132307602695,2,6.772253890753355,6.646223512584179,7.3755386556748945,51.23132307602695,58.141996267742876,58.26802664591205,58.87131141083359,cumulative_best_score_by_target_date,conditional_tail_gap_scenario_not_calibrated_prediction_interval
non_pretrained,2025-03-13,2026-03-13,12,stopped,quantile_resource,49.15725897050742,51.23132307602695,2,6.772253890753355,6.646223512584179,7.3755386556748945,51.23132307602695,55.8034824830916,55.929512861260775,56.532797626182315,cumulative_best_score_by_target_date,conditional_tail_gap_scenario_not_calibrated_prediction_interval
non_pretrained,2025-03-13,2027-03-13,24,historical,quantile_resource,74.42235226126796,51.23132307602695,2,6.772253890753355,6.646223512584179,7.3755386556748945,51.23132307602695,81.06857577385213,81.19460615202132,81.79789091694286,cumulative_best_score_by_target_date,conditional_tail_gap_scenario_not_calibrated_prediction_interval
non_pretrained,2025-03-13,2027-03-13,24,half,quantile_resource,66.68097418169143,51.23132307602695,2,6.772253890753355,6.646223512584179,7.3755386556748945,51.23132307602695,73.32719769427561,73.45322807244477,74.05651283736631,cumulative_best_score_by_target_date,conditional_tail_gap_scenario_not_calibrated_prediction_interval
non_pretrained,2025-03-13,2027-03-13,24,quarter,quantile_resource,62.40250244466455,51.23132307602695,2,6.772253890753355,6.646223512584179,7.3755386556748945,51.23132307602695,69.04872595724873,69.1747563354179,69.77804110033944,cumulative_best_score_by_target_date,conditional_tail_gap_scenario_not_calibrated_prediction_interval
non_pretrained,2025-03-13,2027-03-13,24,stopped,quantile_resource,57.92132832293761,51.23132307602695,2,6.772253890753355,6.646223512584179,7.3755386556748945,51.23132307602695,64.56755183552178,64.69358221369097,65.29686697861251,cumulative_best_score_by_target_date,conditional_tail_gap_scenario_not_calibrated_prediction_interval
pretrained,2025-03-09,2026-03-09,12,historical,constant,21.03185224244996,38.441143572535815,2,11.404386699446547,10.899152097274772,15.73094537757942,38.441143572535815,38.441143572535815,38.441143572535815,38.441143572535815,cumulative_best_score_by_target_date,conditional_tail_gap_scenario_not_calibrated_prediction_interval
pretrained,2025-03-09,2026-03-09,12,half,constant,21.03185224244996,38.441143572535815,2,11.404386699446547,10.899152097274772,15.73094537757942,38.441143572535815,38.441143572535815,38.441143572535815,38.441143572535815,cumulative_best_score_by_target_date,conditional_tail_gap_scenario_not_calibrated_prediction_interval
pretrained,2025-03-09,2026-03-09,12,quarter,constant,21.03185224244996,38.441143572535815,2,11.404386699446547,10.899152097274772,15.73094537757942,38.441143572535815,38.441143572535815,38.441143572535815,38.441143572535815,cumulative_best_score_by_target_date,conditional_tail_gap_scenario_not_calibrated_prediction_interval
pretrained,2025-03-09,2026-03-09,12,stopped,constant,21.03185224244996,38.441143572535815,2,11.404386699446547,10.899152097274772,15.73094537757942,38.441143572535815,38.441143572535815,38.441143572535815,38.441143572535815,cumulative_best_score_by_target_date,conditional_tail_gap_scenario_not_calibrated_prediction_interval
pretrained,2025-03-09,2027-03-09,24,historical,constant,21.03185224244996,38.441143572535815,2,11.404386699446547,10.899152097274772,15.73094537757942,38.441143572535815,38.441143572535815,38.441143572535815,38.441143572535815,cumulative_best_score_by_target_date,conditional_tail_gap_scenario_not_calibrated_prediction_interval
pretrained,2025-03-09,2027-03-09,24,half,constant,21.03185224244996,38.441143572535815,2,11.404386699446547,10.899152097274772,15.73094537757942,38.441143572535815,38.441143572535815,38.441143572535815,38.441143572535815,cumulative_best_score_by_target_date,conditional_tail_gap_scenario_not_calibrated_prediction_interval
pretrained,2025-03-09,2027-03-09,24,quarter,constant,21.03185224244996,38.441143572535815,2,11.404386699446547,10.899152097274772,15.73094537757942,38.441143572535815,38.441143572535815,38.441143572535815,38.441143572535815,cumulative_best_score_by_target_date,conditional_tail_gap_scenario_not_calibrated_prediction_interval
pretrained,2025-03-09,2027-03-09,24,stopped,constant,21.03185224244996,38.441143572535815,2,11.404386699446547,10.899152097274772,15.73094537757942,38.441143572535815,38.441143572535815,38.441143572535815,38.441143572535815,cumulative_best_score_by_target_date,conditional_tail_gap_scenario_not_calibrated_prediction_interval
