scope,target,n,v2_spearman,ridge_spearman,v2_rmse_absolute_cross_scale,ridge_rmse_absolute_cross_scale,estimated_10B_70B_spearman
est_10B,arxiv,63,0.7026689708141322,0.6707949308755761,3.4291237442735896,3.3844161431503093,0.9916474654377881
est_10B,freelaw,63,0.699020737327189,0.7125576036866359,3.4909802380692536,3.4540000259975234,0.9906874039938558
est_10B,pubmed_central,63,0.6908602150537635,0.6939324116743472,3.498653060647752,3.4775550950551213,0.9826228878648233
est_10B,wikipedia_en,63,0.3812975542946012,0.4084439431846424,3.8850137432673804,3.8833804755451045,0.991431246235226
est_10B,dm_mathematics,63,0.6030625960061444,0.6416090629800307,2.802983299093576,2.8247608915145936,0.9964957757296466
est_10B,github,63,0.6201036866359447,0.6070948540706606,3.7333945703491414,3.696816891634556,0.9829589093701998
est_10B,stackexchange,63,0.49153335657049246,0.5261439869808958,3.609690289021804,3.5966441832396927,0.9754458392338525
est_10B,gutenberg_pg_19,63,0.4762864823348695,0.5136328725038403,3.588849804546624,3.584631931728153,0.9917434715821811
est_10B,pile_cc,63,0.16210637480798773,0.15346582181259602,3.8073543315427627,3.805924331910632,0.9949116743471582
est_10B,ubuntu_irc,63,0.5206413210445469,0.49980798771121354,4.474961699871138,4.46647810903223,0.9814105872753
est_10B,hackernews,63,0.18826804915514594,0.1923963133640553,3.58463969921803,3.5842082582791277,0.98963133640553
est_10B,pubmed_abstracts,63,0.33290130568356374,0.32555683563748083,3.6594127192939125,3.653303949021799,0.9867031490015362
est_10B,uspto_backgrounds,63,0.41117524934855737,0.4458578852313818,3.454650764888127,3.450232485022667,0.9944674468162903
est_70B,arxiv,63,0.6596102150537635,0.6310483870967742,3.7953398820509565,3.750228598269194,0.9916474654377881
est_70B,freelaw,63,0.6422811059907835,0.6559139784946237,3.862761645116176,3.825639551502471,0.9906874039938558
est_70B,pubmed_central,63,0.6019585253456221,0.6091589861751152,3.8683570431427268,3.84725032870917,0.9826228878648233
est_70B,wikipedia_en,63,0.30606758832565284,0.334773425499232,4.2983691979135585,4.2967529089075445,0.991431246235226
est_70B,dm_mathematics,63,0.5731086789554531,0.612615207373272,3.0917603845576282,3.1138402257116486,0.9964957757296466
est_70B,github,63,0.5249135944700462,0.5079685099846392,4.117750203479457,4.080668165527333,0.9829589093701998
est_70B,stackexchange,63,0.38309311510433275,0.4148475284420329,3.986035485875271,3.973138801572224,0.9754458392338525
est_70B,gutenberg_pg_19,63,0.39410522273425497,0.43221966205837176,3.9724116686031055,3.9683438621930107,0.9917434715821811
est_70B,pile_cc,63,0.10359062980030723,0.09485407066052229,4.216057861371392,4.214675968950349,0.9949116743471582
est_70B,ubuntu_irc,63,0.40591884986181787,0.39190178456384595,4.956290296714904,4.94763563845431,0.9814105872753
est_70B,hackernews,63,0.0921178955453149,0.10527073732718895,3.9714101559715336,3.970988605925942,0.98963133640553
est_70B,pubmed_abstracts,63,0.224702380952381,0.21783794162826423,4.045231026471133,4.039143849604753,0.9867031490015362
est_70B,uspto_backgrounds,63,0.35177495629747424,0.3844658331040491,3.8208123018278197,3.8164881962032204,0.9944674468162903
