scope,model,n_candidate,selected_index,estimated_best_index,estimated_score_regret,estimated_rank_of_selected,score_spearman
est_10B,v2,63,16,45,0.1902995427325268,61,-0.3995775729646697
est_10B,ridge,63,16,45,0.1902995427325268,61,-0.4235311059907835
est_70B,v2,63,16,32,0.269907262177151,61,-0.48670314900153616
est_70B,ridge,63,16,32,0.269907262177151,61,-0.5012960829493088
