scenario,mode,quality_policy,selected_index,objective_relative,n_feasible,quality_covered_mass,quality_slack,unknown_QA_mass,arxiv,freelaw,nih_exporter,pubmed_central,wikipedia_en,dm_mathematics,github,philpapers,stackexchange,enron_emails,gutenberg_pg_19,pile_cc,ubuntu_irc,europarl,hackernews,pubmed_abstracts,uspto_backgrounds
equal_13,weighted,unconstrained,136,-0.11506531053442215,512,,,0.5685685685685684,0.0,0.018018018018018018,0.05405405405405405,0.05905905905905905,0.0,0.22522522522522523,0.15915915915915915,0.008008008008008008,0.0,0.0,0.0850850850850851,0.1871871871871872,0.16216216216216217,0.0,0.03903903903903904,0.001001001001001001,0.002002002002002002
equal_13,weighted,quality_direct,301,-0.05192273441643689,91,0.3446553446553447,0.0901337210547602,0.2727272727272727,0.15384615384615385,0.025974025974025976,0.0,0.0029970029970029974,0.0019980019980019984,0.0009990009990009992,0.1058941058941059,0.005994005994005995,0.08491508491508493,0.0009990009990009992,0.36063936063936064,0.019980019980019983,0.16183816183816185,0.0009990009990009992,0.03796203796203797,0.03096903096903097,0.003996003996003997
equal_13,weighted,quality_direct_and_near,172,-0.06737146220598265,108,0.5814185814185814,0.5188262704753321,0.4185814185814186,0.02597402597402597,0.004995004995004994,0.046953046953046945,0.049950049950049945,0.1748251748251748,0.06693306693306693,0.030969030969030965,0.0,0.0,0.0,0.32967032967032966,0.019980019980019977,0.0929070929070929,0.10789210789210787,0.010989010989010986,0.021978021978021973,0.015984015984015984
protect_worst_13,minimax,unconstrained,477,0.03992746837819161,512,,,0.3693693693693694,0.35535535535535534,0.049049049049049054,0.013013013013013013,0.07707707707707707,0.003003003003003003,0.006006006006006006,0.2122122122122122,0.0,0.0,0.0,0.003003003003003003,0.05705705705705706,0.031031031031031032,0.002002002002002002,0.11911911911911911,0.051051051051051045,0.021021021021021023
protect_worst_13,minimax,quality_direct,477,0.03992746837819161,91,0.5675675675675675,0.3691403978696995,0.3693693693693694,0.35535535535535534,0.049049049049049054,0.013013013013013013,0.07707707707707707,0.003003003003003003,0.006006006006006006,0.2122122122122122,0.0,0.0,0.0,0.003003003003003003,0.05705705705705706,0.031031031031031032,0.002002002002002002,0.11911911911911911,0.051051051051051045,0.021021021021021023
protect_worst_13,minimax,quality_direct_and_near,477,0.03992746837819161,108,0.6306306306306306,0.3913929354780308,0.3693693693693694,0.35535535535535534,0.049049049049049054,0.013013013013013013,0.07707707707707707,0.003003003003003003,0.006006006006006006,0.2122122122122122,0.0,0.0,0.0,0.003003003003003003,0.05705705705705706,0.031031031031031032,0.002002002002002002,0.11911911911911911,0.051051051051051045,0.021021021021021023
only_arxiv,weighted,unconstrained,3,-0.48431103727182667,512,,,0.052000000000000005,0.679,0.0,0.0,0.044,0.0,0.001,0.0,0.003,0.0,0.001,0.0,0.269,0.0,0.0,0.0,0.003,0.0
only_arxiv,weighted,quality_direct,3,-0.48431103727182667,91,0.679,1.2474303099073805,0.052000000000000005,0.679,0.0,0.0,0.044,0.0,0.001,0.0,0.003,0.0,0.001,0.0,0.269,0.0,0.0,0.0,0.003,0.0
only_arxiv,weighted,quality_direct_and_near,3,-0.48431103727182667,108,0.9480000000000001,1.2007195183826873,0.052000000000000005,0.679,0.0,0.0,0.044,0.0,0.001,0.0,0.003,0.0,0.001,0.0,0.269,0.0,0.0,0.0,0.003,0.0
only_freelaw,weighted,unconstrained,429,-0.3845700311823559,512,,,0.592,0.0,0.592,0.0,0.0,0.0,0.0,0.406,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0
