scenario,mode,quality_policy,selected_index,objective_relative,n_feasible,quality_covered_mass,quality_slack,unknown_QA_mass,arxiv,freelaw,nih_exporter,pubmed_central,wikipedia_en,dm_mathematics,github,philpapers,stackexchange,enron_emails,gutenberg_pg_19,pile_cc,ubuntu_irc,europarl,hackernews,pubmed_abstracts,uspto_backgrounds
only_gutenberg_pg_19,weighted,unconstrained,160,-0.24074758231144955,512,,,0.08608608608608609,0.001001001001001001,0.006006006006006006,0.0,0.0,0.006006006006006006,0.0,0.0,0.0,0.001001001001001001,0.007007007007007007,0.40440440440440445,0.5015015015015015,0.002002002002002002,0.0,0.0,0.002002002002002002,0.06906906906906908
only_gutenberg_pg_19,weighted,quality_direct,301,-0.17657021951425222,91,0.3446553446553447,0.0901337210547602,0.2727272727272727,0.15384615384615385,0.025974025974025976,0.0,0.0029970029970029974,0.0019980019980019984,0.0009990009990009992,0.1058941058941059,0.005994005994005995,0.08491508491508493,0.0009990009990009992,0.36063936063936064,0.019980019980019983,0.16183816183816185,0.0009990009990009992,0.03796203796203797,0.03096903096903097,0.003996003996003997
only_gutenberg_pg_19,weighted,quality_direct_and_near,160,-0.24074758231144955,108,0.913913913913914,0.6846820019183529,0.08608608608608609,0.001001001001001001,0.006006006006006006,0.0,0.0,0.006006006006006006,0.0,0.0,0.0,0.001001001001001001,0.007007007007007007,0.40440440440440445,0.5015015015015015,0.002002002002002002,0.0,0.0,0.002002002002002002,0.06906906906906908
only_pile_cc,weighted,unconstrained,187,-0.11615727933016817,512,,,0.05094905094905095,0.08291708291708293,0.0019980019980019984,0.0,0.0019980019980019984,0.0,0.0,0.02197802197802198,0.0009990009990009992,0.0,0.0,0.0,0.8441558441558442,0.0,0.04495504495504496,0.0009990009990009992,0.0,0.0
only_pile_cc,weighted,quality_direct,275,-0.0865476147920271,91,0.5135135135135135,0.8848583705881093,0.060060060060060066,0.4894894894894895,0.0,0.018018018018018018,0.0,0.0,0.0,0.0,0.0,0.024024024024024024,0.0,0.0,0.4264264264264264,0.0,0.0,0.042042042042042045,0.0,0.0
only_pile_cc,weighted,quality_direct_and_near,65,-0.11276630123680609,108,0.9480000000000001,0.04154159941033636,0.052000000000000005,0.091,0.026,0.0,0.0,0.001,0.0,0.0,0.0,0.003,0.0,0.067,0.786,0.0,0.0,0.014,0.002,0.01
only_ubuntu_irc,weighted,unconstrained,365,-0.47612399222476454,512,,,0.31800000000000006,0.0,0.0,0.009,0.016,0.023,0.039,0.13,0.047,0.011,0.022,0.0,0.518,0.16,0.001,0.001,0.0,0.023
only_ubuntu_irc,weighted,quality_direct,301,-0.41573501873473906,91,0.3446553446553447,0.0901337210547602,0.2727272727272727,0.15384615384615385,0.025974025974025976,0.0,0.0029970029970029974,0.0019980019980019984,0.0009990009990009992,0.1058941058941059,0.005994005994005995,0.08491508491508493,0.0009990009990009992,0.36063936063936064,0.019980019980019983,0.16183816183816185,0.0009990009990009992,0.03796203796203797,0.03096903096903097,0.003996003996003997
only_ubuntu_irc,weighted,quality_direct_and_near,384,-0.45428182608725476,108,0.587,0.004153222902944719,0.413,0.021,0.062,0.058,0.043,0.234,0.01,0.144,0.0,0.0,0.001,0.187,0.001,0.176,0.001,0.062,0.0,0.0
only_hackernews,weighted,unconstrained,163,-0.15916860066234106,512,,,0.5185185185185186,0.23723723723723722,0.0,0.021021021021021023,0.006006006006006006,0.007007007007007007,0.0,0.0,0.001001001001001001,0.0,0.006006006006006006,0.20420420420420418,0.03303303303303304,0.013013013013013013,0.0,0.11711711711711713,0.35435435435435436,0.0
only_hackernews,weighted,quality_direct,477,-0.13910108019580714,91,0.5675675675675675,0.3691403978696995,0.3693693693693694,0.35535535535535534,0.049049049049049054,0.013013013013013013,0.07707707707707707,0.003003003003003003,0.006006006006006006,0.2122122122122122,0.0,0.0,0.0,0.003003003003003003,0.05705705705705706,0.031031031031031032,0.002002002002002002,0.11911911911911911,0.051051051051051045,0.021021021021021023
only_hackernews,weighted,quality_direct_and_near,477,-0.13910108019580714,108,0.6306306306306306,0.3913929354780308,0.3693693693693694,0.35535535535535534,0.049049049049049054,0.013013013013013013,0.07707707707707707,0.003003003003003003,0.006006006006006006,0.2122122122122122,0.0,0.0,0.0,0.003003003003003003,0.05705705705705706,0.031031031031031032,0.002002002002002002,0.11911911911911911,0.051051051051051045,0.021021021021021023
only_pubmed_abstracts,weighted,unconstrained,173,-0.3009391444756033,512,,,0.9510978043912175,0.0,0.0,0.0,0.2085828343313373,0.0,0.0,0.006986027944111776,0.000998003992015968,0.0,0.0,0.03992015968063872,0.001996007984031936,0.17265469061876246,0.0,0.000998003992015968,0.5638722554890219,0.003992015968063872
only_pubmed_abstracts,weighted,quality_direct,339,-0.22883654357557737,91,0.36963036963036955,0.5205257438426003,0.6093906093906094,0.3196803196803196,0.001998001998001998,0.0,0.003996003996003996,0.0,0.000999000999000999,0.049950049950049945,0.0,0.0,0.023976023976023973,0.011988011988011986,0.00899100899100899,0.03996003996003995,0.006993006993006992,0.0,0.5314685314685315,0.0
only_pubmed_abstracts,weighted,quality_direct_and_near,511,-0.08470029626916398,108,0.6176176176176176,0.025341201838151778,0.3823823823823824,0.12712712712712712,0.002002002002002002,0.01001001001001001,0.08008008008008008,0.09209209209209208,0.0,0.0,0.0,0.011011011011011011,0.0,0.009009009009009009,0.3783783783783784,0.016016016016016016,0.0,0.0,0.1941941941941942,0.08008008008008008
only_uspto_backgrounds,weighted,unconstrained,29,-0.3424285510283569,512,,,0.6863136863136863,0.001998001998001998,0.0,0.0,0.000999000999000999,0.0,0.0,0.0,0.0,0.0,0.0,0.3006993006993007,0.010989010989010986,0.0,0.011988011988011986,0.0,0.000999000999000999,0.6723276723276723
only_uspto_backgrounds,weighted,quality_direct,264,-0.18470532502071857,91,0.37524950099800397,0.42647281649032615,0.6227544910179641,0.2924151696606786,0.0,0.0,0.1746506986027944,0.0,0.0,0.08283433133732536,0.0,0.0,0.005988023952095809,0.001996007984031936,0.0,0.00499001996007984,0.0,0.0,0.01896207584830339,0.4181636726546906
only_uspto_backgrounds,weighted,quality_direct_and_near,30,-0.1801071973055295,108,0.5714285714285715,0.2526416023648026,0.4285714285714286,0.0,0.0009990009990009992,0.0,0.0019980019980019984,0.15084915084915085,0.0,0.14185814185814186,0.0,0.0,0.0,0.2787212787212788,0.0,0.003996003996003997,0.0,0.0,0.0,0.4215784215784216
