budget_FLOPs,context_tokens,quality_family,Q0_scenario,minimum_cost_FLOPs,model_scope,cross_source_empirical_calibration_complete,status,N_params_B,D_tokens_B,Q_score,C_train_FLOPs,C_quality_FLOPs,C_attention_FLOPs,C_total_FLOPs,budget_residual_FLOPs,budget_utilization,active_set,kkt_check_pass,kkt_relative_violation,global_lower_bound,global_upper_bound,global_gap,certificate_kind,recipe_index,p_policy,v8_NDQ_native_loss,conditional_bridge_loss,bridge_factor
1e+20,8192,logarithmic,0.5,5.388280127999999e+18,CYJ_v8_native_QB_sensitivity,False,conditional_v8_native_Q_sensitivity_feasible,0.7273142962381937,14.775874087635597,1.0,6.448022678011707e+19,1.791237262712562e+19,1.7607400592757301e+19,9.999999999999998e+19,-16384.0,0.9999999999999999,Q1;budget,True,1.2037040790657886e-17,2.6679462493398436,2.6679463330772357,8.373739213141107e-08,floating_point_B7_reduction,172,observed_512,2.6679463330772357,2.4941239632323824,0.9348478761773423
1e+20,131072,exponential,0.5,2.2724682047999996e+19,CYJ_v8_native_QB_sensitivity,False,conditional_v8_native_Q_sensitivity_feasible,0.22485715761917943,10.0,0.9482364654541016,1.3491429457150767e+19,2.7563615815927063e+19,5.894495472692217e+19,1e+20,0.0,1.0,D_min;budget,True,3.084285852932562e-08,2.954554001114406,2.9545541010937773,9.997937144845537e-08,floating_point_B7_reduction,172,observed_512,2.9545541010937773,2.7620586264585745,0.9348478761773423
1e+20,131072,power,0.5,2.2724682047999996e+19,CYJ_v8_native_QB_sensitivity,False,conditional_v8_native_Q_sensitivity_feasible,0.2061489163713431,10.0,0.9256982803344727,1.2368934982280585e+19,3.3590363484470043e+19,5.404070153324937e+19,1e+20,0.0,1.0,D_min;budget,True,3.855064558896369e-08,2.983779638876399,2.983779738876271,9.999987193864968e-08,floating_point_B7_reduction,172,observed_512,2.983779738876271,2.789380151869467,0.9348478761773423
1e+20,131072,logarithmic,0.5,2.2724682047999996e+19,CYJ_v8_native_QB_sensitivity,False,conditional_v8_native_Q_sensitivity_feasible,0.2727888271350504,10.0,1.0,1.6367329628103025e+19,1.2122716071406318e+19,7.150995430049066e+19,1.0000000000000002e+20,16384.0,1.0000000000000002,D_min;Q1;budget,True,0.0,2.891427464306022,2.8914275381979384,7.389191658546679e-08,floating_point_B7_reduction,172,observed_512,2.8914275381979384,2.703044893205024,0.9348478761773423
1e+22,2048,exponential,0.5,4.5214600319999995e+18,CYJ_v8_native_QB_sensitivity,False,conditional_v8_native_Q_sensitivity_feasible,5.630188861306182,250.4966654303115,1.0,8.462061213000488e+21,9.602620748586798e+20,5.776767121408333e+20,1e+22,0.0,1.0,Q1;budget,True,3.5306002913962494e-17,2.1508433962029794,2.1508434817804964,8.557751707272132e-08,floating_point_B7_reduction,172,observed_512,2.1508434817804964,2.0107114609323773,0.9348478761773423
1e+22,2048,power,0.5,4.5214600319999995e+18,CYJ_v8_native_QB_sensitivity,False,conditional_v8_native_Q_sensitivity_feasible,5.753805544871536,240.57492391072734,1.0,8.305327986927545e+21,1.1276949558315343e+21,5.669770572409204e+20,1e+22,0.0,1.0,Q1;budget,True,5.619327448810214e-17,2.152403078944355,2.152403147629152,6.868479696109375e-08,floating_point_B7_reduction,172,observed_512,2.152403147629152,2.0121695112385396,0.9348478761773423
1e+22,2048,logarithmic,0.5,4.5214600319999995e+18,CYJ_v8_native_QB_sensitivity,False,conditional_v8_native_Q_sensitivity_feasible,5.21856286798101,288.507265483678,1.0,9.033559816775169e+21,3.497491663996472e+20,6.166910168251848e+20,1.0000000000000002e+22,2097152.0,1.0000000000000002,Q1;budget,True,0.0,2.145739385000249,2.145739441939379,5.693913029958253e-08,floating_point_B7_reduction,172,observed_512,2.145739441939379,2.0059399601269843,0.9348478761773423
1e+22,8192,exponential,0.5,5.388280127999999e+18,CYJ_v8_native_QB_sensitivity,False,conditional_v8_native_Q_sensitivity_feasible,5.153258186351536,231.5024887443831,1.0,7.157952571696479e+21,8.87449179392268e+20,1.954598248911252e+21,9.999999999999998e+21,-2097152.0,0.9999999999999998,Q1;budget,True,0.0,2.162751038091131,2.1627511189459048,8.085477398722674e-08,floating_point_B7_reduction,172,observed_512,2.1627511189459048,2.02184329024675,0.9348478761773423
1e+22,8192,power,0.5,5.388280127999999e+18,CYJ_v8_native_QB_sensitivity,False,conditional_v8_native_Q_sensitivity_feasible,5.258740894125991,222.93627996478966,1.0,7.034184793410962e+21,1.0450138123349515e+21,1.9208013942540867e+21,1e+22,0.0,1.0,Q1;budget,True,0.0,2.1642260805198954,2.164226145541156,6.502126081997517e-08,floating_point_B7_reduction,172,observed_512,2.164226145541156,2.0232222157266255,0.9348478761773423
1e+22,8192,logarithmic,0.5,5.388280127999999e+18,CYJ_v8_native_QB_sensitivity,False,conditional_v8_native_Q_sensitivity_feasible,4.80390435989945,263.8075926491642,1.0,7.603838667011387e+21,3.1980645431670335e+20,2.0763548786719096e+21,1e+22,0.0,1.0,Q1;budget,True,5.394959137375111e-18,2.1579463299730812,2.1579463833597106,5.338662933951355e-08,floating_point_B7_reduction,172,observed_512,2.1579463833597106,2.0173515933884025,0.9348478761773423
1e+22,131072,exponential,0.5,2.2724682047999996e+19,CYJ_v8_native_QB_sensitivity,False,conditional_v8_native_Q_sensitivity_feasible,2.546874697837086,116.44226111631365,1.0,1.7793830915764702e+21,4.4637355578649254e+20,7.774243352637038e+21,1e+22,0.0,1.0,Q1;budget,True,0.0,2.2749406045382883,2.2749407031219,9.85836119404837e-08,floating_point_B7_reduction,172,observed_512,2.2749407031219,2.1267234847428984,0.9348478761773423
