budget_FLOPs,context_tokens,quality_family,Q0_scenario,eligible_observed_recipes,feasible_observed_recipes,candidate_set,cross_source_empirical_calibration_complete,claim_scope,status,recipe_index,N_params_B,D_tokens_B,Q_B_proxy,Q_A_mapped,mapped_coverage,B1_backbone_loss,v8_NDQ_proxy_loss,conditional_bridge_loss,Q1_weighted_effect,bridge_factor,C_train_FLOPs,C_attention_FLOPs,C_quality_FLOPs,C_total_FLOPs,budget_utilization,active_set,fixed_p_convex_gap,fixed_Q2_recipe_172_status,fixed_Q2_recipe_172_loss,fixed_policy_regret
1e+20,8192,exponential,0.5,87,87,A4_observed_512_Q1_direct_and_near_Qproxy_at_least_Q0,False,conditional_finite_recipe_optimum_not_continuous_hull_or_empirical_bridge,conditional_v8_fixed_policy_feasible,172,0.7416846693389103,16.594738846462985,0.6713607648391644,1.6754490814383751,0.5814185814185814,2.6466709786862315,2.7836600775915152,2.602298711536084,-0.06737146220598264,0.9348478761773423,7.38483803646268e+19,2.016553106490076e+19,5.98608857047244e+18,1e+20,1.0,budget,-4.1515585466160513e-16,conditional_v8_fixed_policy_feasible,2.602298711536084,0.0
1e+20,8192,power,0.5,87,87,A4_observed_512_Q1_direct_and_near_Qproxy_at_least_Q0,False,conditional_finite_recipe_optimum_not_continuous_hull_or_empirical_bridge,conditional_v8_fixed_policy_feasible,172,0.7894820241846896,14.850795832930238,0.6713607648391644,1.6754490814383751,0.5814185814185814,2.656273709024973,2.792554380224764,2.6106135314628554,-0.06737146220598264,0.9348478761773423,7.0346618129611915e+19,1.9209316523926024e+19,1.0444065346462065e+19,1e+20,1.0,budget,0.0,conditional_v8_fixed_policy_feasible,2.6106135314628554,0.0
1e+20,8192,logarithmic,0.5,87,87,A4_observed_512_Q1_direct_and_near_Qproxy_at_least_Q0,False,conditional_finite_recipe_optimum_not_continuous_hull_or_empirical_bridge,conditional_v8_fixed_policy_feasible,172,0.7620442227608601,15.81464816085965,0.6713607648391644,1.6754490814383751,0.5814185814185814,2.6507460116256323,2.7874279465401837,2.605821095820461,-0.06737146220598264,0.9348478761773423,7.230876759587255e+19,1.9745114138179596e+19,7.946118265947849e+18,9.999999999999998e+19,0.9999999999999999,budget,0.0,conditional_v8_fixed_policy_feasible,2.605821095820461,0.0
1e+20,131072,exponential,0.5,87,87,A4_observed_512_Q1_direct_and_near_Qproxy_at_least_Q0,False,conditional_finite_recipe_optimum_not_continuous_hull_or_empirical_bridge,conditional_v8_fixed_policy_feasible,172,0.2992226435579769,10.0,0.6713607648391644,1.6754490814383751,0.5814185814185814,2.874385554752176,3.0320966689532023,2.8345491313352955,-0.06737146220598264,0.9348478761773423,1.7953358613478615e+19,7.84394206728623e+19,3.607220713659088e+18,1e+20,1.0,D_min;budget,0.0,conditional_v8_fixed_policy_feasible,2.8345491313352955,0.0
1e+20,131072,power,0.5,87,87,A4_observed_512_Q1_direct_and_near_Qproxy_at_least_Q0,False,conditional_finite_recipe_optimum_not_continuous_hull_or_empirical_bridge,conditional_v8_fixed_policy_feasible,172,0.2885893769657387,10.0,0.6713607648391644,1.6754490814383751,0.5814185814185814,2.880988824977517,3.0394266674163224,2.8414015648309263,-0.06737146220598264,0.9348478761773423,1.7315362617944322e+19,7.56519736353066e+19,7.03266374674907e+18,1e+20,1.0,D_min;budget,0.0,conditional_v8_fixed_policy_feasible,2.8414015648309263,0.0
1e+20,131072,logarithmic,0.5,87,87,A4_observed_512_Q1_direct_and_near_Qproxy_at_least_Q0,False,conditional_finite_recipe_optimum_not_continuous_hull_or_empirical_bridge,conditional_v8_fixed_policy_feasible,172,0.294823027777206,10.0,0.6713607648391644,1.6754490814383751,0.5814185814185814,2.877078988617148,3.0350876112466,2.837345207386047,-0.06737146220598264,0.9348478761773423,1.7689381666632358e+19,7.728608779362789e+19,5.024530539739757e+18,1.0000000000000002e+20,1.0000000000000002,D_min;budget,0.0,conditional_v8_fixed_policy_feasible,2.837345207386047,0.0
1e+22,2048,exponential,0.5,87,87,A4_observed_512_Q1_direct_and_near_Qproxy_at_least_Q0,False,conditional_finite_recipe_optimum_not_continuous_hull_or_empirical_bridge,conditional_v8_fixed_policy_feasible,172,7.217669544123998,214.48596704955614,0.6713607648391644,1.6754490814383751,0.5814185814185814,2.14664921968421,2.22535535871294,2.08036873083266,-0.06737146220598264,0.9348478761773423,9.288532992093388e+21,6.340971855935753e+20,7.736982231303596e+19,1e+22,1.0,budget,0.0,conditional_v8_fixed_policy_feasible,2.08036873083266,0.0
1e+22,2048,power,0.5,87,87,A4_observed_512_Q1_direct_and_near_Qproxy_at_least_Q0,False,conditional_finite_recipe_optimum_not_continuous_hull_or_empirical_bridge,conditional_v8_fixed_policy_feasible,172,7.291455104688068,210.7989031187745,0.6713607648391644,1.6754490814383751,0.5814185814185814,2.1473681662001516,2.225955278884581,2.0809295649309942,-0.06737146220598264,0.9348478761773423,9.222184429248202e+21,6.295677903700106e+20,1.482477803817875e+20,1e+22,1.0,budget,0.0,conditional_v8_fixed_policy_feasible,2.0809295649309942,0.0
1e+22,2048,logarithmic,0.5,87,87,A4_observed_512_Q1_direct_and_near_Qproxy_at_least_Q0,False,conditional_finite_recipe_optimum_not_continuous_hull_or_empirical_bridge,conditional_v8_fixed_policy_feasible,172,7.2483504789377635,212.94047673908793,0.6713607648391644,1.6754490814383751,0.5814185814185814,2.146948012013584,2.225604512047767,2.0806016512985654,-0.06737146220598264,0.9348478761773423,9.260803239342023e+21,6.322041678057488e+20,1.0699259285222906e+20,1e+22,1.0,budget,0.0,conditional_v8_fixed_policy_feasible,2.0806016512985654,0.0
1e+22,8192,exponential,0.5,87,87,A4_observed_512_Q1_direct_and_near_Qproxy_at_least_Q0,False,conditional_finite_recipe_optimum_not_continuous_hull_or_empirical_bridge,conditional_v8_fixed_policy_feasible,172,6.598901990599592,196.9831051104279,0.6713607648391644,1.6754490814383751,0.5814185814185814,2.1588985153886635,2.2398233763326556,2.0938941263769473,-0.06737146220598264,0.9348478761773423,7.799233226566149e+21,2.1297106197343298e+21,7.105615369952209e+19,1.0000000000000002e+22,1.0000000000000002,budget,0.0,conditional_v8_fixed_policy_feasible,2.0938941263769473,0.0
