budget_FLOPs,context_tokens,quality_family,Q0_scenario,Q_B_proxy,Q_A_mapped,mapped_coverage,p_policy,quality_mapping_policy,recipe_index,cross_source_empirical_calibration_complete,Q1_p_source,uncertainty_scope,status,minimum_cost_FLOPs,N_params_B,D_tokens_B,B1_backbone_loss,v8_NDQ_proxy_loss,conditional_bridge_loss,Q1_weighted_effect,bridge_factor,C_train_FLOPs,C_attention_FLOPs,C_quality_FLOPs,C_total_FLOPs,budget_utilization,active_set,fixed_p_convex_lower_bound,fixed_p_convex_gap,fixed_p_logN_slope,numeric_certificate_kind
1e+19,2048,exponential,0.5,0.6713607648391644,1.6754490814383751,0.5814185814185814,observed_512,direct_and_near,172,False,CYJ_v8_Q1_v2_derived_policy,no_joint_A_B_or_bridge_interval,conditional_v8_fixed_policy_feasible,8.128680745659087e+18,0.09973756999408563,10.0,3.1159696629361617,3.2957467966561094,3.081021893272243,-0.06737146220598264,0.9348478761773423,5.984254199645138e+18,4.085250866957747e+17,3.607220713659088e+18,1e+19,1.0,D_min;budget,3.081021893272243,0.0,-0.16395772616634527,convex_logN_reduction_floating_point
1.0746078283213175e+19,2048,exponential,0.5,0.6713607648391644,1.6754490814383751,0.5814185814185814,observed_512,direct_and_near,172,False,CYJ_v8_Q1_v2_derived_policy,no_joint_A_B_or_bridge_interval,conditional_v8_fixed_policy_feasible,8.128680745659087e+18,0.11137758314955826,10.000000000000002,3.0874214102262365,3.264981516128292,3.0522610361108127,-0.06737146220598264,0.9348478761773423,6.682654988973496e+18,4.562025805805907e+17,3.607220713659089e+18,1.0746078283213177e+19,1.0000000000000002,D_min;budget,3.0522610361108127,0.0,-0.14956482945528027,convex_logN_reduction_floating_point
1.1547819846894582e+19,2048,exponential,0.5,0.6713607648391644,1.6754490814383751,0.5814185814185814,observed_512,direct_and_near,172,False,CYJ_v8_Q1_v2_derived_policy,no_joint_A_B_or_bridge_interval,conditional_v8_fixed_policy_feasible,8.128680745659087e+18,0.12388603240819228,10.000000000000002,3.0608903669669174,3.2363127330477814,3.0254600851354088,-0.06737146220598264,0.9348478761773423,7.433161944491538e+18,5.074371887439557e+17,3.607220713659089e+18,1.1547819846894582e+19,1.0,D_min;budget,3.0254600851354088,0.0,-0.13618315693568486,convex_logN_reduction_floating_point
1.2409377607517196e+19,2048,exponential,0.5,0.6713607648391644,1.6754490814383751,0.5814185814185814,observed_512,direct_and_near,172,False,CYJ_v8_Q1_v2_derived_policy,no_joint_A_B_or_bridge_interval,conditional_v8_fixed_policy_feasible,8.128680745659087e+18,0.13732770990168044,10.0,3.03611198073015,3.209465455657368,3.000361964885837,-0.06737146220598264,0.9348478761773423,8.239662594100827e+18,5.6249429975728314e+17,3.607220713659088e+18,1.2409377607517196e+19,1.0,D_min;budget,3.000361964885837,0.0,-0.12370017261471816,convex_logN_reduction_floating_point
1.3335214321633241e+19,2048,exponential,0.5,0.6713607648391644,1.6754490814383751,0.5814185814185814,observed_512,direct_and_near,172,False,CYJ_v8_Q1_v2_derived_policy,no_joint_A_B_or_bridge_interval,conditional_v8_fixed_policy_feasible,8.128680745659087e+18,0.15177224176195322,10.0,3.0128707301019544,3.1842155116441453,2.9767571083514786,-0.06737146220598264,0.9348478761773423,9.106334505717193e+18,6.216591022569604e+17,3.607220713659088e+18,1.3335214321633243e+19,1.0000000000000002,D_min;budget,2.9767571083514786,0.0,-0.11202157884778088,convex_logN_reduction_floating_point
1.4330125702369628e+19,2048,exponential,0.5,0.6713607648391644,1.6754490814383751,0.5814185814185814,observed_512,direct_and_near,172,False,CYJ_v8_Q1_v2_derived_policy,no_joint_A_B_or_bridge_interval,conditional_v8_fixed_policy_feasible,8.128680745659087e+18,0.167294448775439,10.000000000000002,2.9909888920562424,3.160377932382091,2.9544725980051383,-0.06737146220598264,0.9348478761773423,1.0037666926526341e+19,6.852380621841983e+17,3.607220713659089e+18,1.4330125702369628e+19,1.0,D_min;budget,2.9544725980051383,0.0,-0.10106738851031236,convex_logN_reduction_floating_point
1.539926526059492e+19,2048,exponential,0.5,0.6713607648391644,1.6754490814383751,0.5814185814185814,observed_512,direct_and_near,172,False,CYJ_v8_Q1_v2_derived_policy,no_joint_A_B_or_bridge_interval,conditional_v8_fixed_policy_feasible,8.128680745659087e+18,0.1839747339449549,10.000000000000002,2.970318320878536,3.137798446217124,2.933364213318643,-0.06737146220598264,0.9348478761773423,1.1038484036697297e+19,7.535605102385353e+17,3.607220713659089e+18,1.539926526059492e+19,1.0,D_min;budget,2.933364213318643,0.0,-0.09076902861330013,convex_logN_reduction_floating_point
1.6548170999431815e+19,2048,exponential,0.5,0.6713607648391644,1.6754490814383751,0.5814185814185814,observed_512,direct_and_near,172,False,CYJ_v8_Q1_v2_derived_policy,no_joint_A_B_or_bridge_interval,conditional_v8_fixed_policy_feasible,8.128680745659087e+18,0.20189949896674875,10.0,2.950734324603905,3.1163471384135706,2.913310503777265,-0.06737146220598264,0.9348478761773423,1.2113969938004926e+19,8.269803477678029e+17,3.607220713659088e+18,1.6548170999431815e+19,1.0,D_min;budget,2.913310503777265,0.0,-0.08106716407877032,convex_logN_reduction_floating_point
1.7782794100389229e+19,2048,exponential,0.5,0.6713607648391644,1.6754490814383751,0.5814185814185814,observed_512,direct_and_near,172,False,CYJ_v8_Q1_v2_derived_policy,no_joint_A_B_or_bridge_interval,conditional_v8_fixed_policy_feasible,8.128680745659087e+18,0.22116159177998845,10.0,2.932131031714701,3.0959136513343264,2.894208301778336,-0.06737146220598264,0.9348478761773423,1.3269695506799307e+19,9.058778799308326e+17,3.607220713659088e+18,1.7782794100389229e+19,1.0,D_min;budget,2.894208301778336,0.0,-0.07191003472913143,convex_logN_reduction_floating_point
1.9109529749704405e+19,2048,exponential,0.5,0.6713607648391644,1.6754490814383751,0.5814185814185814,observed_512,direct_and_near,172,False,CYJ_v8_Q1_v2_derived_policy,no_joint_A_B_or_bridge_interval,conditional_v8_fixed_policy_feasible,8.128680745659087e+18,0.24186078750694767,10.0,2.914417835681318,3.076403499194195,2.8759692774862375,-0.06737146220598264,0.9348478761773423,1.4511647250416861e+19,9.906617856284576e+17,3.607220713659088e+18,1.9109529749704405e+19,1.0,D_min;budget,2.8759692774862375,0.0,-0.06325216482011325,convex_logN_reduction_floating_point
2.053525026457146e+19,2048,exponential,0.5,0.6713607648391644,1.6754490814383751,0.5814185814185814,observed_512,direct_and_near,172,False,CYJ_v8_Q1_v2_derived_policy,no_joint_A_B_or_bridge_interval,conditional_v8_fixed_policy_feasible,8.128680745659087e+18,0.2641043052750932,10.0,2.897516631669324,3.0577352023882853,2.8585172598653847,-0.06737146220598264,0.9348478761773423,1.5846258316505592e+19,1.0817712344067817e+18,3.607220713659088e+18,2.053525026457146e+19,1.0,D_min;budget,2.8585172598653847,0.0,-0.05505334756841124,convex_logN_reduction_floating_point
2.2067340690845897e+19,2048,exponential,0.5,0.6713607648391644,1.6754490814383751,0.5814185814185814,observed_512,direct_and_near,172,False,CYJ_v8_Q1_v2_derived_policy,no_joint_A_B_or_bridge_interval,conditional_v8_fixed_policy_feasible,8.128680745659087e+18,0.28800736359814666,10.0,2.881359643972368,3.03983803328182,2.8417861293366187,-0.06737146220598264,0.9348478761773423,1.7280441815888798e+19,1.1796781612980086e+18,3.607220713659088e+18,2.2067340690845897e+19,1.0,D_min;budget,2.8417861293366187,0.0,-0.047277835793521156,convex_logN_reduction_floating_point
2.3713737056616554e+19,2048,exponential,0.5,0.6713607648391644,1.6754490814383751,0.5814185814185814,observed_512,direct_and_near,172,False,CYJ_v8_Q1_v2_derived_policy,no_joint_A_B_or_bridge_interval,conditional_v8_fixed_policy_feasible,8.128680745659087e+18,0.3136937771929211,10.0,2.865887699815296,3.022650224254714,2.825718142571487,-0.06737146220598264,0.9348478761773423,1.8821626631575265e+19,1.284889711382205e+18,3.607220713659088e+18,2.371373705661656e+19,1.0000000000000002,D_min;budget,2.825718142571487,0.0,-0.039893689228679585,convex_logN_reduction_floating_point
2.5482967479793463e+19,2048,exponential,0.5,0.6713607648391644,1.6754490814383751,0.5814185814185814,observed_512,direct_and_near,172,False,CYJ_v8_Q1_v2_derived_policy,no_joint_A_B_or_bridge_interval,conditional_v8_fixed_policy_feasible,8.128680745659087e+18,0.3412965983233646,10.0,2.851048844546393,3.006117529443506,2.810262587939741,-0.06737146220598264,0.9348478761773423,2.0477795899401875e+19,1.3979508667325015e+18,3.607220713659088e+18,2.5482967479793467e+19,1.0000000000000002,D_min;budget,2.810262587939741,0.0,-0.03287224246799922,convex_logN_reduction_floating_point
2.7384196342643614e+19,2048,exponential,0.5,0.6713607648391644,1.6754490814383751,0.5814185814185814,observed_512,direct_and_near,172,False,CYJ_v8_Q1_v2_derived_policy,no_joint_A_B_or_bridge_interval,conditional_v8_fixed_policy_feasible,8.128680745659087e+18,0.37095880599389236,10.0,2.836797220837208,2.9901920601285106,2.79537469677349,-0.06737146220598264,0.9348478761773423,2.2257528359633543e+19,1.5194472693509832e+18,3.607220713659088e+18,2.7384196342643614e+19,1.0,D_min;budget,2.79537469677349,0.0,-0.02618766692398819,convex_logN_reduction_floating_point
2.942727176209282e+19,2048,exponential,0.5,0.6713607648391644,1.6754490814383751,0.5814185814185814,observed_512,direct_and_near,172,False,CYJ_v8_Q1_v2_derived_policy,no_joint_A_B_or_bridge_interval,conditional_v8_fixed_policy_feasible,8.128680745659087e+18,0.4028340465619341,10.0,2.8230921541418903,2.9748313340003003,2.781014754575991,-0.06737146220598264,0.9348478761773423,2.4170042793716044e+19,1.6500082547176822e+18,3.607220713659088e+18,2.942727176209282e+19,1.0,D_min;budget,2.781014754575991,0.0,-0.019816606866774694,convex_logN_reduction_floating_point
3.162277660168379e+19,2048,exponential,0.5,0.6713607648391644,1.6754490814383751,0.5814185814185814,observed_512,direct_and_near,172,False,CYJ_v8_Q1_v2_derived_policy,no_joint_A_B_or_bridge_interval,conditional_v8_fixed_policy_feasible,8.128680745659087e+18,0.437087429605977,10.0,2.8098974008255584,2.959997493173752,2.7671473699837397,-0.06737146220598264,0.9348478761773423,2.622524577635862e+19,1.7903101116660818e+18,3.607220713659088e+18,3.162277660168379e+19,1.0,D_min;budget,2.7671473699837397,0.0,-0.01373787445021385,convex_logN_reduction_floating_point
