scenario,Q0,quality_bridge_scale,mixture_bridge_lambda,budget_FLOPs,context_tokens,quality_family,status,eligible_observed_recipes,feasible_observed_recipes,recipe_index,N_params_B,D_tokens_B,Q_B_proxy,conditional_bridge_loss,C_total_FLOPs
Q0_0p45,0.45,1.0,1.0,1e+22,2048,exponential,conditional_v8_fixed_policy_feasible,101,101,172,7.228963931975769,213.9149659958949,0.6713607648391644,2.08045442726991,1e+22
Q0_0p45,0.45,1.0,1.0,1e+22,2048,power,conditional_v8_fixed_policy_feasible,101,101,172,7.314351095965667,209.67525536352485,0.6713607648391644,2.0811040584114684,1.0000000000000002e+22
Q0_0p45,0.45,1.0,1.0,1e+22,2048,logarithmic,conditional_v8_fixed_policy_feasible,101,101,172,7.285728904071813,211.08142085852936,0.6713607648391644,2.080885958643002,1e+22
Q0_0p45,0.45,1.0,1.0,1e+22,8192,exponential,conditional_v8_fixed_policy_feasible,101,101,172,6.608349108991259,196.5022831081029,0.6713607648391644,2.093974620462851,1e+22
Q0_0p45,0.45,1.0,1.0,1e+22,8192,power,conditional_v8_fixed_policy_feasible,101,101,172,6.679834723532558,192.92362071587715,0.6713607648391644,2.0945852381670833,1e+22
Q0_0p45,0.45,1.0,1.0,1e+22,8192,logarithmic,conditional_v8_fixed_policy_feasible,101,101,172,6.655859995490113,194.1122011476567,0.6713607648391644,2.094380153850812,1.0000000000000002e+22
Q0_0p45,0.45,1.0,1.0,1e+22,131072,exponential,conditional_v8_fixed_policy_feasible,101,101,172,3.201495086022305,96.57448055456605,0.6713607648391644,2.217673812736514,1e+22
Q0_0p45,0.45,1.0,1.0,1e+22,131072,power,conditional_v8_fixed_policy_feasible,101,101,172,3.2180856004662206,95.71261844441308,0.6713607648391644,2.2180373334904857,1.0000000000000002e+22
Q0_0p45,0.45,1.0,1.0,1e+22,131072,logarithmic,conditional_v8_fixed_policy_feasible,101,101,172,3.2125047404441984,96.00117795578683,0.6713607648391644,2.217914958293266,1e+22
Q0_0p45,0.45,1.0,1.0,1e+24,2048,exponential,conditional_v8_fixed_policy_feasible,101,101,172,11.965825,299.893,0.6713607648391644,2.0195419120198412,2.312442895727608e+22
