year,n,q90_logC,q90_logN,q90_logD,median_tokens_per_parameter,partial_year
2020,1,22.913813852383715,10.113943352306837,12.0,76.92307692307692,False
2021,3,22.2808730534086,10.00812640080492,11.683825861548396,66.66666666666667,False
2022,9,23.175961437978202,10.904859628868682,11.943535140571434,26.865671641791046,False
2023,29,23.383756995103692,10.477121254719663,12.316866244873506,159.64681990036738,False
2024,36,24.512657029711487,10.859433453645153,13.056971676153418,419.3121693121693,False
2025,3,24.10344517766291,10.480162230998246,13.128825009635657,333.3333333333333,True
